search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,color,size,Marca,Línea,Modelo,Tipo de casco,Tipo de visor,Materiales del interior,Materiales del exterior,Edad,Género,Peso,Modelo alfanumérico
815, Casco Abierto 3/4 Dot Negro Mate ,999,NA,8,92,12 meses,98.69,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,NA,NA,https://perfil.mercadolibre.com.mx/INNOVANDO_OFERTAS,https://click1.mercadolibre.com.mx/mclics/clicks/external/MLM/count?a=GK8hyo5%2BIrKGS6wFqXlDXw7idP0h4vGFB01eEkWSXvjYlAD%2BFz7yByDdjClYgtKMToF2G8IUkeBDj37FlfVD3EtTCpRMpTZmcWjy2gs8MAjwGrPQIhoVC1o1GQDdb1FFuGjpTxekS1OKJI6akYaeMrPjAzs7%2FOUvvL699U0dwaZYOXogyD9M94NSW1Ynnx7y88N1lpx1pzRJU1MERNJDRMVgkTGI306r4GxHy%2B%2BXfNSkODtEIP4r%2Fkt8fBCRw0V3yx7AqFWCaxuyokFEA0bojkqa%2BiNr0UjdJmVygXisYN6o7Y51t87sRyPGb7nucvQpoHn2UDuMZLOr%2FZ3UH1CoGGMMa%2BYD%2BXoCrn7HeYcXPBY5ua%2BP30vKSEgqH3Ifz0uxqnq%2Fd5%2Bu2ykm2Xo3Ol%2BIJfTjeWHThj63qSCHEGkz4S0yR16SWAnVBLhCIgRWuhlevWPk%2Br3%2Bxx0m0D1v80A7NF2K%2F4TMSYb7dX0V%2Fovuo5CzSPIYPKHjFd9jwEEjiJSaWKT%2FeG7HTOnmTfCAoNqbNhuTM0iVzko%2BkuTnnMZDtx2pj%2F%2B%2BL6e2HntKxTv%2BLSJl40%2FZ3NI9RGrxaJDc7Lngfn6kPMF1bkawsJTas%2BVPM%2FACkGdpjRmA6cRZunx%2Ff6s6ZbaDELmm%2Bd3Rrf1he76rd3FuFVGMVWA5TkyUje%2FnF4Ny1ig8EuMWQ%2BzueESzUGaemNZoEFkL7Ct7YzykMBnddywo%2Bn4S1vgJlCQxeSLzEGdP6cig30PS4wD3x9Wpd0sEYmAdaZ9gQwv6jbAZcsc4CZL66hPLFUGtJouj8RDMocAqaJflW7P69HR6dvc07wE09rlicdeXyEW7TWx284a3BL%2Bj03bdnfcMFPoqENLV%2FS%2BjrEcMAw7pXbkVaG4ujlHhOGz80xA2OleWmR7EvFAZxLYdZvpZxprc7lc1DoJ5No9vPETW%2Fiyh1ZchCQWKAL3w91tzTHkHjr1%2FG9v%2B1wi9JxvanZTU4unOgMlYIph9LpZ8dPzE27Ju6bQyJlBcMN4nZikRaewk33DLv5s%2BvN%2BRqS8sSJfdHDmdrXOTVzSNUnWoSDlCS8UcQbQ1fOcRe%2BFT4Gv6u0%2FCQwf%2FlvWQV8WsNHsZtsAhlrzBX4YJwBiqVmql%2FbyeWmEkV7yfugyxV8uxSFhApCEwNQx5rwV60PGLnc19ZukksxtRu5OI9rVPA36j3WPuZVsHh%2BqQa%2By23dVI6Qa09L6%2FuBwWo%2BXJk57hvT1Bw%2Bvyx%2FLfTAFVILXntXyXw%2F0a6gL8LmaEesPgekwkun5giBQOzqO8FMc7iiITlkoKkXACvSFwHTtphhr21m4JFbbvqrEQb%2BfN10nmf%2BDhqiGciQYo45LxF6bJUVkHCrez%2F45Z44HXRNSiEU%2FjBj8df4piBTCb8Gtobw7iWBToUieqW2Vvmbju7Zz0mUotDnlmDv%2FkjjaN2PuWE0NQhyShHx9Rztp0YfC6oVY6pAFdoA0cehXif1a31Ic%2F8ZbNh8aLeV7wv2SkR0xZco0KjcO4DLrN4LA9%2F00pxiMhbCiGFffTj1YfhFBH3%2F9LrN0UhpNPqMNOG%2FukUQj%2FEVLwJkI83aa9ZDa%2BQkDj%2F7t8zzD1kxA1jf6wS2Za3W6oVAKmqfjBjUf6vKDAbTbqyhG5XGIZGxVLaUjhqmgQNsl5tnitt89d0uikUVmZImp2%2FpQz4vpXaXbD3GpV5rV08S9B%2BSCF6Ib7%2FKTD4SXJV3uZVOEr2nIMP6GBi7TWbrQ7sM896ZkhkQy3IzH6KRTJxhaM7lHCMILqaCkMgXclthzOKxDhsNmFbl8YILjpK3XySIQv04vSHr2gzKQ%3D,NA,NA,NA,NA,NA,#624031523,Negro,L,WINMEX,CASCOS,DP51111,Abierto,NA,NA,Policarbonato,NA,NA,NA,NA
816, Casco Para Moto Shark Street Drak Hurok Amarillo Con Mascara ,"6,489",NA,1,3,18 meses,360.50,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.9,12,https://perfil.mercadolibre.com.mx/MOTOCITY+STORE,https://articulo.mercadolibre.com.mx/MLM-699555900-casco-para-moto-shark-street-drak-hurok-amarillo-con-mascara-_JM?searchVariation=40466481648,11,1,0,0,0,#699555900,NA,"M,L,XL",Shark,Metro,STREET DRAK HUROK,Multi-Modular,Simple,EPS,Policarbonato,Adultos,Unisex,NA,NA
817, Casco Ls2 Challenger Negro Matt Exclusivo Solo En Rider One ,"5,798",NA,11,5,18 meses,322.11,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,NA,NA,https://perfil.mercadolibre.com.mx/RIDERONE1,https://articulo.mercadolibre.com.mx/MLM-587925906-casco-ls2-challenger-negro-matt-exclusivo-solo-en-rider-one-_JM?searchVariation=40936091133,NA,NA,NA,NA,NA,#587925906,NA,"M,L,XL",LS2,Challenger,Ff327,Integral,Doble,EPS Doble densidad,Fibra de Vidrio ACF,Adultos,Unisex,1400 g,NA
818, Casco Abierto 3/4 X-380 Vintage Dot Vega Lethal Angel ,"1,790",NA,20,7,12 meses,176.84,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,5,1,https://perfil.mercadolibre.com.mx/CUSTOM+STEEL,https://articulo.mercadolibre.com.mx/MLM-574513529-casco-abierto-34-x-380-vintage-dot-vega-lethal-angel-_JM?searchVariation=25690001577,1,0,0,0,0,#574513529,NA,"CH,M,G,XCH",Vega,Vega,X-380 Lethal Angel,Abierto,NA,NA,Policarbonato,NA,NA,NA,8527
819, Casco Doble Proposito Scorpion Exo At950 Neocon Naranja ,"6,670",NA,13,5,18 meses,370.56,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.9,12,https://perfil.mercadolibre.com.mx/MOTOCITY+STORE,https://articulo.mercadolibre.com.mx/MLM-631198012-casco-doble-proposito-scorpion-exo-at950-neocon-naranja-_JM?searchVariation=31790937865,11,1,0,0,0,#631198012,Negro/Naranja,"Naranja,S,M,L,XL,XXL",Scorpion Exo,EXO-AT950,Neocon,Multi-Modular,Doble,EPS,Policarbonato,Adultos,Unisex,NA,NA
820, Casco Abierto 3/4 Jet Negro Mate ,"1,090",NA,10,1,18 meses,60.56,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,5,1,https://perfil.mercadolibre.com.mx/GUERREROBIKER,https://articulo.mercadolibre.com.mx/MLM-643055805-casco-abierto-34-jet-negro-mate-_JM?searchVariation=27601048848,1,0,0,0,0,#643055805,Negro mate,M,Tech-X2,abierto,Jet,Abierto,Simple,Poliestireno,ABS,Adultos,Unisex,NA,NA
821, Casco Depredador Edicion Rosa¡¡¡ Envio Gratis ,749,NA,3,10,18 meses,41.61,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,NA,NA,https://perfil.mercadolibre.com.mx/JK+MOTORS,https://articulo.mercadolibre.com.mx/MLM-665494567-casco-depredador-edicion-rosa-envio-gratis-_JM?searchVariation=33219250551,NA,NA,NA,NA,NA,#665494567,NA,"CHICO,MEDIANO,GRANDE",JK,NA,ROSA CUTE,Clásico,Simple,Esponja,Fibra de vidrio,Adultos,Femenino,NA,NA
822, Casco Integral Joe Rocket Rkt 13 Series Northern Lights Bco ,"2,699",NA,4,15,12 meses,266.64,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.8,12,https://perfil.mercadolibre.com.mx/SIGMA,https://articulo.mercadolibre.com.mx/MLM-572174793-casco-integral-joe-rocket-rkt-13-series-northern-lights-bco-_JM?searchVariation=24706851370,10,2,0,0,0,#572174793,NA,"S,M,L,XL,XXL",Joe Rocket,RKT 13 Series,RKT13,Integral,Simple,Hipoalergénico,Armazón de A.T.P.A.™ avanzado (Advanced Thermo-Poly Alloy Shell),Adultos,Unisex,NA,NA
823, Casco Scorpion Exo Modular Covert Gloss Blanco Chopper Moto ,"4,830",NA,12,3,18 meses,268.33,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,5,19,https://perfil.mercadolibre.com.mx/MOTOCITY+STORE,https://articulo.mercadolibre.com.mx/MLM-660191929-casco-scorpion-exo-modular-covert-gloss-blanco-chopper-moto-_JM?searchVariation=31790671669,19,0,0,0,0,#660191929,Blanco,"BLANCO,S,M,XXL",Scorpion Exo,covert,Covert,Rebatible,Simple,EPS,Policarbonato,Adultos,Unisex,NA,NA
824, Casco Moto Gdr Doble Propósito Integral Certificado Envio+ms ,"1,699",NA,19,3,18 meses,94.39,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.8,28,https://perfil.mercadolibre.com.mx/NINJAMOTOSHOP,https://articulo.mercadolibre.com.mx/MLM-601895902-casco-moto-gdr-doble-proposito-integral-certificado-envioms-_JM?searchVariation=39991879200,23,4,1,0,0,#601895902,Negro,L 59-60 cm,GDR,Doble propósito,MX-311,Integral,Doble,Poliestireno,ABS,Adultos,Masculino,NA,NA
825, Casco Moto Abierto Correa Ajustable C Visera Flama Deportivo ,559,NA,7,13,18 meses,31.06,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,5,1,https://perfil.mercadolibre.com.mx/THEBIKEBAR?brandId=837,https://articulo.mercadolibre.com.mx/MLM-636613295-casco-moto-abierto-correa-ajustable-c-visera-flama-deportivo-_JM?searchVariation=26194448457,1,0,0,0,0,#636613295,NA,"Grande L,Extra Grande XL",Favorit,2018-2019,Adulto,3/4,NA,NA,NA,NA,NA,1.086 kg,NA
826, Agv Casco K1 Wintertest Nuevo Con 3 Micas Incluidas ,"5,897",NA,2,9,12 meses,582.57,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,NA,NA,https://perfil.mercadolibre.com.mx/VAZQUEZ+F.O.,https://articulo.mercadolibre.com.mx/MLM-677822605-agv-casco-k1-wintertest-nuevo-con-3-micas-incluidas-_JM,NA,NA,NA,NA,NA,#677822605,NA,NA,AGV,K-1,K1,NA,NA,NA,NA,NA,NA,NA,NA
827, Casco Abierto Immortale Rol + Lente Interno + Mica Burbuja ,"1,559",NA,5,7,18 meses,86.61,NA,Envío gratis,Devolución gratis,Tienes 30 días desde que lo recibes,NA,NA,https://perfil.mercadolibre.com.mx/MOTOCITY+STORE,https://articulo.mercadolibre.com.mx/MLM-668989809-casco-abierto-immortale-rol-lente-interno-mica-burbuja-_JM?searchVariation=33896848440,NA,NA,NA,NA,NA,#668989809,"S,L,XL",,Immortale,NA,Y629,Abierto,NA,EPS,Policarbonato,Adultos,Unisex,NA,NA
828, Casco Dama Motocicleta Abatible C/ Lentes Mediano Cas Va 16 ,"1,699",NA,6,1,12 meses,167.94,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,NA,NA,https://perfil.mercadolibre.com.mx/EVE+REFACCIONES,https://articulo.mercadolibre.com.mx/MLM-658337041-casco-dama-motocicleta-abatible-c-lentes-mediano-cas-va-16-_JM?searchVariation=33977495994,NA,NA,NA,NA,NA,#658337041,Negro,Mediano,Risky,ECER2205,Grafitti,Integral,NA,NA,NA,NA,NA,NA,NA
829, Tubular Lateral 3p System Honda Nc750x Rider One ,"3,398",NA,7,1,18 meses,188.78,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,NA,NA,https://perfil.mercadolibre.com.mx/RIDERONE1,https://articulo.mercadolibre.com.mx/MLM-566867315-tubular-lateral-3p-system-honda-nc750x-rider-one-_JM?searchVariation=34206459317,NA,NA,NA,NA,NA,#566867315,Negro,No aplica,HJC,Tubular Lateral  Shad,3P System,Metal,NA,NA,NA,Adultos,Unisex,NA,NA
830, Casco Cerrado Agv K3 - Sv Negro Mate Rider One ,"6,600",NA,11,8,18 meses,366.67,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,5,3,https://perfil.mercadolibre.com.mx/RIDERONE1,https://articulo.mercadolibre.com.mx/MLM-607434142-casco-cerrado-agv-k3-sv-negro-mate-rider-one-_JM?searchVariation=41619206814,3,0,0,0,0,#607434142,NA,"L,XL,ML",AGV,K-3 SV,NEGRO SOLIDO,Integral,Doble,MIxto,ABS,Adultos,Unisex,NA,NA
831, Casco 3/4 Negro Mate Certificación Europea ,980,NA,78,1,18 meses,54.44,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,5,7,https://perfil.mercadolibre.com.mx/GUERREROBIKER,https://articulo.mercadolibre.com.mx/MLM-627080744-casco-34-negro-mate-certificacion-europea-_JM?searchVariation=39092024237,7,0,0,0,0,#627080744,NA,XL,Faseed,abierto,710,Abierto,NA,NA,ABS,NA,NA,NA,NA
832, Casco Agv Tartaruga Ms Y L Oferta 3 Micas ,"5,900",NA,4,2,18 meses,327.78,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,5,10,https://perfil.mercadolibre.com.mx/F.O+VAZQUEZ,https://articulo.mercadolibre.com.mx/MLM-649751081-casco-agv-tartaruga-ms-y-l-oferta-3-micas-_JM,10,0,0,0,0,#649751081,NA,NA,AGV,K-3 SV,Tartaruga,Abierto,Doble,NA,Termoplástico,Adultos,NA,NA,214811A
833," Casco Abatible Negro Mate Hro Lente Interno,+ Mica Humo ","2,140",NA,4,1,18 meses,118.89,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,NA,NA,https://perfil.mercadolibre.com.mx/JORGEALBERTOPEARUIZ,https://articulo.mercadolibre.com.mx/MLM-679222232-casco-abatible-negro-mate-hro-lente-interno-mica-humo-_JM?searchVariation=35941389285,NA,NA,NA,NA,NA,#679222232,Negro mate,N/A,HRO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
834, Casco Cerrado Ls2 Rookie Skull Rojo Rider One ,"2,087",NA,8,3,18 meses,115.94,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,NA,NA,https://perfil.mercadolibre.com.mx/RIDERONE1,https://articulo.mercadolibre.com.mx/MLM-657313747-casco-cerrado-ls2-rookie-skull-rojo-rider-one-_JM?searchVariation=35879462640,NA,NA,NA,NA,NA,#657313747,Rojo/Negro,S-M-L-XL-XXL,LS2,Rapid,Skull,Integral,NA,NA,NA,NA,NA,1.4 kg,NA
835, Casco Cerrado Moto Nolan N87 Plein Air Metal Blanco ,"5,349",NA,0,1,18 meses,297.17,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,5,3,https://perfil.mercadolibre.com.mx/MOTOCITY+STORE,https://articulo.mercadolibre.com.mx/MLM-651450351-casco-cerrado-moto-nolan-n87-plein-air-metal-blanco-_JM?searchVariation=29880166257,3,0,0,0,0,#651450351,Azul,XXL,Nolan,N87,Plein Air,Integral,Doble,EPS,Policarbonato,Adultos,Unisex,NA,NA
836, Casco Integral Joe Rocket Rkt 14 Ion Blanco Mate / Rj Iridio ,"2,599",NA,13,15,12 meses,256.76,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.8,23,https://perfil.mercadolibre.com.mx/SIGMA,https://articulo.mercadolibre.com.mx/MLM-560440459-casco-integral-joe-rocket-rkt-14-ion-blanco-mate-rj-iridio-_JM?searchVariation=42445851765,18,4,0,0,0,#560440459,NA,"S,M,L,XL,XXL",Joe Rocket,RKT 14 ION,White / Red,Integral,Doble,Hipoalergénico,Armazón de A.T.P.A.™ avanzado (Advanced Thermo-Poly Alloy Shell),Adultos,Unisex,NA,RKT14
837, Casco Nolan N44 Evo Viewpoint N-com 50 Fuchsia Kiss ,"6,999",NA,1,2,18 meses,388.83,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.9,21,https://perfil.mercadolibre.com.mx/SHOP+IGARTUA,https://articulo.mercadolibre.com.mx/MLM-672700486-casco-nolan-n44-evo-viewpoint-n-com-50-fuchsia-kiss-_JM?searchVariation=34575072497,18,3,0,0,0,#672700486,NA,"S,M",Nolan,NA,N44,Rebatible,Doble,Resina termoplástica,ABS,NA,NA,NA,NA
838, Casco Mask 3/4 Rider One ,"1,698",NA,19,1,18 meses,94.33,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.2,6,https://perfil.mercadolibre.com.mx/RIDERONE1,https://articulo.mercadolibre.com.mx/MLM-587955123-casco-mask-34-rider-one-_JM?searchVariation=19615792387,4,0,0,0,1,#587955123,NA,NA,LS2,X-MASK,Army,Rebatible,Simple,Mixto,Mixto,Adultos,Unisex,NA,730
839, Casco Integral Mujer Joe Rocket Rkt 13 Heartbreaker Ngo Bco ,"2,699",NA,4,6,12 meses,266.64,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.9,17,https://perfil.mercadolibre.com.mx/SIGMA,https://articulo.mercadolibre.com.mx/MLM-623027283-casco-integral-mujer-joe-rocket-rkt-13-heartbreaker-ngo-bco-_JM?searchVariation=42444515234,16,1,0,0,0,#623027283,NA,"S,M",Joe Rocket,RKT 13,Heartbreaker,Integral,Simple,Hipoalergénico,Armazón de A.T.P.A.™ avanzado (Advanced Thermo-Poly Alloy Shell),Adultos,Femenino,NA,NA
840, Casco Nolan N100-5 Negro Matte N-com ,"7,499",NA,1,40,18 meses,416.61,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,5,15,https://perfil.mercadolibre.com.mx/SHOP+IGARTUA,https://articulo.mercadolibre.com.mx/MLM-618516225-casco-nolan-n100-5-negro-matte-n-com-_JM?searchVariation=21855015262,14,0,0,0,0,#618516225,NA,"XS,S,M,L,XL,XXL,XXXL",Nolan,N100-5,N100-5,Rebatible,Doble,Resina termoplástica,Policarbonato,Adultos,Unisex,NA,NA
841, Casco Shark Drak Blanco Rider One ,"6,890",NA,6,1,18 meses,382.78,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.9,12,https://perfil.mercadolibre.com.mx/RIDERONE1,https://articulo.mercadolibre.com.mx/MLM-590470227-casco-shark-drak-blanco-rider-one-_JM?searchVariation=27398504448,11,1,0,0,0,#590470227,Blanco,XL,Shark,Metro,Drak,Abierto con Visera,NA,NA,NA,NA,NA,NA,HE2920EAR
842, Casco Cerrado R7 Iron Man Dorado Rider One ,"1,899",NA,9,2,18 meses,105.50,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.9,12,https://perfil.mercadolibre.com.mx/RIDERONE1,https://articulo.mercadolibre.com.mx/MLM-594268369-casco-cerrado-r7-iron-man-dorado-rider-one-_JM,11,1,0,0,0,#594268369,dorado y plata,"M, L Y XXL",Shark,Cerrado,R7,Integral,Simple,NA,NA,Adultos,Unisex,NA,524856
843, Casco Integral Gpx M62 Certificacion Dot Varios Colores ,999,NA,13,11,18 meses,55.50,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,NA,NA,https://perfil.mercadolibre.com.mx/SHOP+IGARTUA,https://articulo.mercadolibre.com.mx/MLM-643129263-casco-integral-gpx-m62-certificacion-dot-varios-colores-_JM?searchVariation=27612658061,NA,NA,NA,NA,NA,#643129263,NA,"S,M,L,XL",GPX,M62,M62,Integral,Doble,Poliestireno,ABS,NA,Unisex,NA,NA
844, Casco Integral Hjc Cs-15 Rafu Certificación Ece 22.05 ,"2,490",NA,10,1,18 meses,138.33,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,NA,NA,https://perfil.mercadolibre.com.mx/MOTO-HELMETS,https://articulo.mercadolibre.com.mx/MLM-612469514-casco-integral-hjc-cs-15-rafu-certificacion-ece-2205-_JM?searchVariation=22919032232,NA,NA,NA,NA,NA,#612469514,Verde,"gris,L",HJC,CS-15,Rafu,Integral,NA,NA,Policarbonato Avanzado,NA,Unisex,NA,NA
845," Repuesto Mica Casco Carcasa Element Kov (iridium,plata) ",270,NA,9,196,18 meses,15.00,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.6,65,https://perfil.mercadolibre.com.mx/LOWEN+GRUPO,https://articulo.mercadolibre.com.mx/MLM-623270198-repuesto-mica-casco-carcasa-element-kov-iridiumplata-_JM?searchVariation=23257063465,43,19,2,1,0,#623270198,NA,NA,KOV,Element,Element,Mica Casco,NA,NA,NA,NA,NA,NA,NA
846, Casco Moto Ls2 Valiant Cromo + Collarin Inflable+pinlock ,"6,790",NA,5,1,18 meses,377.22,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,5,1,https://perfil.mercadolibre.com.mx/JIVS+MOTOSTORE,https://articulo.mercadolibre.com.mx/MLM-649925207-casco-moto-ls2-valiant-cromo-collarin-inflablepinlock-_JM?searchVariation=31125703034,1,0,0,0,0,#649925207,CHROMO,XL,LS2,FF399,Valiant,Integral,NA,NA,NA,NA,NA,1700 g,NA
847, Casco Agv Missano 2015 Vr46 Valentino Rossi 3 Micas Inclui ,"6,400",NA,7,4,18 meses,355.56,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,NA,NA,https://perfil.mercadolibre.com.mx/F.O+VAZQUEZ,https://articulo.mercadolibre.com.mx/MLM-657388453-casco-agv-missano-2015-vr46-valentino-rossi-3-micas-inclui-_JM?searchVariation=39639219299,NA,NA,NA,NA,NA,#657388453,Azul,S M L,AGV,K-3 SV,Missano 2015,Integral,Simple,Resina termoplástica,Tricomposite,Adultos,Unisex,NA,NA
848, Casco Integral Joe Rocket Rkt 16 Blanco Series Reflex ,"3,299",NA,2,15,12 meses,325.91,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,5,2,https://perfil.mercadolibre.com.mx/SIGMA,https://articulo.mercadolibre.com.mx/MLM-652549905-casco-integral-joe-rocket-rkt-16-blanco-series-reflex-_JM?searchVariation=30628230423,2,0,0,0,0,#652549905,Negro mate,"BLANCO,S,M,L,XL,XXL",Joe Rocket,RKT 16 Series,RKT 16 Reflex Blanco,Integral,Doble,Hipoalergénico,Armazón de A.T.P.A.™ avanzado (Advanced Thermo-Poly Alloy Shell),Adultos,Unisex,NA,NA
849, Maneja Con Estilo Con Este Casco Retro Tipo Aleman ,"2,449",NA,4,6,18 meses,136.06,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,NA,NA,https://perfil.mercadolibre.com.mx/RGIL+MARQUEZ,https://articulo.mercadolibre.com.mx/MLM-687394704-maneja-con-estilo-con-este-casco-retro-tipo-aleman-_JM?searchVariation=42328892897,NA,NA,NA,NA,NA,#687394704,Negro,"M(57-58cm), L(59-60cm) y XL(61-62cm).",Fashion Retro,NA,3/4,Abierto con Visera,Simple,ESP ABS,Piel Sintetica de Alta Calidad,Adultos,Unisex,NA,NA
850, Par Guantes Motocicleta Y Bicicleta Palmas Antiderrapantes ,200,NA,4,3,12 meses,19.76,NA,Envío a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,NA,NA,https://perfil.mercadolibre.com.mx/CAR_MART_MEXICO,https://articulo.mercadolibre.com.mx/MLM-666868161-par-guantes-motocicleta-y-bicicleta-palmas-antiderrapantes-_JM?searchVariation=33542073108,NA,NA,NA,NA,NA,#666868161,NA,NA,Tunix,NA,Motocicleta y Bicicleta,NA,NA,NA,NA,NA,NA,NA,NA
851, Casco Moto Deportivo Abatible Envió Gratis Certificado Dot ,"1,299",NA,21,90,12 meses,128.33,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,NA,NA,https://perfil.mercadolibre.com.mx/INNOVANDO_OFERTAS,https://articulo.mercadolibre.com.mx/MLM-566316327-casco-moto-deportivo-abatible-envio-gratis-certificado-dot-_JM,NA,NA,NA,NA,NA,#566316327,NA,NA,WINMEX,CASCOS,Casco,Rebatible,NA,NA,Policarbonato,NA,NA,NA,NA
852, Casco Integral Marca Ibk Tapa Protectora Motocicleta ,477,NA,5,8,18 meses,26.50,NA,Envío a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,NA,NA,https://perfil.mercadolibre.com.mx/SESUCONSA.COM,https://articulo.mercadolibre.com.mx/MLM-661500718-casco-integral-marca-ibk-tapa-protectora-motocicleta-_JM?searchVariation=32118448020,NA,NA,NA,NA,NA,#661500718,NA,XL,IBK,NA,NA,Integral,NA,NA,NA,NA,Unisex,NA,NA
853, Casco Abatible Azul Lente Interno Y Envio Gratis Moto ,899,NA,2,74,18 meses,49.94,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,NA,NA,https://perfil.mercadolibre.com.mx/REMATESDELCENTROPUNTOCOM,https://articulo.mercadolibre.com.mx/MLM-588585804-casco-abatible-azul-lente-interno-y-envio-gratis-moto-_JM?searchVariation=37200711628,NA,NA,NA,NA,NA,#588585804,Azul,XL,WINMEX,ABATIBLE,10000,Rebatible,Doble,Poliestireno,ABS,Adultos,Unisex,NA,NA
854, Casco Iron Man Gris Envio Gratis!! ,899,NA,2,9,18 meses,49.94,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,NA,NA,https://perfil.mercadolibre.com.mx/JK+MOTORS,https://articulo.mercadolibre.com.mx/MLM-660615918-casco-iron-man-gris-envio-gratis-_JM?searchVariation=32083499906,NA,NA,NA,NA,NA,#660615918,Gris claro,L,jk MOTORS,Ironman,Gris,Integral,Simple,Esponja,Fibra de vidrio,Adultos,Masculino,NA,EWM
855, Casco Deportivo Con Ventilación Y Normas De Seguridad Lqe ,"1,000",NA,250,4,18 meses,55.56,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.8,13,https://perfil.mercadolibre.com.mx/GUERREROBIKER,https://articulo.mercadolibre.com.mx/MLM-550394782-casco-deportivo-con-ventilacion-y-normas-de-seguridad-lqe-_JM?searchVariation=23907842149,11,1,1,0,0,#550394782,"L,XL",,Avanzada,Integral,832,Integral,Simple,Poliestireno,ABS,Adultos,Unisex,NA,NA
