search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca del celular,Marca,Modelo,Material
268, Spigen Cristal Líquido [2ª Generación] Funda Para iPhone 8 / ,1158,NA,0,100,18 cuotas,64.33,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/HERMESSTORE,https://articulo.mercadolibre.com.uy/MLU-457721101-spigen-cristal-liquido-2-generacion-funda-para-iphone-8--_JM,NA,NA,NA,NA,NA,#457721101,Apple,Spigen,042CS21760,Acrílico
269," Funda Con Batería Para iPhone 8 Plus / 7 Plus 8500mah, Hetp ",2084,NA,0,100,18 cuotas,115.78,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/HERMESSTORE,https://articulo.mercadolibre.com.uy/MLU-457894921-funda-con-bateria-para-iphone-8-plus-7-plus-8500mah-hetp-_JM,NA,NA,NA,NA,NA,#457894921,NA,Apple,WIRELESS_ACCESSORY,NA
270, Funda Protectora De Silicón Para iPhone 7+ / iPhone 8+ ,998,NA,0,100,18 cuotas,55.44,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/HERMESSTORE,https://articulo.mercadolibre.com.uy/MLU-459922231-funda-protectora-de-silicon-para-iphone-7-iphone-8-_JM,NA,NA,NA,NA,NA,#459922231,Apple,DOUJIAZ,R-imd-dls-TJ-jiu bei-7P,Silicona
271, Protector Funda iPhone 8 7 Silicona 3d Hot Dog Carcasa ,199,NA,0,5,18 cuotas,11.06,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/69+CASES,https://articulo.mercadolibre.com.uy/MLU-448210408-protector-funda-iphone-8-7-silicona-3d-hot-dog-carcasa-_JM,NA,NA,NA,NA,NA,#448210408,Apple,Apple,NA,Silicona
272, Protector Funda iPhone 8 7 Silicona 3d Carcasa Coneja ,199,NA,0,2,18 cuotas,11.06,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/69+CASES,https://articulo.mercadolibre.com.uy/MLU-448303329-protector-funda-iphone-8-7-silicona-3d-carcasa-coneja-_JM,NA,NA,NA,NA,NA,#448303329,Apple,Apple,NA,Silicona
273, Protector Funda iPhone 8 7 Antigravedad Negro Carcasa ,289,NA,0,3,18 cuotas,16.06,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/69+CASES,https://articulo.mercadolibre.com.uy/MLU-449478675-protector-funda-iphone-8-7-antigravedad-negro-carcasa-_JM,NA,NA,NA,NA,NA,#449478675,Apple,Apple,NA,NA
274, Protector Funda iPhone 8 7 Plus Silicona Frutilla Carcasa ,199,NA,0,9,18 cuotas,11.06,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/69+CASES,https://articulo.mercadolibre.com.uy/MLU-450227728-protector-funda-iphone-8-7-plus-silicona-frutilla-carcasa-_JM,NA,NA,NA,NA,NA,#450227728,Apple,Apple,NA,Silicona
275, Protector Funda iPhone 8 7 Plus Ultra Reforzado Rojo ,299,NA,0,NA,18 cuotas,16.61,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/69+CASES,https://articulo.mercadolibre.com.uy/MLU-450275289-protector-funda-iphone-8-7-plus-ultra-reforzado-rojo-_JM,NA,NA,NA,NA,NA,#450275289,Apple,Apple,NA,NA
276, Protector Funda Fyh iPhone 8 7 Plus+pantalla Nflex Full ,890,NA,0,3,18 cuotas,49.44,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/69+CASES,https://articulo.mercadolibre.com.uy/MLU-453769062-protector-funda-fyh-iphone-8-7-pluspantalla-nflex-full-_JM,NA,NA,NA,NA,NA,#453769062,Apple,NA,NA,NA
277, iPhone 8 Caso Ulak 9 Tarjeta Ranuras Billetera Funda De Cuer ,2272,NA,NA,100,18 cuotas,126.22,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/HERMES_STORE?brandId=520,https://articulo.mercadolibre.com.uy/MLU-456541394-iphone-8-caso-ulak-9-tarjeta-ranuras-billetera-funda-de-cuer-_JM,NA,NA,NA,NA,NA,#456541394,Apple,NA,NA,Cuero
278, Funda iPhone 8 Plus / Funda iPhone 7 Plus - Zizo [serie Shoc ,1026,NA,0,100,18 cuotas,57.00,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/HERMESSTORE,https://articulo.mercadolibre.com.uy/MLU-457417379-funda-iphone-8-plus-funda-iphone-7-plus-zizo-serie-shoc-_JM,NA,NA,NA,NA,NA,#457417379,Apple,Zizo,1SHK-IPH7PLUS-BLK,Cuero
