search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Modelo,Línea,Modelo alfanumérico,Tipo de alimentación,Tipos de cabezales,Tiempo de funcionamiento,Cantidad de cabezales,Peso
1210, Cómo Nueva !!! Afeitadora Electrica Philishave 706 Mains ,480,NA,0,NA,12 cuotas,NA,NA,Envío a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,NA,NA,https://perfil.mercadolibre.com.ar/FEME4353873,https://articulo.mercadolibre.com.ar/MLA-773877567-como-nueva-afeitadora-electrica-philishave-706-mains-_JM,NA,NA,NA,NA,NA,#773877567,Philishave,706 Mains,Caballero,NA,Corriente directa,Giratorios,NA,NA,NA
1211, Cortabarba Philips Bt3206 Recargable 10 Posiciones Lavable ,2249,NA,0,2,6 cuotas sin interés,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.6,43,https://perfil.mercadolibre.com.ar/IMPORTADORA_LYT,https://articulo.mercadolibre.com.ar/MLA-751411237-cortabarba-philips-bt3206-recargable-10-posiciones-lavable-_JM,29,12,2,0,0,#751411237,Philips,BT3206,Series 3000,BT3206/14,NA,NA,45 m,NA,NA
1212, Combo Remington Afeitadora Foil Sf432 + Trimmer Ne3200 ,1649,NA,6,24,12 cuotas,NA,NA,Envío a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,NA,NA,https://perfil.mercadolibre.com.ar/0LIMPYA,https://articulo.mercadolibre.com.ar/MLA-663974062-combo-remington-afeitadora-foil-sf432-trimmer-ne3200-_JM,NA,NA,NA,NA,NA,#663974062,Remington,NE3200,Hyperseries,NA,AAA,trimmer,1,3,NA
1213, Braun Afeitadora Eléctrica 3000bt 3 En 1 Wet & Dry 5 Peines ,5199,NA,NA,2,12 cuotas,NA,NA,Envío gratis a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,NA,NA,https://perfil.mercadolibre.com.ar/PEDIDOSFARMA?brandId=1359,https://articulo.mercadolibre.com.ar/MLA-773135790-braun-afeitadora-electrica-3000bt-3-en-1-wet-dry-5-peines-_JM,NA,NA,NA,NA,NA,#773135790,Braun,3000BT,Wet&Dry,NA,NA,NA,45 minutos,NA,NA
1214, Maquina De Afeitar Rasurar Barba Hombre Portátil Recargable ,988,NA,0,99,12 cuotas,NA,NA,Envío a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,NA,NA,https://perfil.mercadolibre.com.ar/FFRAVEYFFRAVEY,https://articulo.mercadolibre.com.ar/MLA-792055922-maquina-de-afeitar-rasurar-barba-hombre-portatil-recargable-_JM,NA,NA,NA,NA,NA,#792055922,Shinon,SH-7070,Estetica Facial,NA,220,Planos,NA,NA,NA
1215, Afeitadora Electrica Recargable Philips S7310/12 Modelo 2019 ,7199,NA,1,498,12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.3,25,https://perfil.mercadolibre.com.ar/MEIMPORTOEMPRESA,https://articulo.mercadolibre.com.ar/MLA-670771949-afeitadora-electrica-recargable-philips-s731012-modelo-2019-_JM,14,7,2,1,1,#670771949,Philips,7000,Series,S7310/12,NA,NA,50 min,3,NA
1216, Afeitadora Philips Norelco 5750 A Pedido! ,13891,NA,0,NA,12 cuotas,NA,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.com.ar/PS3ARGENTINA,https://articulo.mercadolibre.com.ar/MLA-756953661-afeitadora-philips-norelco-5750-a-pedido-_JM,NA,NA,NA,NA,NA,#756953661,Philips,5750,Norelco,S5660/84,NA,NA,NA,NA,NA
1217, Afeitadora Xiaomi Remington Sumergible Cabeza Triple Braun ,3389,NA,0,1,12 cuotas,NA,NA,Envío gratis a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,NA,NA,https://perfil.mercadolibre.com.ar/BARCEL%C3%93_IMPORTACIONES,https://articulo.mercadolibre.com.ar/MLA-788396094-afeitadora-xiaomi-remington-sumergible-cabeza-triple-braun-_JM,NA,NA,NA,NA,NA,#788396094,Xiaomi Remington,Shaver triple 3D,Remington,NA,220,Pivotantes,NA,NA,NA
1218, Afeitadora Rotativa Remington Pr1330 Power Flex ,1999,NA,0,2,12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4,1,https://perfil.mercadolibre.com.ar/BOSAROND_ONLINE,https://articulo.mercadolibre.com.ar/MLA-773841019-afeitadora-rotativa-remington-pr1330-power-flex-_JM,0,1,0,0,0,#773841019,Remington,PR1330,Power Flex,NA,Batería,Giratorios,45 Minutos,3,NA
1219, Cortapelo Multipropósito Afeitadora Barba Patilla Accesorios ,899,NA,0,1,12 cuotas,NA,NA,Llega mañana,Devolución gratis,Tenés 30 días desde que lo recibís,NA,NA,https://perfil.mercadolibre.com.ar/BODEK+HOGAR,https://articulo.mercadolibre.com.ar/MLA-788844474-cortapelo-multiproposito-afeitadora-barba-patilla-accesorios-_JM,NA,NA,NA,NA,NA,#788844474,Kansai,PR-1966,Multipropósito,NA,Batería,Removibles,NA,NA,NA
