search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Modelo,Tipo de casco,Línea
462, Casco De Moto Hjc Solid Adult Cs-r3 Street - Negro Mate / ,631,NA,0,NA,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/AKAESPERUSAC,https://articulo.mercadolibre.com.pe/MPE-433294509-casco-de-moto-hjc-solid-adult-cs-r3-street-negro-mate--_JM#position=14&type=item&tracking_id=c25b9a41-a54e-4392-8de4-08e286394dc4,NA,NA,NA,NA,NA,#433294509,HJC Helmets,Solid,NA,CS-R3
463, Cascos Para Moto Ls2 Doble Visor Ff320 De Hombre Y Mujer ,329,NA,0,5,NA,NA,NA,Envío gratis a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/BUENASRUTASPERU1,https://articulo.mercadolibre.com.pe/MPE-435291850-cascos-para-moto-ls2-doble-visor-ff320-de-hombre-y-mujer-_JM#position=15&type=item&tracking_id=c25b9a41-a54e-4392-8de4-08e286394dc4,NA,NA,NA,NA,NA,#435291850,LS2,NA,NA,NA
464, Casco De Moto Agv K3 Sv Matte Black Xxlarge Dotapproved ,1187,NA,0,NA,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/AKAESPERUSAC,https://articulo.mercadolibre.com.pe/MPE-435575202-casco-de-moto-agv-k3-sv-matte-black-xxlarge-dotapproved-_JM#position=16&type=item&tracking_id=c25b9a41-a54e-4392-8de4-08e286394dc4,NA,NA,NA,NA,NA,#435575202,AGV,K-3 SV,NA,K-3 SV
465," Agv - Casco Modular De Moto Para Deportes De Carbono, Col ",5037,NA,0,NA,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/AKAESPERUSAC,https://articulo.mercadolibre.com.pe/MPE-437093721-agv-casco-modular-de-moto-para-deportes-de-carbono-col-_JM#position=17&type=item&tracking_id=c25b9a41-a54e-4392-8de4-08e286394dc4,NA,NA,NA,NA,NA,#437093721,AGV,Sportmodular,NA,NA
466, Agv K1 Casco De Motocicleta De Cara Completa Warmup Neg ,1447,NA,0,NA,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/AKAESPERUSAC,https://articulo.mercadolibre.com.pe/MPE-437092556-agv-k1-casco-de-motocicleta-de-cara-completa-warmup-neg-_JM#position=18&type=item&tracking_id=c25b9a41-a54e-4392-8de4-08e286394dc4,NA,NA,NA,NA,NA,#437092556,AGV,K-1,NA,K-1
467, Casco Moto Scooter Abierto Dot Street Legal Tapa Plegable ,382,NA,0,NA,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/AKAESPERUSAC,https://articulo.mercadolibre.com.pe/MPE-435903021-casco-moto-scooter-abierto-dot-street-legal-tapa-plegable-_JM#position=19&type=item&tracking_id=c25b9a41-a54e-4392-8de4-08e286394dc4,NA,NA,NA,NA,NA,#435903021,MMG,NA,NA,NA
468," Hjc Hj-09 Rst - Casco De Moto, Talla Única ",275,NA,0,NA,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/AKAESPERUSAC,https://articulo.mercadolibre.com.pe/MPE-437095501-hjc-hj-09-rst-casco-de-moto-talla-unica-_JM#position=20&type=item&tracking_id=c25b9a41-a54e-4392-8de4-08e286394dc4,NA,NA,NA,NA,NA,#437095501,HJC,NA,NA,NA
469, Agv 01017487 Casco De Moto K3 Sv Matte Black Xlarge ,1595,NA,0,NA,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/AKAESPERUSAC,https://articulo.mercadolibre.com.pe/MPE-435575204-agv-01017487-casco-de-moto-k3-sv-matte-black-xlarge-_JM#position=21&type=item&tracking_id=c25b9a41-a54e-4392-8de4-08e286394dc4,NA,NA,NA,NA,NA,#435575204,AGV,K-3 SV,NA,K-3 SV
470, Fox Racing Libra Le Adulto V3 motocross Casco De Motocicl ,2507,NA,0,NA,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/AKAESPERUSAC,https://articulo.mercadolibre.com.pe/MPE-437091514-fox-racing-libra-le-adulto-v3motocross-casco-de-motocicl-_JM#position=22&type=item&tracking_id=c25b9a41-a54e-4392-8de4-08e286394dc4,NA,NA,NA,NA,NA,#437091514,Fox Racing,Libra,Cross,V3
471, Cascos Para Moto Certificados Shaft Integrales ,229,NA,0,5,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/BUENASRUTASPERU1,https://articulo.mercadolibre.com.pe/MPE-435486947-cascos-para-moto-certificados-shaft-integrales-_JM#position=23&type=item&tracking_id=c25b9a41-a54e-4392-8de4-08e286394dc4,NA,NA,NA,NA,NA,#435486947,Shaft,NA,NA,NA
