search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca del celular,Marca,Modelo
701," Funda iPhone 8 Plus, iPhone 7 Plus Funda De Billetera, Matop ",100.9,NA,0,12,12 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/LATINPORT,https://articulo.mercadolibre.com.co/MCO-478119207-funda-iphone-8-plus-iphone-7-plus-funda-de-billetera-matop-_JM#position=38&type=item&tracking_id=8993aa19-0c89-4037-9ffe-70c7d53eb4ed,NA,NA,NA,NA,NA,#478119207,NA,MATOP,NA
702," Maxcury Funda iPhone 8 Plus 7 Plus 6 Plus, Bling Liquid Gl ",92.9,NA,0,12,12 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/LATINPORT,https://articulo.mercadolibre.com.co/MCO-478240791-maxcury-funda-iphone-8-plus-7-plus-6-plus-bling-liquid-gl-_JM#position=39&type=item&tracking_id=8993aa19-0c89-4037-9ffe-70c7d53eb4ed,NA,NA,NA,NA,NA,#478240791,NA,MAXCURY,MCROIP678P-QUICKSAND DEFENDER-SILVER
703," Funda Protectora Trasera Msmr Para iPhone 7, iPhone 8 Funda ",107.9,NA,0,12,12 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/LATINPORT,https://articulo.mercadolibre.com.co/MCO-478241348-funda-protectora-trasera-msmr-para-iphone-7-iphone-8-funda-_JM#position=40&type=item&tracking_id=8993aa19-0c89-4037-9ffe-70c7d53eb4ed,NA,NA,NA,NA,NA,#478241348,NA,MsMr,NA
704, Funda Con Cremallera Para iPhone 8 Plus Con Correa De Cadena ,166.9,NA,0,12,12 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/LATINPORT,https://articulo.mercadolibre.com.co/MCO-478241350-funda-con-cremallera-para-iphone-8-plus-con-correa-de-cadena-_JM#position=41&type=item&tracking_id=8993aa19-0c89-4037-9ffe-70c7d53eb4ed,NA,NA,NA,NA,NA,#478241350,NA,ZVEdeng,NA
705," Innens Funda iPhone 8 Plus, Funda iPhone 7 Plus, Funda Prote ",92.9,NA,0,12,12 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/LATINPORT,https://articulo.mercadolibre.com.co/MCO-478243442-innens-funda-iphone-8-plus-funda-iphone-7-plus-funda-prote-_JM#position=42&type=item&tracking_id=8993aa19-0c89-4037-9ffe-70c7d53eb4ed,NA,NA,NA,NA,NA,#478243442,iPhone,Innens,NA
706, Brazalete Para iPhone 8 7 6s 6 Con Funda Protectora Otterbo ,124.717,NA,0,10,12 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/SEKAI+EXPRESS,https://articulo.mercadolibre.com.co/MCO-479853269-brazalete-para-iphone-8-7-6s-6-con-funda-protectora-otterbo-_JM#position=43&type=item&tracking_id=8993aa19-0c89-4037-9ffe-70c7d53eb4ed,NA,NA,NA,NA,NA,#479853269,NA,NA,NA
707, Serie Casera De La Paralaje Serie iPhone 8/7 Funda Con Dise ,97.964,NA,0,10,12 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/SEKAI+EXPRESS,https://articulo.mercadolibre.com.co/MCO-479854192-serie-casera-de-la-paralaje-serie-iphone-87-funda-con-dise-_JM#position=44&type=item&tracking_id=8993aa19-0c89-4037-9ffe-70c7d53eb4ed,NA,NA,NA,NA,NA,#479854192,NA,NA,NA
708, Yogur Para iPhone 8 Plus 7 Plus Fundas De Billetera De Cuer ,225.9,NA,0,12,12 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/LATINPORT,https://articulo.mercadolibre.com.co/MCO-479986010-yogur-para-iphone-8-plus-7-plus-fundas-de-billetera-de-cuer-_JM#position=45&type=item&tracking_id=8993aa19-0c89-4037-9ffe-70c7d53eb4ed,NA,NA,NA,NA,NA,#479986010,NA,Yogurt,D-DB02
709, Funda iPhone 8 iPhone 7 Funda Doujiaz Gel Transparente De Si ,69.9,NA,0,12,12 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/LATINPORT,https://articulo.mercadolibre.com.co/MCO-479986827-funda-iphone-8-iphone-7-funda-doujiaz-gel-transparente-de-si-_JM#position=46&type=item&tracking_id=8993aa19-0c89-4037-9ffe-70c7d53eb4ed,NA,NA,NA,NA,NA,#479986827,iPhone,DOUJIAZ,NA
710," Funda Supcase Para iPhone X, Unicorn Beetle Style Premium Fu ",137.9,NA,0,12,12 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/LATINPORT,https://articulo.mercadolibre.com.co/MCO-479989331-funda-supcase-para-iphone-x-unicorn-beetle-style-premium-fu-_JM#position=47&type=item&tracking_id=8993aa19-0c89-4037-9ffe-70c7d53eb4ed,NA,NA,NA,NA,NA,#479989331,iPhone,SUPCASE,SUP-iPhone8-UBStyle-Gold
