search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Modelo,Marca,Formato
995, Audífono Bluetooth Klip Xtreme Deportivo Khs-634yl Amarillo ,139,NA,0,3,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/PERU_DE_SHOPPING,https://articulo.mercadolibre.com.pe/MPE-431733540-audifono-bluetooth-klip-xtreme-deportivo-khs-634yl-amarillo-_JM,NA,NA,NA,NA,NA,#431733540,NA,Klip Xtreme,NA
996, Auriculares Bluetooth Camuflados Estilo Earpods I7s Tw ,34,NA,1,9,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/GURU8147049,https://articulo.mercadolibre.com.pe/MPE-435822792-auriculares-bluetooth-camuflados-estilo-earpods-i7s-tw-_JM,NA,NA,NA,NA,NA,#435822792,NA,NA,NA
997, Audifono Bluetooth Baseus S12 Imantado ,100,NA,0,5,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/EARBLUE,https://articulo.mercadolibre.com.pe/MPE-436484901-audifono-bluetooth-baseus-s12-imantado-_JM,NA,NA,NA,NA,NA,#436484901,NA,NA,NA
998, Adaptador Receptor Bluetooth V 4.2 Hw-p9 Audifono Hands Free ,33,NA,4,13,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/HIDROPONCITO+VERDE,https://articulo.mercadolibre.com.pe/MPE-432467083-adaptador-receptor-bluetooth-v-42-hw-p9-audifono-hands-free-_JM,NA,NA,NA,NA,NA,#432467083,NA,NA,NA
999, Audifonos Bluetooth Xiaomi Mi Sport Youth Edition Negro ,100,NA,0,5,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/EARBLUE,https://articulo.mercadolibre.com.pe/MPE-435866308-audifonos-bluetooth-xiaomi-mi-sport-youth-edition-negro-_JM,NA,NA,NA,NA,NA,#435866308,Sports Bluetooth Earphones Youth Edition,Xiaomi,In-ear
1000, Audífonos Level Samsung - Al Por Mayor ,25,NA,1,11,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/FORTEMMARKET,https://articulo.mercadolibre.com.pe/MPE-432160886-audifonos-level-samsung-al-por-mayor-_JM,NA,NA,NA,NA,NA,#432160886,NA,Samsung,NA
1001, P Audífono Jbl Duet Mini 2 Bluetooth 4.1 Siri ,239,NA,0,1,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/INTECGLOBALPERU,https://articulo.mercadolibre.com.pe/MPE-435771908-p-audifono-jbl-duet-mini-2-bluetooth-41-siri-_JM,NA,NA,NA,NA,NA,#435771908,Duet Mini,JBL,In-ear
1002, Audifono Bluetooth Sony Whch400 Excelente Sonido 20 Hrs! ,139,NA,0,1,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/AMORETTISTORE,https://articulo.mercadolibre.com.pe/MPE-435653234-audifono-bluetooth-sony-whch400-excelente-sonido-20-hrs-_JM,NA,NA,NA,NA,NA,#435653234,NA,NA,NA
1003, Mini AirPods I9s Tws Audifonos Bluetooth 5.0 Por Mayor ,49,NA,1,99,NA,NA,NA,Envío gratis a todo el país,NA,NA,NA,NA,NA,https://articulo.mercadolibre.com.pe/MPE-436742965-mini-airpods-i9s-tws-audifonos-bluetooth-50-por-mayor-_JM,NA,NA,NA,NA,NA,#436742965,NA,NA,NA
1004, Auriculares Bluetooth 4.1 Con Cargador Portatil ,39,NA,0,1,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/COMPRA-EN-CASA+PERU,https://articulo.mercadolibre.com.pe/MPE-433028237-auriculares-bluetooth-41-con-cargador-portatil-_JM,NA,NA,NA,NA,NA,#433028237,NA,NA,NA
