search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca
63, Philips Satinshave Avanzada Brl 140 Rasuradora Eléctrica Par ,286,NA,0,NA,NA,NA,NA,Envío gratis a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/KECHVR.COM,https://articulo.mercadolibre.com.pe/MPE-436571995-philips-satinshave-avanzada-brl-140-rasuradora-electrica-par-_JM,NA,NA,NA,NA,NA,#436571995,NA
64," Rasuradora Eléctrica Para Tela Y Suéteres, Removedor De Pelu ",148,NA,0,NA,NA,NA,NA,Envío gratis a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/KECHVR.COM,https://articulo.mercadolibre.com.pe/MPE-436572009-rasuradora-electrica-para-tela-y-sueteres-removedor-de-pelu-_JM,NA,NA,NA,NA,NA,#436572009,NA
65, Afeitador Electrico Philips Aquatouch Seco Y Humedo Pt20 ,225,NA,2,8,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/GOBUY+STORE,https://articulo.mercadolibre.com.pe/MPE-432311100-afeitador-electrico-philips-aquatouch-seco-y-humedo-pt20-_JM,NA,NA,NA,NA,NA,#432311100,NA
66, Afeitadora Electrica Gs Philips P26 ,120,NA,0,2,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/GOBUY+STORE,https://articulo.mercadolibre.com.pe/MPE-432479232-afeitadora-electrica-gs-philips-p26-_JM,NA,NA,NA,NA,NA,#432479232,NA
67," Afeitadora Eléctrica Panasonic Es-sl41-s Arc3, Sin Cable ",365,NA,0,NA,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/AKAESPERUSAC,https://articulo.mercadolibre.com.pe/MPE-435809719-afeitadora-electrica-panasonic-es-sl41-s-arc3-sin-cable-_JM,NA,NA,NA,NA,NA,#435809719,Panasonic
68," La Afeitadora Eléctrica Panasonic Es-rt97-s Arc3, Sin Cab ",504,NA,0,NA,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/AKAESPERUSAC,https://articulo.mercadolibre.com.pe/MPE-435724208-la-afeitadora-electrica-panasonic-es-rt97-s-arc3-sin-cab-_JM,NA,NA,NA,NA,NA,#435724208,Panasonic
69, Juego De Removedor De Pelo Eléctrico Para Afeitadora Y Na ,192,NA,0,NA,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/AKAESPERUSAC,https://articulo.mercadolibre.com.pe/MPE-435724744-juego-de-removedor-de-pelo-electrico-para-afeitadora-y-na-_JM,NA,NA,NA,NA,NA,#435724744,Sport out
70, Luxanna Ladies Afeitadora Eléctrica 5 En 1 Recargable Maq ,257,NA,0,NA,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/AKAESPERUSAC,https://articulo.mercadolibre.com.pe/MPE-435724486-luxanna-ladies-afeitadora-electrica-5-en-1-recargable-maq-_JM,NA,NA,NA,NA,NA,#435724486,Luxanna
71, Panasonic Eslt7ns Sistema De Afeitadora Eléctrica Arc 3bl ,741,NA,0,NA,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/AKAESPERUSAC,https://articulo.mercadolibre.com.pe/MPE-435809833-panasonic-eslt7ns-sistema-de-afeitadora-electrica-arc-3bl-_JM,NA,NA,NA,NA,NA,#435809833,Panasonic
72, Depilador Flawless Electrico Rasurador Vello Facial Luz Led ,24,NA,0,10,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/ANALULOZANO,https://articulo.mercadolibre.com.pe/MPE-436594392-depilador-flawless-electrico-rasurador-vello-facial-luz-led-_JM,NA,NA,NA,NA,NA,#436594392,NA
