search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Modelo,Potencia de salida (RMS),Color,Tipos de parlante,Peso,Conectores de entrada,Línea,Tipos de filtros del parlante
305, Jbl Go 2 Parlante Bluetooth Acuático Nuevo Sellado / Tienda ,119,NA,5,998,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.8,15,http://perfil.mercadolibre.com.pe/IMANIA.PERU,https://articulo.mercadolibre.com.pe/MPE-431773655-jbl-go-2-parlante-bluetooth-acuatico-nuevo-sellado-tienda-_JM#position=40&type=item&tracking_id=525d2b1b-95b5-4b98-a11e-18eff9b71e69,13,1,1,0,0,#431773655,JBL,GO 2,3 W,NA,Portátil,NA,NA,GO,Activo
306, Parlante Con Bateria Negro Ha-r34 70w Bluetooth Usb Sd Fm ,115,NA,0,3,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/SOLUCIONES+HACS,https://articulo.mercadolibre.com.pe/MPE-436100244-parlante-con-bateria-negro-ha-r34-70w-bluetooth-usb-sd-fm-_JM#position=41&type=item&tracking_id=525d2b1b-95b5-4b98-a11e-18eff9b71e69,NA,NA,NA,NA,NA,#436100244,Halion,R34,70 W,NA,Portatil,NA,"USB, Bluetooth, MicroSd, Micrófono",NA,Pasivo
307, Parlante Bluetooth Sony Extra Bass Xb31 Portatil-colores ,395,NA,1,1,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/AMORETTISTORE,https://articulo.mercadolibre.com.pe/MPE-435871643-parlante-bluetooth-sony-extra-bass-xb31-portatil-colores-_JM#position=42&type=item&tracking_id=525d2b1b-95b5-4b98-a11e-18eff9b71e69,NA,NA,NA,NA,NA,#435871643,Sony,SRS-XB31,NA,NA,GAMA AMPLIA,NA,NA,EXTRA BASS,Activo
308, Parlante Sony Srs-xb20/bc Bluetooth ,325,NA,0,76,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/DLECTRO-PERU,https://articulo.mercadolibre.com.pe/MPE-432856804-parlante-sony-srs-xb20bc-bluetooth-_JM#position=43&type=item&tracking_id=525d2b1b-95b5-4b98-a11e-18eff9b71e69,NA,NA,NA,NA,NA,#432856804,Sony,SRS-XB20,NA,NA,NA,NA,NA,EXTRA BASS,Activo
309, Foco Parlante Bluethooth ,50,NA,1,40,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/CRISPINMELENDREZHUAMAN,https://articulo.mercadolibre.com.pe/MPE-431430565-foco-parlante-bluethooth-_JM#position=44&type=item&tracking_id=525d2b1b-95b5-4b98-a11e-18eff9b71e69,NA,NA,NA,NA,NA,#431430565,NA,NA,NA,NA,NA,NA,NA,NA,NA
310, Potente Parlante Linterna Todoterreno Bicicleta Bluetooth Sd ,129,NA,0,999,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/ENERGYZONE_MIRAFLORES,https://articulo.mercadolibre.com.pe/MPE-426596481-potente-parlante-linterna-todoterreno-bicicleta-bluetooth-sd-_JM#position=45&type=item&tracking_id=525d2b1b-95b5-4b98-a11e-18eff9b71e69,NA,NA,NA,NA,NA,#426596481,NA,NA,NA,Negro,NA,NA,NA,NA,NA
311, Parlante Maxtron Benique Mx103bt Usb ,251,NA,0,2,NA,NA,NA,Envío gratis a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/REYLU+PRODUCTS,https://articulo.mercadolibre.com.pe/MPE-434682282-parlante-maxtron-benique-mx103bt-usb-_JM#position=46&type=item&tracking_id=525d2b1b-95b5-4b98-a11e-18eff9b71e69,NA,NA,NA,NA,NA,#434682282,NA,NA,NA,NA,NA,NA,NA,NA,NA
312, Parlante Bluetooh Belia Linea Hogar ,60,NA,0,1,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/YAKO_2014,https://articulo.mercadolibre.com.pe/MPE-437223715-parlante-bluetooh-belia-linea-hogar-_JM#position=47&type=item&tracking_id=525d2b1b-95b5-4b98-a11e-18eff9b71e69,NA,NA,NA,NA,NA,#437223715,NA,NA,NA,NA,NA,NA,NA,NA,NA
313, Parlante Knup Kp - 506bt Bluetooth / Fm / Usb / Micro Sd ,39,NA,0,NA,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/INTOUCH+EASY,https://articulo.mercadolibre.com.pe/MPE-436423851-parlante-knup-kp-506bt-bluetooth-fm-usb-micro-sd-_JM#position=48&type=item&tracking_id=525d2b1b-95b5-4b98-a11e-18eff9b71e69,NA,NA,NA,NA,NA,#436423851,Knup,NA,NA,NA,NA,NA,USB,NA,NA
314, Receptor Bluetooth Adaptador 3.5mm Para Estéreos Parlantes ,35,NA,1,10,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/ELECSERVICE,https://articulo.mercadolibre.com.pe/MPE-436417962-receptor-bluetooth-adaptador-35mm-para-estereos-parlantes-_JM#position=49&type=item&tracking_id=525d2b1b-95b5-4b98-a11e-18eff9b71e69,NA,NA,NA,NA,NA,#436417962,NA,NA,NA,NA,NA,NA,NA,NA,NA
315, Parlantes Bluetooth Speaker Marca My Vision ,20,NA,17,8,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/MISSRANA,https://articulo.mercadolibre.com.pe/MPE-431417642-parlantes-bluetooth-speaker-marca-my-vision-_JM#position=50&type=item&tracking_id=525d2b1b-95b5-4b98-a11e-18eff9b71e69,NA,NA,NA,NA,NA,#431417642,NA,NA,NA,NA,NA,NA,NA,NA,NA
316, Parlante Harman Kardon Onyx Mini Bluetooth ,550,NA,0,3,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/DOMIZI-MEDIA,https://articulo.mercadolibre.com.pe/MPE-436456772-parlante-harman-kardon-onyx-mini-bluetooth-_JM#position=51&type=item&tracking_id=525d2b1b-95b5-4b98-a11e-18eff9b71e69,NA,NA,NA,NA,NA,#436456772,Harman Kardon,Onyx Mini,8 W,NA,NA,587 g,NA,NA,Activo
317, Parlante Bluetooth Tronsmart Element 24 Horas Bateria 10w ,189,NA,0,NA,NA,NA,NA,Envío gratis a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/FILIUM360,https://articulo.mercadolibre.com.pe/MPE-434751088-parlante-bluetooth-tronsmart-element-24-horas-bateria-10w-_JM#position=52&type=item&tracking_id=525d2b1b-95b5-4b98-a11e-18eff9b71e69,NA,NA,NA,NA,NA,#434751088,NA,NA,10 W,NA,NA,NA,NA,NA,NA
318, Parlante Bluetooth Inalámbrico Estéreo Portátil ,24,NA,0,10,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/PRECIO.PE,https://articulo.mercadolibre.com.pe/MPE-426243462-parlante-bluetooth-inalambrico-estereo-portatil-_JM#position=1&type=item&tracking_id=849d5fea-1da5-4552-ae23-aa75cfbf668b,NA,NA,NA,NA,NA,#426243462,NA,NA,NA,NA,NA,2 kg,NA,NA,NA
319, Parlante Portátil Bateria Maxtron Genesis Karaoke Luces Led ,489,NA,0,NA,NA,NA,NA,Envío gratis a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/REYLU+PRODUCTS,https://articulo.mercadolibre.com.pe/MPE-434682774-parlante-portatil-bateria-maxtron-genesis-karaoke-luces-led-_JM#position=2&type=item&tracking_id=849d5fea-1da5-4552-ae23-aa75cfbf668b,NA,NA,NA,NA,NA,#434682774,NA,NA,NA,NA,NA,NA,NA,NA,NA
320, Parlantes Bluetooth Con Diseño Emoji - Logic Pro ,49,NA,1,NA,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/VENTAS_LOGICPROEIRL,https://articulo.mercadolibre.com.pe/MPE-433181733-parlantes-bluetooth-con-diseno-emoji-logic-pro-_JM#position=3&type=item&tracking_id=849d5fea-1da5-4552-ae23-aa75cfbf668b,NA,NA,NA,NA,NA,#433181733,NA,NA,NA,NA,NA,NA,NA,NA,NA
321, Parlante Kolke Move Kpp264 plateado Bluetooth Larga Duración ,62,NA,0,100,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/PORMAYOR.PE+S.A.,https://articulo.mercadolibre.com.pe/MPE-436924016-parlante-kolke-move-kpp264plateado-bluetooth-larga-duracion-_JM#position=4&type=item&tracking_id=849d5fea-1da5-4552-ae23-aa75cfbf668b,NA,NA,NA,NA,NA,#436924016,Kolke,KPP-264,NA,NA,NA,NA,NA,NA,NA
322, Parlante Jbl Go 2 ,99,NA,0,1,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.8,15,http://perfil.mercadolibre.com.pe/CTPPERU,https://articulo.mercadolibre.com.pe/MPE-437205366-parlante-jbl-go-2-_JM#position=5&type=item&tracking_id=849d5fea-1da5-4552-ae23-aa75cfbf668b,13,1,1,0,0,#437205366,JBL,GO 2,3 W,NA,NA,NA,NA,GO,Activo
323, Parlante Jbl Boombox Resistente Al Agua Bluetooth Nuevo ,1489,NA,0,100,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/ELEAZARALATAMARINO,https://articulo.mercadolibre.com.pe/MPE-435772155-parlante-jbl-boombox-resistente-al-agua-bluetooth-nuevo-_JM#position=6&type=item&tracking_id=849d5fea-1da5-4552-ae23-aa75cfbf668b,NA,NA,NA,NA,NA,#435772155,JBL,Boombox,60 W,NA,Tweeter,NA,NA,NA,Activo/Pasivo
324, Parlante Bluetooth Venta Por Mayor Envio Para Provincia ,15,NA,48,19,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,5,1,http://perfil.mercadolibre.com.pe/REVOLLEDOJOSEANTONIO,https://articulo.mercadolibre.com.pe/MPE-423550791-parlante-bluetooth-venta-por-mayor-envio-para-provincia-_JM#position=7&type=item&tracking_id=849d5fea-1da5-4552-ae23-aa75cfbf668b,1,0,0,0,0,#423550791,NA,NA,NA,NA,NA,NA,NA,NA,NA
325, Parlante Hegel Mic S6011bt - Rms: 60w (40w + 10w X2) (woofer ,95,NA,3,7,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/WWW.CORPORACIONDASH.COM,https://articulo.mercadolibre.com.pe/MPE-432980767-parlante-hegel-mic-s6011bt-rms-60w-40w-10w-x2-woofer-_JM#position=8&type=item&tracking_id=849d5fea-1da5-4552-ae23-aa75cfbf668b,NA,NA,NA,NA,NA,#432980767,NA,NA,NA,NA,Woofer,NA,NA,NA,NA
326, Parlante Bluetooth Portable ,80,NA,1,9,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/LUISPOMPILLA,https://articulo.mercadolibre.com.pe/MPE-436893375-parlante-bluetooth-portable-_JM#position=9&type=item&tracking_id=849d5fea-1da5-4552-ae23-aa75cfbf668b,NA,NA,NA,NA,NA,#436893375,Bauker,NA,6 W,NA,Estereo,250 g,NA,NA,NA
327, Parlantes Jbl Flip 4 Bluetooth Wireless Originales ,350,NA,0,4,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.8,9,http://perfil.mercadolibre.com.pe/OSCAR-MANUEL,https://articulo.mercadolibre.com.pe/MPE-433421796-parlantes-jbl-flip-4-bluetooth-wireless-originales-_JM#position=10&type=item&tracking_id=849d5fea-1da5-4552-ae23-aa75cfbf668b,7,2,0,0,0,#433421796,JBL,Flip 4,16 W,Agua,NA,NA,NA,Flip,Activo
328, Parlante Portátil. Xiaomi Bluetooth Speaker ,159,NA,0,10,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/ROJASTONDERJOHANANDERSON,https://articulo.mercadolibre.com.pe/MPE-434035520-parlante-portatil-xiaomi-bluetooth-speaker-_JM#position=11&type=item&tracking_id=849d5fea-1da5-4552-ae23-aa75cfbf668b,NA,NA,NA,NA,NA,#434035520,Xiaomi,NA,NA,NA,NA,NA,NA,NA,NA
329, Parlante Bluetooth Tronsmart Element Force 40w Ipx7 ,265,NA,0,3,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/TECH_STORE_WG,https://articulo.mercadolibre.com.pe/MPE-436298794-parlante-bluetooth-tronsmart-element-force-40w-ipx7-_JM#position=12&type=item&tracking_id=849d5fea-1da5-4552-ae23-aa75cfbf668b,NA,NA,NA,NA,NA,#436298794,NA,NA,40 W,NA,NA,NA,NA,NA,NA
330, Parlante Bluetooth Sony Xb12 Extra Bass Ip67 Sumergible ,198,NA,0,6,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/GOMAXPERUCOM,https://articulo.mercadolibre.com.pe/MPE-436999523-parlante-bluetooth-sony-xb12-extra-bass-ip67-sumergible-_JM#position=13&type=item&tracking_id=849d5fea-1da5-4552-ae23-aa75cfbf668b,NA,NA,NA,NA,NA,#436999523,Sony,SRS-XB12,20 W,NA,INALAMBRICO,243 g,USB,EXTRA BASS,NA
331, Lámpara De Escritorio-velador C/ Parlante Bluetooth ,49,NA,0,NA,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/JAVEN2015,https://click1.mercadolibre.com.pe/mclics/clicks/external/MPE/count?a=0UUGHcLXJSg59R1ReaG%2B7YSeUmNM3%2Fk8BtBplrY30x9L%2FvZgfbpXCm%2B0PfnnZ4R1%2F0QMlkHiB6WQLVkMBQSpcRMMIkbVQKynPIC%2BnS181iTX2TLxFkI%2F%2BYPC8bv2Bx%2Bvo8CY7WAzMq5g8%2BxqKtlDwawb8cU2kBrRGHJJCWiNRjnLSReCZqT0qlCDXCKDeZBQmM4J2VVJvG5xSM47RZxBPm0HwFWDJtj%2FUsMFIHCnrA4tqGPCNKP%2FUFAMbflgvjCvNXZ%2BxnUxmfeu4pNPpvN3l00P5uSza5Kfg2f92e6bEoccNduQ1uswuxj6R83VPuoVSj5BkakROcdy%2Bt876jUd2UEp5M8CLh%2BA6GyMlFYSbCiO%2FxhM01%2BLpaMoNwCUtNBbxm3jV%2Ffr%2F7zo6C8E1hBom5HiEFmZIZv03b3rAXWqOYpbPRHxIRhlUe608ttQC0jQAKeM65WfC%2F9RrOxjWiJDM0ZjjzynXm%2FBJC9eFC5OCOZm3bMzH2p1gxmHjnihC%2B%2FaAswSxcKDJAN8VjRjDySm9lQpLBvdVOl2Ev8G9d1o0ArBn%2BqyPoxa4IKxD7AYJdwL4hk0mJfwgXO16Putc7sUxzlu6hIRgMk5G%2BzZEgduQA3JLspvRzFUUALc%2Bjr06OmLy2bmC65YU9S9Imak8TdT68ooKvXc8dn0JUzUIEy6Jqw9z0djaQfExuzEu0N0LFUFbqxcJ4dszIhlvTug4lSwGIYZng%2F5W5ANfOJKIHD%2Br5R3zePjIUGOrJXWIuhkxfKiZipa1YWdyvwFGBLpwJhO9dwEx52hlXINWNgXygfe7pVP1i1P22wsFdnCxiWlEaO9dM2fjWvbxpThAYeeU4GOJMjLy2GLYjPR2Lzlk4nhxkj1m57dJn3DA8EMYrWixEnfbjDrvOcfBbvSd9YbcmrNKEjv7ExkYi72BtiUXIL%2BS7anpm2VsdDEL0JiVDe8WmD6T2JDqPJyxWMPIg0EYckt0LmhyFqpDWPRfrSF3QzS5VtV%2BclH4Vk%2F3AuKkh84%2Bg3jKy1k60O5PZMtLpfzjbbPfzDzADPJkalG4sfUnNPldoWHUBAADBa3AbmcHla0UHqpB773umrGo4Esk8M7sF8fXbH25qPQSoKl5xV3M5%2BJRcwwBjLE1lxE2%2F1WIYYdxQ%2BZdjqjcP9qUyo6qRtLu8RkU6lQTfJkX8vk%2FsPY%2BZFThFVcflUgi4K5pG0Y87gmDxlMd%2FdEh0oxWs%2BJqy4AYt3KI%2FTJlnPCbzOToQcQcupFLOpPbZK%2BtFpFoRTFJberWywG%2B0AD%2FI4IA3GHdXBl6xCbNJErnYKXwXrmJsgebMFviAuow3c1tu8GzgRoPVUauLqfYZImEee8RtwdvjziuRjUbgJLF4kh104M0x14kWZALwsQ96zJzl%2FK7fBYoAg8pj%2FgVarfy%2FemqoPyVKmAfdQK85YJPUEUF2AEV%2FYLSjOtehgJgHLjX2XGqV5tazE%2FnyBWAIphdMEY9exK%2FSuUmCtBNKSDWNTbsjunLs3ixqJWp3Z9sBTbczdUP5%2FvFLN1obTVd8aL4QeHZKmqi3q%2FDwTBGOQ8EuZQBkzG9TKstxTvL%2F5TQDTWK6AKOCt4N4z2PPRiLkWUD4z%2FL8hEozCCYMfTBJnmjmAkvhXkc6gdht6R%2BPmde2CWTXGshYtztHuTst619VNq3rfez%2FMhNNEII9BGGPnO9vVrxVKr52rhWEBjdfhgpQxR4kKoZsRvNhYz%2F2NhIAGRcnbH%2F96jrA%3D%3D,NA,NA,NA,NA,NA,#437870862,NA,NA,NA,NA,NA,NA,NA,NA,NA
332," Bluetooth Portatil Para Equipos, Parlantes, Smart Tv, Autos ",20,NA,1,9,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/CARLOSAVENDANO15,https://articulo.mercadolibre.com.pe/MPE-435518197-bluetooth-portatil-para-equipos-parlantes-smart-tv-autos-_JM#position=15&type=item&tracking_id=849d5fea-1da5-4552-ae23-aa75cfbf668b,NA,NA,NA,NA,NA,#435518197,NA,NA,NA,NA,NA,NA,NA,NA,NA
333," Parlante Bluetooth ,alarma ,radio Moto Lineal Entrada,usb ",79,NA,0,50,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/CIROXELECTRONIC,https://articulo.mercadolibre.com.pe/MPE-435532335-parlante-bluetooth-alarma-radio-moto-lineal-entradausb-_JM#position=16&type=item&tracking_id=849d5fea-1da5-4552-ae23-aa75cfbf668b,NA,NA,NA,NA,NA,#435532335,Cafini,NA,NA,NA,NA,NA,USB,NA,NA
334, Mini Altavoz Parlante Bluetooth Subwoofer Nfc 20 Hrs == Sony ,69,NA,0,5,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/DADACOOLOFICIAL,https://articulo.mercadolibre.com.pe/MPE-435952150-mini-altavoz-parlante-bluetooth-subwoofer-nfc-20-hrs-sony-_JM#position=17&type=item&tracking_id=849d5fea-1da5-4552-ae23-aa75cfbf668b,NA,NA,NA,NA,NA,#435952150,Sony,NA,NA,NA,NA,99 oz,NA,NA,NA
335, Parlante Bluetooth ,19,NA,0,1,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/JAVEN2015,https://click1.mercadolibre.com.pe/mclics/clicks/external/MPE/count?a=srY56XrSthg7TpngHoTDb22VqmAONQ0GIMgNKxPlIi8Rz8LbtUHnCOHo5Ev4tTxT55LbrUpM9Hsi%2FjbSoqv1cZpwzlWI7X7TeGaC7FyamjxlijBWC7RfmINBs1O8w%2BJDpw1r4cUCY2RsbWD9%2BwcNg0UahixPIZ6f%2Bpk2k727me9SrORss5GWk5uFuQl8SldDGYtVGp70D24wiJ%2FayPegp9wwLdJkTAzvvgi44tgAQ5AgN7a6w5lLaVtA19Ap1YNhLNf4TeV0Breg6Gm%2BNZSBdXbu26Ozj7LbdEyZjRf7lsp4LazuqKJuxL7fLLlCusBVD8RYQOTOImfciEJmTkTD52dXjn5UVRsspVcn930fP5J8ztYcqhhMGC8grHa5RjAXF2uWTK0z3FO1ScN1%2FQJtvWU42I1Z0sgPe0RkgTqlqJokSfO5TlBAXIIeWcIUmDEAE4sQf7956KXOhHXIF2hUXXzfOU2PJ4Wu6cb3QNLqM2JBiO9bPYopi3wRAOxK5ItqGbcNtTL32JSOT2%2BU2uNzMBjT8BiSaUzS8Cp1z31BI0OapcZy86je3fqAvEtBXZfc%2BEfRPk12e9DnCTgzlHajba5y6rQ6SusC66f%2F%2FbEOhqQROwBTNBP8%2FEKIIRi1ZjVh0qVRPvwTMhHbnvjjJumwqgL0tfTNBoowBJMuosJrLD0GpjK4PRcixXKzTPdMTVB1oqAA%2BMRvG1%2BfGSeJKdofJujMD%2F5E%2FZpfZWA%2FlNmQlflPlAMdFnxEZ5KnPByDH%2F6JqT0KtihtorU4vBt9jsYh0J35eL6Gsklsexbnwx5W5gPCDv3jjOT8OPQJdJFBgP6ReS0rO8UqloAaFXZ37Q7NADl%2B%2BbuSyI8iii0IqLOf3Tz9NkS9dzw%2BgTV0c%2FxNBuZb2beCX9MEr4cR3Ud77cB7lAh3DCGW3AgCn3EdqUis9nfpFjPBbvqGpV24SY28Fc5Adm4xVWH9%2FeWivZ0ALGlx7vxtcvupI3As7jhL7RqOuedwjTsfjFjPjK%2FmRFFBvSD3ELSL%2FK%2BQUDtZtd9VNGi8hWecQQrsXysTUjTKt%2F3AcjklUxLCy326%2Bf%2B4ttaED9HbwelihBXfF8Xh67NqkeSC6O82xW01ktXZI0oGD7ahKXJk5PhGPPeF4EEqVGTqe3pgVQ5O1nbZyIluh1gp46%2FL1TZ8FikMRRJjPh%2BYCocVyEj92Kr92%2F%2BeWT0JDytnwmk8%2FwgrtxMUCgCwHyYVDcmJGTU5nT8JL8J%2FXVpKeAqHDsSateu2hhi%2BVZyyUV%2FMmUsoLfzPsNlEhuq389A%2Fo8nXpr4rcwhqFQp1yPleYdxpfiJvHkCsUt1LgDv0Bf%2BWv3fnBxXSWZuSJkWVWOAq2nt6fEHKOyoIRpGauJdot%2FFjcXz6aaBE4L8dozi5aAGCT75X3yQJIj1%2FWLksQ3lkqRX%2BY2vys6lXIUMLq%2BMD%2BAbkSZyP7fJiPNLgW3fCRVrCkiCr0XTEhrwabiiIAdVzDvuTNdJFxzTTE%2FgrvuFkEHrTsT7GXpHGDkdUvszx13sETDSM58ZksZoG8HeFwsxb23%2F6jJHBW3ONJwR%2BAfk6JvHOnYdtxMaaKEvv8RavGRe97VVar8TYdfqS0RZ1nAmWGZmnhbOdwd1mcMElE3QUxFuyyngnstliHWHuFyzYjAE0BqdVPJL9q7v97mC7WOhBfAsXMc4CifnLn0pHXxM%3D,NA,NA,NA,NA,NA,#437870890,NA,NA,NA,NA,BLUETOOTH,NA,NA,NA,NA
336, Parlante Amplificar Karaoke Bluetooth 8 Pulgadas ,179,NA,3,50,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/CIROXELECTRONIC,https://articulo.mercadolibre.com.pe/MPE-425807692-parlante-amplificar-karaoke-bluetooth-8-pulgadas-_JM#position=19&type=item&tracking_id=849d5fea-1da5-4552-ae23-aa75cfbf668b,NA,NA,NA,NA,NA,#425807692,NA,NA,NA,NA,NA,NA,NA,NA,NA
337," Jbl Boost Tv / Parlante Bluetooth / No Sony, 30 Watts Nuevo ",599,NA,7,8,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/RAGIMPORT,https://articulo.mercadolibre.com.pe/MPE-424167611-jbl-boost-tv-parlante-bluetooth-no-sony-30-watts-nuevo-_JM#position=20&type=item&tracking_id=849d5fea-1da5-4552-ae23-aa75cfbf668b,NA,NA,NA,NA,NA,#424167611,JBL,BOOST TV,30 W,NA,NA,1.7 kg,USB,NA,NA
338, Receptor Usb Bluetooth Autos Equipo De Sonido Parlantes Jeep ,24,NA,623,438,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/GRUPONATIC.PE,https://articulo.mercadolibre.com.pe/MPE-434076675-receptor-usb-bluetooth-autos-equipo-de-sonido-parlantes-jeep-_JM#position=21&type=item&tracking_id=849d5fea-1da5-4552-ae23-aa75cfbf668b,NA,NA,NA,NA,NA,#434076675,Bt,dongle,NA,NA,NA,NA,NA,NA,NA
339, Parlante Premium Bluetooh Anker Soundcore Boost 20w ,400,NA,0,3,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/ANDREUS+STORE,https://articulo.mercadolibre.com.pe/MPE-436589558-parlante-premium-bluetooh-anker-soundcore-boost-20w-_JM#position=22&type=item&tracking_id=849d5fea-1da5-4552-ae23-aa75cfbf668b,NA,NA,NA,NA,NA,#436589558,Anker,NA,20 W,NA,NA,NA,NA,SoundCore,NA
340, Parlante Bluetooth Recargable + Subwoofer 70 W Karaoke ,168,NA,10,500,NA,NA,NA,Envío gratis a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/INNOVA+LEDS,https://articulo.mercadolibre.com.pe/MPE-423890429-parlante-bluetooth-recargable-subwoofer-70-w-karaoke-_JM#position=23&type=item&tracking_id=849d5fea-1da5-4552-ae23-aa75cfbf668b,NA,NA,NA,NA,NA,#423890429,Cafini,NA,80 W,NA,Subwoofer,NA,USB,NA,NA
341," Parlante Ewtto Bluetooth , Fm , Usb Mas Microno Y Control ",87,NA,0,10,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/VIENISHOP,https://articulo.mercadolibre.com.pe/MPE-435949610-parlante-ewtto-bluetooth-fm-usb-mas-microno-y-control-_JM#position=24&type=item&tracking_id=849d5fea-1da5-4552-ae23-aa75cfbf668b,NA,NA,NA,NA,NA,#435949610,ewtto,NA,5 W,NA,NA,NA,NA,NA,NA
342, Parlante Portatil Bluetooh Radio Micro Sd Usb ,65,NA,0,NA,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/JOSE+GOGOME,https://articulo.mercadolibre.com.pe/MPE-436394268-parlante-portatil-bluetooh-radio-micro-sd-usb-_JM#position=25&type=item&tracking_id=849d5fea-1da5-4552-ae23-aa75cfbf668b,NA,NA,NA,NA,NA,#436394268,NA,NA,NA,NA,NA,NA,NA,NA,NA
343, Parlante Portátil Jbl Go2 Bluetooth ,119,NA,5,25,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.8,15,http://perfil.mercadolibre.com.pe/ROJASTONDERJOHANANDERSON,https://articulo.mercadolibre.com.pe/MPE-432648352-parlante-portatil-jbl-go2-bluetooth-_JM#position=26&type=item&tracking_id=849d5fea-1da5-4552-ae23-aa75cfbf668b,13,1,1,0,0,#432648352,JBL,GO 2,3 W,NA,NA,NA,NA,NA,Activo
344, Receptor Bluetooth Para Parlantes/auto/etc ,17,NA,9,31,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,5,3,http://perfil.mercadolibre.com.pe/TECNOLIFEPE,https://articulo.mercadolibre.com.pe/MPE-424296832-receptor-bluetooth-para-parlantesautoetc-_JM#position=27&type=item&tracking_id=849d5fea-1da5-4552-ae23-aa75cfbf668b,3,0,0,0,0,#424296832,NA,NA,NA,NA,NA,NA,NA,NA,NA
