search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,color,size,Marca,Modelo,Tipo de casco,Peso,Línea,Tipo
374, Casco Moto Integral Certificado Zeus Original No Icon Agv Mt ,230,300,0,2,12 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/MOTOSTOREBOGOTA.COM,https://articulo.mercadolibre.com.co/MCO-511376398-casco-moto-integral-certificado-zeus-original-no-icon-agv-mt-_JM?searchVariation=36162696425,NA,NA,NA,NA,NA,#511376398,Negro mate,"M,L",Zeus,2000 A,Integral,NA,NA,NA
375, Cascos Para Moto Certificado Shaft 541 Integral +obsequio ,220,NA,0,40,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/AFMPUNTO2,https://articulo.mercadolibre.com.co/MCO-476931534-cascos-para-moto-certificado-shaft-541-integral-obsequio-_JM,NA,NA,NA,NA,NA,#476931534,"S,M,L,XL",,Shaft,SH-541 GT,Integral,NA,NA,NA
376, Cascos Para Moto Doble Certificado Hro 510 Integral Obsequio ,151.9,NA,0,40,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/AFMPUNTO2,https://articulo.mercadolibre.com.co/MCO-475470898-cascos-para-moto-doble-certificado-hro-510-integral-obsequio-_JM,NA,NA,NA,NA,NA,#475470898,"S,M,L,XL",,HRO,510,Integral,NA,NA,NA
377, Vespa De Motocicleta Con Casco Abierto Dot Aprobado - Yem... ,555.9,NA,0,5,12 cuotas,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/AKARGO+COLOMBIA,https://articulo.mercadolibre.com.co/MCO-483242426-vespa-de-motocicleta-con-casco-abierto-dot-aprobado-yem-_JM,NA,NA,NA,NA,NA,#483242426,NA,NA,Vespa,NA,Rebatible,5 lb,NA,NA
378, Casco Cross Certificado Moto Hro Mx330 Integral +obsequio ,167.9,NA,0,24,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/AFMPUNTO2,https://articulo.mercadolibre.com.co/MCO-506444377-casco-cross-certificado-moto-hro-mx330-integral-obsequio-_JM,NA,NA,NA,NA,NA,#506444377,"S,M,L,XL",,HRO,MX330,Integral,NA,MX330,NA
379, Casco Moto Reglamentario Shaft Sh 586 Hombre Original ,290,NA,0,60,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/TIENDAUNISEX+ONLINE,https://articulo.mercadolibre.com.co/MCO-508000202-casco-moto-reglamentario-shaft-sh-586-hombre-original-_JM?searchVariation=34527841384,NA,NA,NA,NA,NA,#508000202,Gris/Amarillo,"M,L,XL",Shaft,SH 586,Integral,1.45 g,SH-586,NA
380, Cascos Moto Certificado Ich 501 + Eco Regalo ,109.5,NA,1,159,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/AFMPUNTO2,https://articulo.mercadolibre.com.co/MCO-456213824-cascos-moto-certificado-ich-501-eco-regalo-_JM,NA,NA,NA,NA,NA,#456213824,"S,M,L,XL",,ICH,501,Integral,0 mg,NA,NA
381, Cascos Para Moto Doble Certificado X One Intergral +obsequio ,150.9,NA,0,40,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/AFMPUNTO2,https://articulo.mercadolibre.com.co/MCO-475395625-cascos-para-moto-doble-certificado-x-one-intergral-obsequio-_JM,NA,NA,NA,NA,NA,#475395625,"S,M,L,XL",,X ONE,X50,Integral,NA,NA,NA
382, Casco Moto Integral Abatible Doble Visor Certificado Ich3110 ,120,NA,4,100,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/TODOPARTS1000,https://articulo.mercadolibre.com.co/MCO-448262636-casco-moto-integral-abatible-doble-visor-certificado-ich3110-_JM,NA,NA,NA,NA,NA,#448262636,NA,NA,NA,NA,NA,NA,NA,Rebatible
383, Casco Moto Shox Stinger Warhead Envio Gratis No Shaft Mt Agv ,210,280,1,3,12 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/MOTOSTOREBOGOTA.COM,https://articulo.mercadolibre.com.co/MCO-476321532-casco-moto-shox-stinger-warhead-envio-gratis-no-shaft-mt-agv-_JM,NA,NA,NA,NA,NA,#476321532,Azul marino / Naranja,"M,L,XL",Shox,Stinger,Integral,1.5 kg,NA,NA
384, Hro 514 Casco Para Moto + Eco Regalo ,166.25,NA,1,159,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/AFM.I,https://articulo.mercadolibre.com.co/MCO-456191916-hro-514-casco-para-moto-eco-regalo-_JM?searchVariation=17542629701,NA,NA,NA,NA,NA,#456191916,Negro,"S,M,L,XL",HRO,"5 1/2""",Integral,1.55 g,NA,NA
385, Cascos Moto Certificado Ich 501 + Eco Regalo ,109.5,NA,2,158,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/AFM.I,https://articulo.mercadolibre.com.co/MCO-456205662-cascos-moto-certificado-ich-501-eco-regalo-_JM?searchVariation=17547274794,NA,NA,NA,NA,NA,#456205662,Negro,"S,M,L,XL",NA,NA,Integral,0 mg,NA,NA
386," Casco Para Motociclista, Tamaño Medio, Unisex ",681.9,NA,0,5,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/MASFRESALIMON,https://articulo.mercadolibre.com.co/MCO-494001340-casco-para-motociclista-tamano-medio-unisex-_JM,NA,NA,NA,NA,NA,#494001340,NA,NA,NA,NA,NA,NA,NA,Rebatible
