search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Modelo,Formato
34,Auriculares Inalámbricos Apple - Sellados - Garantía!!,310,NA,1,99,18 cuotas,NA.NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/NEPOLLUCH,https://articulo.mercadolibre.com.uy/MLU-449003443-auriculares-inalambricos-apple-sellados-garantia-_JM,NA,NA,NA,NA,NA,#449003443,Apple,NA,NA
35,Auriculares Bluetooh Magneticos Con Manos Libres,289,NA,11,39,18 cuotas,NA.NA,NA,Envío a todo el país,NA,NA,5,2,http://perfil.mercadolibre.com.uy/TUBELUXUY,https://click1.mercadolibre.com.uy/mclics/clicks/external/MLU/count?a=lllaecY4iiYcJZ49u4kA%2BZQ6tK33GirwHey8PSn1BACWvAOmAm5%2BFTpiiLn6jbAPgwe9yemhAYrgQg%2F186lQeJvCjzkDokaYOIS44Z2NYgCdEatQF6z0x2idj%2BEt3VHuLm7spn%2FsB%2Fl0Dg6bwAIrU3Q7bPnTNZLzZJar3UG4uAdTNilR6X6pdWlOH%2BPfsVNOB92OT0vMKJzx5zQO7r5fhag%2BkBeJtFE8dKRwP79Pw5XgwVXbXjcQxhTagRZcUCnJnaymcrvPU6UgMMX1TvUs8YzlkRQfc1smDPE57xCoZERhhX1PJ4Fg%2BxABHvw%2FtPfUCjkG8HG0GQA%2FaT9D0UCZHfjV%2F0C0ioJ6HyftGjVyzRnQXBh1uFiIFIPMnMX99ajQEiBU5Ry6Ab0Lc5P4jiIu8%2Fz%2Bo%2BPsWwa%2BuMNC4O4b7uUCY1ggvHUAvK1JC%2FjFxzfOFzcsMX0jHNhW9QhJktwqnBOhQtXK99e25iEuA4kYvNtz7bnBJNz3ASSzxRt0dD6UktG5L%2Br8hGWJW9kQhsjTrY1Fl7lh4azCg58ZvO5ExtEqMWEyaqmT6uIxCMA3nO0foC3v3JLeG6B4wJnT7UdlQ8pvYrG8AsFEDODeGvMnQ27iat2oVo3Epc6HJhSD6Z26PbRMfDP59vHenkYudpA93UiVX3uaW9kfYHw3ake%2Fjpf4RyX8UGA98k50LrCwx5ptXr1gGVDQcWLi99fsYvWkoKcMXtL%2BSf3uEOtYy9G2RiwrbvljHu5X78sh7K2zRycvQmRxuXjDJ8xq184uaX6zhisxA77DDf%2Bu7%2B2efV2AvEWiiD%2BqBM48GwSXiYLxYkEYrc5EWCcb7QtB9HXKGkrJWQCBk7Ahto4VzDUVb0QDGJOOPGGqIJXwLkn16QTKKI7p0rwTpFWhnl4NMN8cCsdT%2FgVehkua4do2JDxfJY2O%2Fy7uBNR6sXr0YYKtSupu2mzfe49SEejTsqSgsQ7I7TBuMa4cU38IYpleaRlru8X6oigBMtieZL4z0WNHTGnpojRN7lWlQL26MNMsIFRKh7GxnGcKiKfBzISvVzXVVMxT6a0aAZ1RVEIkjVeGFI6LG67wQoObe34z8FfWzckQp2dpMkuG8fMGrjRG%2FzDNmKzzOajamWbA7v4VnTC5jXxzZyy2qWnSWCOkG7dTyoB91FC9xqtujepwr95%2BliFbGpTQWWgnRTS0RFAgBnD0HL8Ac0858naT7qz5zn%2Bn8jlmwI2dNIVJVliLQCx1WpLWmuQyIvOqG0921VFCY14xg6YnzhvRCBtUAvQsPSGCiv7Hh2mltqRyYuUqLMRT4S0YqJSByVO38RLWb78%2B7RiHHP63ZhOO7HVv%2BIh9JNfgFI2%2BGZKWjkC4mzMdnyHs%2B0zENze%2BycUFWHniTEcY%2FV0dz1bVB%2FMNS3FXxWM4gitfQGnDWa00r4yYJhzaGtfkINwXUimu5cEdfES9SCxUPkIZRYTnCSEGOvkwv9NmG4uGrLrDnpe%2FKa3A86mvdPzJI4251YC%2BhAj%2BPsOLbIxTR8FTYTMoujjLctCry%2FP0QeSCjeXlQCtszSNXinEl4Vxm%2BGODKL8T0Mn5JX7S98r4jWpaGcybS5qovKR6QnWGrsME1hsaqV%2Fnl4CdKRtPJPR%2FW9ECEPC2Ml7%2FycdVNeaAbpe9aiuUBkyG,2,0,0,0,0,#464140169,NA,NA,NA
36,Auricular Bluetooth Mini Sport Manos Libre Auto Running S530,499,NA,11,7,18 cuotas,NA.NA,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/VIKEI+SA,https://articulo.mercadolibre.com.uy/MLU-462252840-auricular-bluetooth-mini-sport-manos-libre-auto-running-s530-_JM,NA,NA,NA,NA,NA,#462252840,NA,NA,NA
37,Auriculares Bluetooth Deportivos Aiwa 810bt + Envios Gratis,27,NA,14,9986,18 cuotas,NA.NA,NA,Envío gratis a todo el país,NA,NA,4.7,3,http://perfil.mercadolibre.com.uy/MONTEVIDEOPC1,https://articulo.mercadolibre.com.uy/MLU-462320259-auriculares-bluetooth-deportivos-aiwa-810bt-envios-gratis-_JM,2,1,0,0,0,#462320259,NA,NA,Sin Vincha
38,Auriculares Samsung Galaxy Buds 2019 Bluetooth Futuro21 Dimm,169,NA,5,6,18 cuotas,NA.NA,NA,Envío a todo el país,NA,NA,4.7,6,http://perfil.mercadolibre.com.uy/FUTUROXXI+DIMM,https://articulo.mercadolibre.com.uy/MLU-463176507-auriculares-samsung-galaxy-buds-2019-bluetooth-futuro21-dimm-_JM,5,0,1,0,0,#463176507,Samsung,Buds,In-ear
39,Auriculares Jbl Bluetooth T110 Bt - Otec,1699,NA,17,4,18 cuotas,NA.NA,NA,Entrega a acordar con el vendedor,NA,NA,4.4,5,http://perfil.mercadolibre.com.uy/O+TEC,https://articulo.mercadolibre.com.uy/MLU-460366220-auriculares-jbl-bluetooth-t110-bt-otec-_JM,3,1,1,0,0,#460366220,JBL,T110BT,Con Vincha
40,Auriculares Bluetooth Stereo Manos Libres Correr Deportes ®,330,NA,688,5e3,18 cuotas,NA.NA,NA,Envío a todo el país,NA,NA,3.8,33,http://perfil.mercadolibre.com.uy/TOPTECNOUY,https://articulo.mercadolibre.com.uy/MLU-442753000-auriculares-bluetooth-stereo-manos-libres-correr-deportes--_JM,15,6,7,1,4,#442753000,NA,NA,NA
41,"Auricular Bluetooth Xo, Divino!",750,NA,7,8,18 cuotas,NA.NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/MASTERCASE+CO,https://articulo.mercadolibre.com.uy/MLU-456702481-auricular-bluetooth-xo-divino-_JM,NA,NA,NA,NA,NA,#456702481,Apple,NA,NA
42,Auricular Manos Libres Bluetooth Klip Xtreme Celular iPhone,385,NA,40,99959,18 cuotas,NA.NA,NA,Envío a todo el país,NA,NA,4.6,5,http://perfil.mercadolibre.com.uy/FEBOUY,https://articulo.mercadolibre.com.uy/MLU-445275033-auricular-manos-libres-bluetooth-klip-xtreme-celular-iphone-_JM,4,0,1,0,0,#445275033,NA,NA,NA
43,Auricular Inalambrico Jbl Mdr-xb650bt Extra Bass Bluetooth,870,NA,24,76,18 cuotas,NA.NA,NA,Entrega a acordar con el vendedor,NA,NA,3.5,4,http://perfil.mercadolibre.com.uy/YOVENTAS.COM,https://articulo.mercadolibre.com.uy/MLU-457761722-auricular-inalambrico-jbl-mdr-xb650bt-extra-bass-bluetooth-_JM,1,1,1,1,0,#457761722,JBL,MDR-XB650BT,Con Vincha
