search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Modelo,Modelo detalhado,Potência de saída (RMS),Tipos de filtros do alto-falante,Quantidade de alto-falantes,Sensibilidade de entrada,Largura,Altura,Formato do alto-falante,Linha,Tipos de alto-falante,Lugares de colocação,Configuração de canais,Conectores de entrada,Distorção,Peso,Modelo alfanumérico,Voltagem,Ambientes,Resposta máxima em frequência,Resposta mínima em frequência
58, Kit 2 Caixa Som Bluetooth Portátil Rádio Fm Mp3 Usb Sd 300w ,289,NA,"
			
				Novo
			
			
				
					 - 
				
				235
				vendidos
			
		",(25 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 2417
		
		 sem juros
		
	

	
		",17,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.7,12,https://perfil.mercadolivre.com.br/LOJA10.ML,https://produto.mercadolivre.com.br/MLB-1147070957-caixa-de-som-amplificada-bluetooth-100w-rms-microfone-fm-sd-_JM,8,4,0,0,0,#1147070957,XTrad,XDG-26,NA,100 W,Ativo/Passivo,4,85 dB,NA,NA,Caixa,Portátil,NA,NA,2.1,Auxilar P2. Bluetooth. Micro SD. USB. FM,NA,2.6 kg,NA,NA,Interno,NA,NA
59, Mini Caixa De Som Á Prova D'água Bluetooth Piscina Banho Mp3 ,69,NA,"
			
				Novo
			
			
				
					 - 
				
				109
				vendidos
			
		",(4 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 669
		
		 sem juros
		
	

	
		",69,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,3.5,8,https://perfil.mercadolivre.com.br/BREVISTORE,https://produto.mercadolivre.com.br/MLB-1193013720-caixa-caixinha-de-som-bluetooth-portatil-df6-mp3-fm-am-retr-_JM,3,1,2,1,1,#1193013720,Grasep,D-F6,NA,8 W,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60, Caixa De Som Portátil Trc 219 Bluetooth 35w Amplificada Led ,1299,NA,"
			
				Novo
			
			
				
					 - 
				
				57
				vendidos
			
		",1,"
	
		
			
		
		12x 
		
			
				R$ 10825
		
		 sem juros
		
	

	
		",25,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.4,45,https://perfil.mercadolivre.com.br/PONTOCERTOELETRO,https://produto.mercadolivre.com.br/MLB-907433007-caixa-de-som-jbl-xtreme-2-azul-40w-original-nfe-garantia-_JM,34,4,2,0,5,#907433007,JBL,JBLXTREME2BLUBR,JBLXTREME2BLUBR,40 W,Subwoofer,1,80 dB,NA,NA,Caixa,NA,Woofer,ambientes domesticos,2.1,USB,NA,2.393 g,NA,NA,NA,20 kHz,70 Hz
61, Micro System Caixa Som Amplicada Rca Mp3 Usb Karaoke Sd Hifi ,23,NA,"
			
				Novo
			
			
				
					 - 
				
				236
				vendidos
			
		",(1 disponíveis),"
	
		
			
		
		5x 
		
			
				R$ 514
		
		 sem juros
		
	

	
		",14,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.1,7,https://perfil.mercadolivre.com.br/DIGITAL+JE,https://produto.mercadolivre.com.br/MLB-1049750580-mini-caixinha-som-bluetooth-portatil-prova-agua-ventosa-_JM,5,0,1,0,1,#1049750580,Importado,BTS-06,NA,3 W,Woofer,1,80 dB,NA,NA,Redondo,NA,Tweeter,"Vidro, Azulejo",2.1,NA,NA,NA,NA,NA,NA,NA,NA
62, Caixa De Som Bluetooth Caixinha Wireless Mp3 Usb 887 ,799,NA,"
			
				Novo
			
			
				
					 - 
				
				105
				vendidos
			
		",(47 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 6666
		
		 sem juros
		
	

	
		",66,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.5,135,https://perfil.mercadolivre.com.br/SANBOX-BR,https://produto.mercadolivre.com.br/MLB-1166294460-caixa-som-portatil-recarregavel-amplificada-5000w-amvox-_JM,96,23,10,3,3,#1166294460,AMVOX,ACA 501,NA,500 W,Ativo,NA,NA,NA,NA,Caixa,Caixa amplificada Bluetooth,NA,NA,NA,P2,NA,NA,NA,110/220 V,NA,NA,NA
63, Kit Caixa Som Bluetooth Caixinha Usb Sd Rádio - Atacado 4 Un ,452,NA,"
			
			
				
				2880
				vendidos
			
		",(1445 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 3770
		
		 sem juros
		
	

	
		",70,NA,Envio para todo o país,NA,NA,4.9,405,https://perfil.mercadolivre.com.br/FASTSHOP+OFICIAL?brandId=942,https://produto.mercadolivre.com.br/MLB-914225881-caixa-som-bluetooth-jbl-potncia-16w-ios-android-preto-flip4-_JM,368,27,4,3,3,#914225881,JBL,Flip 4,JBLFLIP4BLK,16 W,Ativo,NA,80 dB,175 mm,66 mm,NA,Flip Series,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64, Caixinha Caixa De Som Usb Bluetooth Charge 2 Mini ,30,31,"
			
				Novo
			
			
				
					 - 
				
				1221
				vendidos
			
		",(6 disponíveis),"
	
		
			
		
		6x 
		
			
				R$ 562
		
		 sem juros
		
	

	
		",62,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.6,39,https://perfil.mercadolivre.com.br/FIXEXPLODE,https://produto.mercadolivre.com.br/MLB-1154287846-caixinha-som-portatil-bluetooth-fm-p2-mp3-carto-pen-drive-_JM,30,5,2,0,2,#1154287846,Goldenultra,GT-356BT,NA,8 W,Subwoofer,NA,NA,NA,NA,Caixa,NA,Subwoofer,Portátil,5.1,USB,NA,NA,NA,NA,NA,NA,NA
65, Caixinha Som Portátil Bluetooth Fm P2 Mp3 Cartão Pen Drive ,159,NA,"
			
				Novo
			
			
				
					 - 
				
				420
				vendidos
			
		",(45 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1325
		
		 sem juros
		
	

	
		",25,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.9,1439,https://perfil.mercadolivre.com.br/VRJ+IMPORTS,https://produto.mercadolivre.com.br/MLB-1222327188-caixa-bluetooth-jbl-go2-original-lacrada-varias-cores-_JM,1319,95,18,4,3,#1222327188,JBL,GO 2,JBLGO2BLK,3 W,Woofer,1,80 dB,71 mm,86 mm,Caixa,NA,Caixa bluetooth,De piso,NA,Auxiliar,NA,NA,NA,NA,NA,NA,NA
66, Caixa De Som Amplificada Led Bluetooth Usb Mp3 Sd Microfone ,189,NA,"
			
			
				
				5
				vendidos
			
		",1,"
	
		
			
		
		12x 
		
			
				R$ 1575
		
		 sem juros
		
	

	
		",75,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/DELOX+OFICIAL?brandId=1640,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=8uH3tYwMd6YmcAJm2GlEJ4Fw1QwFqxnKbJtkKA2A6g4CeabOt2T6Rw3w9qI8kFtfJDvY7nZHM%2F71ueK03NfceqUyu9KsLzCD1XxJQaehTAgcbpxlrgw3PPsqgMh37nh7a9%2BNyMJYrwvqk08DanPfcq0m23wHklfeMfwKJWt5in02YS3EVcXd4GSE6kyLy%2BfuW%2F7vjXCXaVY%2FJuch9UhpWpQjY8aCOwYAfSGBCUTihjQAmRaRp7VNWkcGwG6tKEr9N4Nyduhm2QyANTx%2FOP%2B2g8libEWYY50dIf88ONZvyTzoqEPACXnE7lcatJtvsnjMps1u6OEQQnDCADGx9DLFWlbQwTx4snR9K8ud2TkVHouTT27t%2B2xeBFxlGFNXrFhZhckQNE2V%2F3X7Crp2B%2FmflYLhCjiWE%2B1EQ1WVKw7i0h3EfYi%2B%2F1f%2FRwWpj25NNTX7XNiHfUmkdn9MUFzDh2PXCEGPiFzkvsz6oWd6mCyvZUrDDnYOLSvgDV1KCGG8Ehl33XFzGsyd600cMt47b6xnDtg1bSDsClhLavloTDo%2BTiVZPZ0NNqZvjrC7GzWmGqt8ARy%2FdWfkVlchyf9gQkD%2FO55KxSyr0tOg0ttEoPBMutq9XNka4sGLyZ2qC%2FGzA4grBit4HR81p%2FGqljx8RwrCBr6ilC88HKkluM0gLPSLBA4NAtM%2BcTvJuVqZeuXCSkp1UufADnZy%2FmfjljmF84pTleUp5qxRDEaIrILbZj7OiGTyQ3A%2FyVtDCDmV%2FJ4RmcI8xdQ%2Bu3loTue1POj1TAhxY1zHTGQdF7dJ0EkGfNXUctCfktMe8V7lS%2FaIfoW12yJrzIblkdYAkah%2BIIzfLTFCdvTWMnwn9%2BrM17Ff2wQIJhr%2FgVOBL0e7mWj0CunSqE8odcgs7lTt4BESrZVtfkmUHBdLJbWs9JDNVdmWNryGHcMSp21uAub4bd5lY8pwPNI%2FsB1VcRhTudIbahVuw%2FB9iZp%2BoPL8TlNWKbzRFO15u2eIVztDk7%2FfpxCrKT6DnRPdaaCfAv91%2FYtNchKBmQTwsPaskDw5O3CthIimbS8BSwUUdOIHu%2B6ZemHvt33GsYqepYrmMBdDlmi6X3lZazt9FV%2Bq%2BB4hKYa4yYh1pP9XtehbJVYNXSs4aVHeOy8YpLQ%2FDJDAbP%2FSJhtOqA6ud1ZKLrZC2mG2sgcZ1%2Fu5WNYxy1ggcGKkXa2wKO4D9etIyWqPt8tzFQMLDOg%2FFb9i36XYIeRsA0LOUGeQFGCXfzs%2F9%2BXgsOUfX7enrYeyF1o18pItJnWeioN8F5AxbKiG2lDlgP9v%2B5PvLMr1Tjc7jK9xNKz4P9BihgwswYBE3LdTlHEm36DmkTWjT%2BbAAayB%2FR8t4MIHc6EV6SHHnnMCVJ4Q6P9qlTxNItqUoAAfxMTOWHIDXhdV4FiAALlxEZ%2B8Yuz8pIlyH35efGGwnild1yRi3jhifOSqUwJz8VfJpnz45hRxf%2F%2FOu7eNuq9gGdu0VXlhSef3y6y3fsEIHv4TspSWOfIASnwkj3mmt1nP4xYMAqf9gFrYeYuj9zDI6Qs8SIimNu30UZSB1IOCtEjPsnID9s6OytpGXvNdjnVVzwIqksMMYvG4VHk%2BObiDsociHIjxPEvy2KrMvaqTOD8JnwkgZplPmgpo%2FmmiurDHUB3lnZboKwDn53wB3JdbGGidb3QyPVsF,NA,NA,NA,NA,NA,#1222895020,TRC,TRC219,NA,35 W,NA,NA,NA,NA,NA,Caixa,NA,NA,NA,NA,USB,NA,NA,NA,NA,NA,NA,NA
67, Kit Caixa De Som Soundbar Subwoofer Tv Bluetooth Mts-2020 ,49,NA,"
			
				Novo
			
			
				
					 - 
				
				509
				vendidos
			
		",(11974 disponíveis),"
	
		
			
		
		6x 
		
			
				R$ 833
		
		 sem juros
		
	

	
		",33,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,3.3,7,https://perfil.mercadolivre.com.br/FLORESTA+ELETRONICO,https://produto.mercadolivre.com.br/MLB-1007384235-caixinha-de-som-bluetooth-mini-speaker-3w-_JM,3,1,0,1,2,#1007384235,SEM,mini,NA,3 W,Mini tweeter,1,NA,NA,NA,Caixa,NA,NA,De piso,2.1,NA,NA,NA,NA,5V,NA,NA,NA
68, Caixa Som Bluetooth Jbl 16w Ios Android Vermelho Flip4 ,359,NA,"
			
			
				
				2343
				vendidos
			
		",(940 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 3441
		
		 sem juros
		
	

	
		",41,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.5,275,https://perfil.mercadolivre.com.br/PIU+SHOP?brandId=1849,https://produto.mercadolivre.com.br/MLB-680896899-caixa-multiuso-amplificada-50-rms-8-bluetoothusbsdfmcont-_JM,187,57,24,3,4,#680896899,Datrel,DMU-8.50 BLUETOOTH,NA,50 W,Caixa,1,NA,NA,NA,Caixa,Multiuso,Woofer,De piso,NA,RCA,NA,NA,NA,110V/220V (Bivolt),NA,NA,NA
69, Caixa Som Bluetooth Jbl Potência 16w Ios Android Preto Flip4 ,2598,NA,"
			
			
				
				42
				vendidos
			
		",(198 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 21658
		
		 sem juros
		
	

	
		",58,NA,Envio para todo o país,NA,NA,4.9,22,https://perfil.mercadolivre.com.br/GLOBALDISTRIBUIODEBENS?brandId=1397,https://produto.mercadolivre.com.br/MLB-1166962939-caixa-de-som-jbl-party-box-300-bluetooth-preta-_JM,20,2,0,0,0,#1166962939,JBL,Default,NA,120 W,Ativo,NA,NA,69 cm,31 cm,Caixa,NA,Subwoofer,Portátil,.,Entrada para Microfone,NA,15.84 kg,NA,NA,NA,NA,NA
70, Caixa Som Bluetooth Portátil Rádio Fm Mp3 Usb P2 Aux Sd 300w ,251,NA,"
			
				Novo
			
			
				
					 - 
				
				13
				vendidos
			
		",(194 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 2094
		
		 sem juros
		
	

	
		",94,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,5.0,1,https://perfil.mercadolivre.com.br/STCSMART,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=zHTuY6OQSyvrkjCIU4ZNZqG%2FRMYcR6W237o%2BZb%2Frt1RWvghNdECjNyd2dzNZ%2BDo3PgJqusnodmS%2FZiAATKZ8uqtpd17YzWqXTDqMWUok17rNW%2B4sazlZ%2BPeppbKGHibY84u2eO%2BNdorFPp16wykV3o7%2FyPz6JKhvinqSHd%2BwqxBoVFWJVJA3nEsfsMoubuWVz1gKXewiogcHVfPF8iqIt6gS0ow%2BqAFFWs%2BYjpBJlW52YAJl19aRpklqTYMMxsESZOZed0hWH%2Boaz7E0RiujVYudCcQgZLjQfXTlJq4Ano3yzpVXr%2BeF8n64xE2gWN5PnQsPXxYKbeMzzwZEuOQ%2FtCOqKoSBmFPqQjweUhkYj%2BNQPA3xlmTn3FI3zJar%2FyhuRuyjQ4DCsxMKrumRPICUyAr71LCwcN2bRfXjY5o8DVFKen%2F8762F0%2BS%2FNGv7Ztg80LaWPE%2FZGp5aHSYrYVEukREVkaWTE8rrm8rarYhoIVTVv7k%2FJZdqJATMxaoSF7wDFjqdfK%2FEHTN0vyunvGGvLsXJZCDYpF2Jdr7NkoVsxMEAn8aYXOMXkPdRsIVMI5h%2B0LTwJHTsZlbrM0TyOSsarlQ7a%2F7qyjqSIDD7w7TPiK15SnWOESZq2AIR6uhRqbO1wZ7i5dYtUomwnq3IjPdMmiE7R06doW2NzxNvS5aIJ%2FZAIEd7EyBo%2F4b5tUR5PV5cWXGtrctnZkEuUs%2FwzTDyjMbtn8L0XhHh23B9QhsrNu1sCkdk%2FlQiPgbU6gLpRF8DO83tX2PQguXPhFoBSSFgFgmg9GF%2FFnaIBf0JPlvKj8v9ao54JSqRGkNObN%2FW%2F6pB7oGvoGHcuA0MWfK5SLFWOnuHYffeTiQJKqq74nLvbCXUscwObKJBToBr2PUwYvx%2BaNWcPz9eJDA%2FYCD6%2BPfNMENbAjdXPKCcueLV47KOEAzyOwqCpqKUUi7aCu6TAHFKybOgubDnZkKLFuxB008qwGAtXsi%2BUqfTl3pfgXrDF5CKTH2yK4ls5Ie1RuHX7zsn8O0bKvHD6RhHEIUvdhL4FkNMzA6wOCuduj3mBDGrKfttXLfdWGmpBhIhekwE7Y%2BS2HP0s%2BHGkIHPjqw6BOWzIONukoIdvVIPSFveIF%2FHn3WDEwrrflMwjQOQ2K%2FD4N9PS42skD%2FPCfVTtJCsGYcEl7WOhH97trlHa4Nulf%2FytqLMSpG%2BjzLf54dTw%2FMiMRc9qqnCQ%2BBCoB3gUlBOQPKxdQDSOhDjEP8RzLNQ%2BgaGh0nXF%2FcphPiTxctzel7KlJTzHgrb2hoIOUy97%2Bf58qDbCXrNY527Fz0suiPYuJ6J3kCvG2fEu8Q88g3K8BJ5PJtAfECJUmMf6J%2BwU5IqAI2VEbl0OLosIRexchfYu9bsPfmC9clcw9KXV8mAtQy%2B8nA%2FJ%2F9eiPFieSvKTz5t4rb%2BNiQNAZ6ChuYDjdjhfq7XjSbKZ9Lq688TOMRQaUpYjreWz%2BwXrq5Zd959YMDqMU2uUTDGRw7iAfL46yhb0LOs13fPvTvee8jcrE3JWipBTgzRgjVlb66y5ZNi5fANbQRtLAttCZzAQicvTxBnZ4vlbn3ZOYwnS3kws5AUp7Sk4l8RO%2BWPQYv4T9Z5XNbwEzlmFGswcx2rvPWg39X0rqnYLykwhv8%2BAGV7uKh%2FAE%2Bq0KzAvyqXEwZqSi9D8uDtLsECzw%3D%3D,NA,NA,NA,NA,NA,#845569533,Deko,SY-672,NA,NA,Woofer,1,NA,NA,NA,Caixa,High Power,Woofer,"Sala,quarto,suite,cozinha,festa,balada,escritorio,carro,quintal,sacada,terraço,salão,portatil",Digital,Entrada para Microfone,NA,NA,NA,NA,NA,NA,NA
71, Caixa Som Bluetooth Portátil Amplificada Torre Fm Sd Mp3 Usb ,69,NA,"
			
				Novo
			
			
				
					 - 
				
				800
				vendidos
			
		",(1 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 668
		
		 sem juros
		
	

	
		",68,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.6,49,https://perfil.mercadolivre.com.br/FLATSHOP,https://produto.mercadolivre.com.br/MLB-849513160-caixa-caixinha-som-portatil-bluetooth-mp3-usb-carto-fm-e24-_JM,35,9,2,3,0,#849513160,Knup,D-BH4204,NA,10 W,Subwoofer,3,78 dB,NA,NA,Torre,VoxMax,Subwoofer,NA,5.1,USB,0.3 %,NA,NA,Bivolt,NA,NA,NA
72, Caixa De Som Portátil Charge Mini 3+ Bluetooth Pen Drive ,25,NA,"
			
				Novo
			
			
				
					 - 
				
				835
				vendidos
			
		",(2 disponíveis),"
	
		
			
		
		5x 
		
			
				R$ 558
		
		 sem juros
		
	

	
		",58,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.2,18,https://perfil.mercadolivre.com.br/LS.EXPRESS,https://produto.mercadolivre.com.br/MLB-798082339-mini-caixinha-som-bluetooth-portatil-prova-de-agua-ventosa-_JM,11,2,4,0,1,#798082339,Importado,BTS-06,NA,3 W,NA,1,80 dB,NA,NA,Caixa,NA,Woofer,"Banheiro, Azulejo, Vidro",2.1,NA,NA,NA,NA,NA,NA,NA,NA
73, Caixa Som Amplificada Bluetooth 50w Led Dj Fm Usb Música Mp3 ,239,NA,"
			
				Novo
			
			
				
					 - 
				
				827
				vendidos
			
		",(6 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 2294
		
		 sem juros
		
	

	
		",94,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.6,122,https://perfil.mercadolivre.com.br/DRIF+ELETRONICOS,https://produto.mercadolivre.com.br/MLB-873025186-caixa-de-som-portatil-bluetooth-21-mp3-fm-pc-micro-system-_JM,89,24,7,1,1,#873025186,Knup,KP-BH6004,NA,22 W,Subwoofer,5,NA,NA,NA,Caixa,Bluetooth,Subwoofer,"Festas, Eventos, Computador, Notebook, TV, PC, Sítio, Praia, Quarto",2.1,"USB, P2, Bluetooth, SD, RCA",NA,NA,NA,110/220 V,NA,NA,NA
74, Caixa Bluetooth Jbl Go2 Original Lacrada Várias Cores ,149,NA,"
			
				Novo
			
			
				
					 - 
				
				269
				vendidos
			
		",(187 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1433
		
		 sem juros
		
	

	
		",33,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.3,1690,https://perfil.mercadolivre.com.br/SHOP+MIX_ONLINE,https://produto.mercadolivre.com.br/MLB-1177468854-caixa-som-mini-bluetooth-pendrive-sd-fm-auxiliar-_JM,1094,283,157,63,93,#1177468854,JBL,Xtreme,NA,40 W,Tweeter,2,80 dB,NA,NA,Caixa,NA,Subwoofer,Portatil,5.1,"USB, Leitor SD, Auxiliar",NA,780 g,NA,NA,NA,20 kHz,70 Hz
75, Caixa Som Portátil Recarregavel Amplificada 5000w Amvox ,98,NA,"
			
				Novo
			
			
				
					 - 
				
				217
				vendidos
			
		",(11 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 945
		
		 sem juros
		
	

	
		",45,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.7,10,https://perfil.mercadolivre.com.br/DNR+PARTS,https://produto.mercadolivre.com.br/MLB-723512352-caixa-de-som-charge-2-wireless-bluetooth-40w-usb-original-_JM,7,3,0,0,0,#723512352,Importado,Caixa De Som Portatil Bluetooth,NA,40 W,Subwoofer,NA,NA,NA,NA,Caixa,NA,Subwoofer,Portátil,7.1,USB,0.3 %,419 g,NA,NA,NA,NA,NA
76, Caixa De Som Speaker Google Home Mini Wi-fi Original ,849,NA,"
			
				Novo
			
			
				
					 - 
				
				60
				vendidos
			
		",(3 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 7075
		
		 sem juros
		
	

	
		",75,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,5.0,21,https://perfil.mercadolivre.com.br/ELETROHALEN,https://produto.mercadolivre.com.br/MLB-1000777273-caixa-amplificada-ativa-edifier-r1700bt-bluetooth-66w-_JM,20,1,0,0,0,#1000777273,Edifier,R1700BT,NA,66 W,Tweeter,NA,NA,NA,NA,Caixa,NA,NA,"Estudios, Som Ambiente, Sala, Quarto",2.0,RCA,0.5 %,NA,NA,110V/220V (Bivolt),NA,NA,NA
77, Mini Caixa De Som Bluetooth Portátil Mp3 Rádio Fm Usb Sd 15w ,69,NA,"
			
				Novo
			
			
				
					 - 
				
				191
				vendidos
			
		",(214 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 582
		
		 sem juros
		
	

	
		",82,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.3,296,https://perfil.mercadolivre.com.br/ARTFLEXSUPORTES,https://produto.mercadolivre.com.br/MLB-1170112341-caixinha-caixa-de-som-usb-bluetooth-charge-2-mini-_JM,179,77,15,5,20,#1170112341,JBL,MS-144BT,NA,15 W,NA,2,80 dB,NA,NA,Caixa,Top,Super tweeter,todos,5.1,USB,0.5 %,NA,NA,NA,NA,NA,NA
78, Caixa Caixinha Som Portátil Bluetooth Mp3 Usb Cartão Fm 300w ,169,NA,"
			
				Novo
			
			
				
					 - 
				
				58
				vendidos
			
		",(73 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1624
		
		 sem juros
		
	

	
		",24,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/PONTOCERTOELETRO,https://produto.mercadolivre.com.br/MLB-1152384588-caixa-de-som-jbl-wind-bluetooth-3-watts-preto-jblwind-_JM,NA,NA,NA,NA,NA,#1152384588,JBL,Caixa de Som,NA,3 W,NA,1,NA,NA,NA,Caixa,NA,Woofer,moto,2.1,NA,NA,340 g,NA,NA,NA,NA,NA
79, Caixa De Som Portatil Jbl Boombox Original Bluetooth Usb ,179,NA,"
			
				Novo
			
			
				
					 - 
				
				201
				vendidos
			
		",(227 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1720
		
		 sem juros
		
	

	
		",20,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,5.0,9,https://perfil.mercadolivre.com.br/RODOLFOSANTOSMOTTA,https://produto.mercadolivre.com.br/MLB-1245708274-caixa-de-som-speaker-google-home-mini-wi-fi-sem-embalagem-_JM,9,0,0,0,0,#1245708274,Google,Home Mini,NA,3 W,Ativo,1,NA,"3.86 ""","3.86 """,Caixa,NA,NA,NA,mono,NA,NA,350 g,NA,NA,NA,NA,NA
80, Caixa Som Soundbar Bluetooth Mts-2018 Tomate Tv Celular 120w ,39,NA,"
			
				Novo
			
			
				
					 - 
				
				310
				vendidos
			
		",(9 disponíveis),"
	
		
			
		
		6x 
		
			
				R$ 722
		
		 sem juros
		
	

	
		",22,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.6,23,https://perfil.mercadolivre.com.br/LOJAZAHI,https://produto.mercadolivre.com.br/MLB-1123719900-caixa-caixinha-de-som-portatil-bluetooth-mp3-pen-drive-a-706-_JM,18,2,2,1,0,#1123719900,Importado,A-706,NA,NA,Subwoofer,NA,NA,NA,NA,Caixa,NA,Subwoofer,Portátil,NA,"USB, Auxiliar, p2",NA,300 g,NA,NA,NA,NA,NA
81, Caixa De Som Speaker Google Home Wi-fi Voz De Vitrine ,429,NA,"
			
				Novo
			
			
				
					 - 
				
				147
				vendidos
			
		",(22 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 3582
		
		 sem juros
		
	

	
		",82,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,5.0,4,https://perfil.mercadolivre.com.br/CLICOU_TELECOM,https://produto.mercadolivre.com.br/MLB-1137770887-caixa-de-som-speaker-google-home-wi-fi-voz-de-vitrine-_JM,4,0,0,0,0,#1137770887,Google,Google Home,NA,3 W,Ativo/Passivo,1,NA,NA,NA,Caixa,NA,NA,NA,NA,NA,NA,1100 g,NA,NA,NA,NA,NA
82, Caixa Som Musica Caixinha Smartphone Android Bluetooth ,755,NA,"
			
				Novo
			
			
				
					 - 
				
				72
				vendidos
			
		",(111 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 6299
		
		 sem juros
		
	

	
		",99,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.5,135,https://perfil.mercadolivre.com.br/LHCOMERCIO,https://produto.mercadolivre.com.br/MLB-1187377119-caixa-som-bluetooth-amplificada-500w-portatil-led-falante-15-_JM,96,23,10,3,3,#1187377119,AMVOX,ACA 501 NEW PRETO BIVOL,NA,500 W,Ativo,NA,NA,NA,NA,Caixa,NA,Subwoofer e Tweeter,"De piso, De mesa",2.1,NA,NA,13.1 kg,NA,NA,NA,NA,NA
83, Caixa De Som Amplificada Com Bluetooth Microfone Sd Pendrive ,629,NA,"
			
				Novo
			
			
				
					 - 
				
				78
				vendidos
			
		",(918 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 5250
		
		 sem juros
		
	

	
		",50,NA,Entrega a combinar com o vendedor,NA,NA,4.9,12,https://perfil.mercadolivre.com.br/CHALLENGE+TEC.,https://produto.mercadolivre.com.br/MLB-1151598968-kit-caixa-de-som-soundbar-subwoofer-tv-bluetooth-mts-2020-_JM,11,1,0,0,0,#1151598968,Tomate,MTS-2020,NA,140 W,Ativo/Passivo,NA,NA,NA,NA,Torre,Caixa de som,NA,NA,NA,RCA,0.1 %,NA,NA,NA,NA,NA,NA
84, Caixa De Som Portátil Jbl Wind P/ Moto E Bike P2 E Bluetooth ,55,NA,"
			
				Novo
			
			
				
					 - 
				
				85
				vendidos
			
		",(12 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 535
		
		 sem juros
		
	

	
		",35,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,5.0,4,https://perfil.mercadolivre.com.br/HDV.VENDAS,https://produto.mercadolivre.com.br/MLB-1191620434-mini-radio-fm-portatil-recarregavel-am-sw-mp3-p2-preto-nf-_JM,4,0,0,0,0,#1191620434,Briwax,BX-670,NA,3 W,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,USB,NA,NA,NA,NA,NA,NA,NA
