search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,color,size,Marca,Línea,Modelo,Tipo de casco,Género,Peso,Tipo
902, Casco Moto Ls2 Ff320 Evo Negro Mate Amarillo Fluor ,89.99,NA,0,7,6,14.998,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/MR7_ACCESORIOS,https://articulo.mercadolibre.cl/MLC-475822894-casco-moto-ls2-ff320-evo-negro-mate-amarillo-fluor-_JM,NA,NA,NA,NA,NA,#475822894,NA,NA,LS2,320,Evo,NA,NA,NA,Rebatible
903, Casco Moto Ls2 Niños Ff353 Jr. Negro Matte Oferta Navideña ,49,NA,0,10,6,8.167,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/VIGA-MOTOS,https://articulo.mercadolibre.cl/MLC-472225580-casco-moto-ls2-ninos-ff353-jr-negro-matte-oferta-navidena-_JM,NA,NA,NA,NA,NA,#472225580,NA,NA,LS2,NA,FF353 RAPID NIÑOS,NA,Unisex,1200 g,NA
904, Casco De Moto Accesorios Para Sombreros Ventosas Cuerno Deco ,1.73,NA,0,988,12,144,NA,NA,NA,NA,NA,NA,https://perfil.mercadolibre.cl/CLMETRO,https://articulo.mercadolibre.cl/MLC-491934105-casco-de-moto-accesorios-para-sombreros-ventosas-cuerno-deco-_JM,NA,NA,NA,NA,NA,#491934105,NA,NA,NA,NA,NA,NA,NA,NA,Integral
905, Motocicleta Medio Casco Dot Open Face Cruiser Bike Skull Ca ,20.843,NA,0,2,12,1.737,NA,NA,NA,NA,NA,NA,https://perfil.mercadolibre.cl/SUNTEKSTORECL,https://articulo.mercadolibre.cl/MLC-476560890-motocicleta-medio-casco-dot-open-face-cruiser-bike-skull-ca-_JM,NA,NA,NA,NA,NA,#476560890,NA,NA,Unbranded,NA,NA,NA,NA,NA,Abierto
906, Fox Racing 2016 Race Hombres V1 Motocross Casco De Moto - R ,214.741,NA,0,2,12,17.895,NA,NA,NA,NA,NA,NA,https://perfil.mercadolibre.cl/SPICEIMPORTSCL,https://articulo.mercadolibre.cl/MLC-479249561-fox-racing-2016-race-hombres-v1-motocross-casco-de-moto-r-_JM,NA,NA,NA,NA,NA,#479249561,NA,NA,Fox Racing,V1,COMINU047030,NA,NA,NA,Cross
907, Dot Motocicleta Estilo Alemán Casco Mitad Cara Motocross Bic ,9.467,NA,0,5,12,789,NA,NA,NA,NA,NA,NA,https://perfil.mercadolibre.cl/ELECTRONICSSHOPCL,https://articulo.mercadolibre.cl/MLC-492599977-dot-motocicleta-estilo-aleman-casco-mitad-cara-motocross-bic-_JM,NA,NA,NA,NA,NA,#492599977,NA,NA,NA,NA,NA,Rebatible,NA,NA,NA
908," Cable Y Cinta Kit Luz Neon, Motos, Cascos, Vehiculo, Patines ",10,NA,57,10,6,1.667,NA,Envío a todo el país,NA,NA,5,1,https://perfil.mercadolibre.cl/BRAVOA31,https://articulo.mercadolibre.cl/MLC-436968721-cable-y-cinta-kit-luz-neon-motos-cascos-vehiculo-patines-_JM,1,0,0,0,0,#436968721,NA,NA,NA,NA,NA,NA,NA,NA,Cross
909, Casco Moto Marca Airoh Modelo Valor Calavera Bone Talla Xl ,125.9,NA,0,1,6,20.983,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/FULLPACIFICO.CL,https://articulo.mercadolibre.cl/MLC-486861086-casco-moto-marca-airoh-modelo-valor-calavera-bone-talla-xl-_JM,NA,NA,NA,NA,NA,#486861086,BONE MATT,NA,Airoh,Valor,NA,NA,NA,1400 g,Integral
910, Cod. 142/145/146/147 Casco De Moto Para Adulto ,25.49,NA,0,1,12,2.124,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/FARENASL,https://articulo.mercadolibre.cl/MLC-496557927-cod-142145146147-casco-de-moto-para-adulto-_JM?searchVariation=40107559611,NA,NA,NA,NA,NA,#496557927,Rojo/Blanco/Rosa,L,NA,NA,NA,Integral,NA,NA,NA
911, Casco Moto Ls2 Ff320 Stream Bang Negro Amarillo ,89.99,NA,NA,5,12,7.499,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/MOTOXTREME.CL?brandId=329,https://articulo.mercadolibre.cl/MLC-464581015-casco-moto-ls2-ff320-stream-bang-negro-amarillo-_JM,NA,NA,NA,NA,NA,#464581015,NA,NA,LS2,STREAM BANG,FF 320,Integral,Unisex,NA,NA
