search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca del celular,Marca,Material
32, Protector Case Funda Delgado iPhone 7/8/plus/x Aluminio ,99,NA,"
			
				Nuevo
			
			
				
					 - 
				
				93
				vendidos
			
		",(20 disponibles),Hasta 12 cuotas sin interés,NA,Entrega a acordar con el vendedor,NA,NA,NA,5.0,3,http://perfil.mercadolibre.com.pe/HAPPYSHOPVENTAS,https://articulo.mercadolibre.com.pe/MPE-422979822-protector-case-funda-delgado-iphone-78plusx-aluminio-_JM,3,0,0,0,0,#422979822,Apple,NA,NA
33, Rock Case Funda Protector Moc Series iPhone 7 / 8plus ,50,NA,"
			
				Nuevo
			
			
				
					 - 
				
				4
				vendidos
			
		",(29 disponibles),Hasta 12 cuotas sin interés,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/ZONAMOVILPERU1,https://articulo.mercadolibre.com.pe/MPE-430286444-rock-case-funda-protector-moc-series-iphone-7-8plus-_JM,NA,NA,NA,NA,NA,#430286444,Apple,NA,NA
34," Funda Case iPhone 6, 6s, 7, 7plus,8, 8plus,xr, X, Xs, Xs Max ",55,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1
				vendido
			
		",(12 disponibles),Hasta 12 cuotas sin interés,NA,NA,Envío gratis a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/GHINEXS,https://articulo.mercadolibre.com.pe/MPE-435296638-funda-case-iphone-6-6s-7-7plus8-8plusxr-x-xs-xs-max-_JM,NA,NA,NA,NA,NA,#435296638,Apple,NA,NA
35, Case Consola Retro Games iPhone 6s 7 8 Plus Xs Funda Juegos ,54,NA,"
			
				Nuevo
			
			
				
					 - 
				
				3
				vendidos
			
		",(27 disponibles),Hasta 12 cuotas sin interés,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/TIENDAEXPRESS.PE,https://articulo.mercadolibre.com.pe/MPE-431938397-case-consola-retro-games-iphone-6s-7-8-plus-xs-funda-juegos-_JM,NA,NA,NA,NA,NA,#431938397,Apple,NA,NA
36, Funda Case Bumper Aluminio Espejo iPhone 5 6 7 8 Plus ,35,NA,"
			
				Nuevo
			
			
				
					 - 
				
				6
				vendidos
			
		",(94 disponibles),Hasta 12 cuotas sin interés,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/DASTOREPUNTOPE,https://articulo.mercadolibre.com.pe/MPE-423672540-funda-case-bumper-aluminio-espejo-iphone-5-6-7-8-plus-_JM,NA,NA,NA,NA,NA,#423672540,Apple,NA,NA
37, Case Protector Funda Transparente iPhone X Xs Xmax 7/8 ,69,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1
				vendido
			
		",(3 disponibles),Hasta 12 cuotas sin interés,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/CSHOP1,https://articulo.mercadolibre.com.pe/MPE-436685984-case-protector-funda-transparente-iphone-x-xs-xmax-78-_JM,NA,NA,NA,NA,NA,#436685984,Apple,NA,NA
38, Funda Case Protector 360 iPhone 8/8plus/x + Vidrio Pantalla ,69,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1
				vendido
			
		",(999 disponibles),Hasta 12 cuotas sin interés,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/HAPPYSHOPVENTAS,https://articulo.mercadolibre.com.pe/MPE-426538133-funda-case-protector-360-iphone-88plusx-vidrio-pantalla-_JM,NA,NA,NA,NA,NA,#426538133,Apple,NA,NA
39, Case Funda Protector De Lujo iPhone 7/8 ¡oferta! ,19,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1
				vendido
			
		",(4 disponibles),Hasta 12 cuotas sin interés,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/FLORESALVARADOLUISALONSO,https://articulo.mercadolibre.com.pe/MPE-431747226-case-funda-protector-de-lujo-iphone-78-oferta-_JM,NA,NA,NA,NA,NA,#431747226,Apple,NA,NA
40, Case Cover Funda Silicona 3d Alto Relieve Variado iPhone 8 7 ,20,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1
				vendido
			
		",(4 disponibles),Hasta 12 cuotas sin interés,NA,NA,Envío gratis a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/CELLBYTEZ,https://articulo.mercadolibre.com.pe/MPE-425886349-case-cover-funda-silicona-3d-alto-relieve-variado-iphone-8-7-_JM,NA,NA,NA,NA,NA,#425886349,Apple,NA,Silicona
41, Funda Case Protector Bumper Aluminio iPhone 7/8/plus + Glass ,119,NA,"
			
				Nuevo
			
			
				
					 - 
				
				12
				vendidos
			
		",(38 disponibles),Hasta 12 cuotas sin interés,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/HAPPYSHOPVENTAS,https://articulo.mercadolibre.com.pe/MPE-424832128-funda-case-protector-bumper-aluminio-iphone-78plus-glass-_JM,NA,NA,NA,NA,NA,#424832128,Apple,NA,NA
42, Funda iPhone 5s/6/6plus/7/7plus8/8plus Princesa Case Carcasa ,49,NA,"
			
				Nuevo
			
			
				
					 - 
				
				37
				vendidos
			
		",(32 disponibles),Hasta 12 cuotas sin interés,NA,NA,Envío gratis a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/MERKA.G,https://articulo.mercadolibre.com.pe/MPE-430507604-funda-iphone-5s66plus77plus88plus-princesa-case-carcasa-_JM,NA,NA,NA,NA,NA,#430507604,Apple,NA,NA
43, Power Case iPhone 7 Plus & 8 Plus 3650mah Baseus ,169,NA,"
			
				Nuevo
			
			
				
					 - 
				
				2
				vendidos
			
		",(8 disponibles),Hasta 12 cuotas sin interés,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/APPLEMALLCENTER,https://articulo.mercadolibre.com.pe/MPE-428583035-power-case-iphone-7-plus-8-plus-3650mah-baseus-_JM,NA,NA,NA,NA,NA,#428583035,Apple,Baseus,NA
44, Funda iPhone X/8/8plus/7/7plus Gom Case Carcasa Protector ,39,NA,"
			
				Nuevo
			
			
				
					 - 
				
				27
				vendidos
			
		",(7 disponibles),Hasta 12 cuotas sin interés,NA,NA,Envío gratis a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/MERKA.G,https://articulo.mercadolibre.com.pe/MPE-430710607-funda-iphone-x88plus77plus-gom-case-carcasa-protector-_JM,NA,NA,NA,NA,NA,#430710607,Apple,NA,NA
45," Silicone Case Protector iPhone 5s, 6, 6s, 7, 8, 8 Plus, X ",34,NA,"
			
				Nuevo
			
			
				
					 - 
				
				6
				vendidos
			
		",(1000 disponibles),Hasta 12 cuotas sin interés,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/IMANIA.PERU,https://articulo.mercadolibre.com.pe/MPE-427852567-silicone-case-protector-iphone-5s-6-6s-7-8-8-plus-x-_JM,NA,NA,NA,NA,NA,#427852567,Apple,Silicone,Cuero
46, Case Funda Protector Retro Juegos Gameboy iPhone 6 7 8 Plus ,54,NA,"
			
				Nuevo
			
			
				
					 - 
				
				8
				vendidos
			
		",(2 disponibles),Hasta 12 cuotas sin interés,NA,Entrega a acordar con el vendedor,NA,NA,NA,5.0,1,http://perfil.mercadolibre.com.pe/LAGRAN_VENTANA,https://articulo.mercadolibre.com.pe/MPE-432587504-case-funda-protector-retro-juegos-gameboy-iphone-6-7-8-plus-_JM,NA,NA,NA,NA,NA,#432587504,Apple,NA,NA
47, Funda iPhone 6/6plus/7/7plus/8/8plus Puma Case Protector ,39,NA,"
			
				Nuevo
			
			
				
					 - 
				
				26
				vendidos
			
		",(44 disponibles),Hasta 12 cuotas sin interés,NA,NA,Envío gratis a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/MERKA.G,https://articulo.mercadolibre.com.pe/MPE-430531110-funda-iphone-66plus77plus88plus-puma-case-protector-_JM,NA,NA,NA,NA,NA,#430531110,Apple,NA,NA
48, Premium Funda Case Protector iPhone 7/8 + Cristal Pantalla ,125,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1
				vendido
			
		",(19 disponibles),Hasta 12 cuotas sin interés,NA,NA,Envío gratis a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/HAPPYSHOPVENTAS,https://articulo.mercadolibre.com.pe/MPE-422979848-premium-funda-case-protector-iphone-78-cristal-pantalla-_JM,NA,NA,NA,NA,NA,#422979848,Apple,NA,NA
