search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Modelo,Formato
1740, Audífonos Bluetooth Qy7 ,54,NA,"
			
				Nuevo
			
			
				
					 - 
				
				17
				vendidos
			
		",(20 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,5.0,1,http://perfil.mercadolibre.com.pe/LA.CAJA.TECNOL%C3%93GICA,https://articulo.mercadolibre.com.pe/MPE-426038834-audifonos-bluetooth-qy7-_JM,NA,NA,NA,NA,NA,#426038834,JVC,NA,NA
1741, Audifonos Motorola Moto Boom 2 Bluetooth Wireless ,160,NA,"
			
				Nuevo
			
			
		",(4 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/OSCAR-MANUEL,https://articulo.mercadolibre.com.pe/MPE-436253531-audifonos-motorola-moto-boom-2-bluetooth-wireless-_JM,NA,NA,NA,NA,NA,#436253531,Motorola,NA,NA
1742, Audifono C/microf. Philips Sports Bluetooth Shq6500 ,150,NA,"
			
				Nuevo
			
			
		",(10 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/WWW.CORPORACIONDASH.COM,https://articulo.mercadolibre.com.pe/MPE-432862735-audifono-cmicrof-philips-sports-bluetooth-shq6500-_JM,NA,NA,NA,NA,NA,#432862735,Logitech,NA,NA
1743, Audifonos Conduccion Osea Aftershokz Bluetooth Externo Oido ,439,NA,"
			
				Nuevo
			
			
		","
		
			¡Único disponible!
		
	",NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/DARGRANDEZ,https://articulo.mercadolibre.com.pe/MPE-435489567-audifonos-conduccion-osea-aftershokz-bluetooth-externo-oido-_JM,NA,NA,NA,NA,NA,#435489567,AfterShokz,NA,NA
1744, Audifonos Samsung Level U Flex Original Nuevo ,239,NA,"
			
				Nuevo
			
			
		","
		
			¡Único disponible!
		
	",NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,5.0,1,http://perfil.mercadolibre.com.pe/DIEGOMAMANIPARI,https://articulo.mercadolibre.com.pe/MPE-436276508-audifonos-samsung-level-u-flex-original-nuevo-_JM,NA,NA,NA,NA,NA,#436276508,Samsung,U Flex,Neckband
1745, I7s Tws Audífonos Bluetooth No Sony No Power Beats ,70,NA,"
			
				Nuevo
			
			
		","
		
			¡Único disponible!
		
	",NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/ATSA8613957,https://articulo.mercadolibre.com.pe/MPE-430075074-i7s-tws-audifonos-bluetooth-no-sony-no-power-beats-_JM,NA,NA,NA,NA,NA,#430075074,Sony,NA,NA
1746, Audifonos Handsfree Bluetooth Maxtron Lince ,69,NA,"
			
				Nuevo
			
			
		",(8 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/MARKETLINCE,https://articulo.mercadolibre.com.pe/MPE-426207398-audifonos-handsfree-bluetooth-maxtron-lince-_JM,NA,NA,NA,NA,NA,#426207398,MAXTRON,ISC,NA
1747," Audifono AirPods Apple Mmef2be/a, Bluetooth, Audio Y Voz De ",920,NA,"
			
				Nuevo
			
			
		",(5 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/WWW.CORPORACIONDASH.COM,https://articulo.mercadolibre.com.pe/MPE-433074953-audifono-airpods-apple-mmef2bea-bluetooth-audio-y-voz-de-_JM,NA,NA,NA,NA,NA,#433074953,Apple,AirPods,NA
1748, Gratis!!! Audífono Sennheiser Cx 6.00bt Bluetooth ,364,NA,"
			
				Nuevo
			
			
		","
		
			¡Único disponible!
		
	",NA,NA,NA,Envío gratis a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/INTECGLOBALPERU,https://articulo.mercadolibre.com.pe/MPE-436486193-gratis-audifono-sennheiser-cx-600bt-bluetooth-_JM,NA,NA,NA,NA,NA,#436486193,Sennheiser,CX 6.00BT,In-ear
1749," Audifono Bluetooth,mp3,micro Sd,llamadas, Alta Calidad ",70,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1
				vendido
			
		",(6 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/JOSETORRESCASO,https://articulo.mercadolibre.com.pe/MPE-427171789-audifono-bluetoothmp3micro-sdllamadas-alta-calidad-_JM,NA,NA,NA,NA,NA,#427171789,NA,NA,NA
