search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Peso,Marca,Modelo,Tipos de filtros del parlante,Conectores de entrada,Tipos de parlante,Color,Potencia de salida (RMS)
219, Parlante Bluetooth Karaoke Lirico 90 Watts ,225,NA,0,6,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/SANDROAMOROS,https://articulo.mercadolibre.com.pe/MPE-433583943-parlante-bluetooth-karaoke-lirico-90-watts-_JM,NA,NA,NA,NA,NA,#433583943,NA,NA,NA,NA,NA,NA,NA,90 W
220, Coolbox - Parlante Bluetooth Con Subwoofer S-11 Marrón ,109,NA,2,50,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,NA,https://articulo.mercadolibre.com.pe/MPE-436015730-coolbox-parlante-bluetooth-con-subwoofer-s-11-marron-_JM,NA,NA,NA,NA,NA,#436015730,NA,NA,NA,NA,NA,Subwoofer,NA,NA
221, Parlante Bluetooth Soundcore Motion Q ,249,NA,10,5,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.8,4,http://perfil.mercadolibre.com.pe/ANKER+PERU?brandId=144,https://articulo.mercadolibre.com.pe/MPE-434540833-parlante-bluetooth-soundcore-motion-q-_JM,3,1,0,0,0,#434540833,NA,NA,NA,NA,Auxiliar,NA,NA,NA
222, Holder Multifuncional 6 En 1 Bluetooth Bicicleta Moto ,249,NA,2,12,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/TECH-COOL,https://articulo.mercadolibre.com.pe/MPE-433474973-holder-multifuncional-6-en-1-bluetooth-bicicleta-moto-_JM,NA,NA,NA,NA,NA,#433474973,NA,NA,NA,NA,NA,NA,NA,NA
223, Parlante Bluetooth Samsung Level Box Mini Premium Negro ,239,NA,1,899,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/MEGARICKHUNTER,https://articulo.mercadolibre.com.pe/MPE-434356916-parlante-bluetooth-samsung-level-box-mini-premium-negro-_JM,NA,NA,NA,NA,NA,#434356916,NA,Samsung,NA,NA,NA,NA,NA,8 W
224, Receptor Bluetooth Usb De Audio Musica P/ Auto Parlante Etc ,25,NA,59,441,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/WITROXPERU,https://articulo.mercadolibre.com.pe/MPE-419719332-receptor-bluetooth-usb-de-audio-musica-p-auto-parlante-etc-_JM,NA,NA,NA,NA,NA,#419719332,NA,NA,NA,NA,NA,NA,NA,NA
225, Parlantes Micronics Teacher - Mx 400bt Menor ,90,NA,1,149,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/JUANMANUE+MURAYARIVELA,https://articulo.mercadolibre.com.pe/MPE-433380422-parlantes-micronics-teacher-mx-400bt-menor-_JM,NA,NA,NA,NA,NA,#433380422,NA,NA,NA,NA,NA,NA,NA,NA
226, Parlante Jbl Charge 4 Acuatico Bluetooth Portatil By Harman ,499,NA,1,298,NA,NA,NA,Envío gratis a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/ELEAZARALATAMARINO,https://click1.mercadolibre.com.pe/mclics/clicks/external/MPE/count?a=h3xQT7b8Y63xDy7uZ8qbzQPErLey%2F1qIbwckHj77NhHlhV6%2B4Gd3rK%2B6IPQzy2O%2FNMJH5WBfkWo%2FxTtkTtKa4Cw%2BFU63MuhsL%2BX8g7e2SEBwO6yTGrMNHXATb59kZVr9WhrsNbWmxy2K97OF56tXdTIlXAO9c5%2FCb831L4r8mSo7PjmDOg6%2BBZZuF9taLcyK03hfXVXZYi%2FWy9muErVmWQrh6A9dQAYeVaSYlSQOuiwQy5iIWQyYgyLQDVza%2F7CXdkcfi47NzoyPYx4Q9JI%2BiiYMdY0HV8VOXNJ%2Bq8QU79eiZLy9ULyev2Ew7VhzsmAexQ4C02dPue%2FM3NCAQyYPz2LiFMNAdctw%2BaPh9BHo9c6jAoA5H1E9egu5nErZy4OHGTDR0VcE%2FNJ3I96D%2B2qGhikUckePmzIrH%2FOdskC39Q3%2FxS1iw1rRnsBHYJgUTNTDVi1h6z4e4ViMm22B6hbi2XuZpEM5dP2wyMOVwn9SXtXdFXu1M7yAFc%2Bo16TPYwZEl%2B6q6Jkaq7LanIGgwEdNNnSDBDj5R%2FktaB6%2BNeFrCeLcnA%2B75wD7oG4M8BawENBoRg3pMcKzPypaugIZpUbP4RtDa0pvs%2BKtaQpQPuWUJbDbFXiqeq0AYbD1b5tajlJcFkHpVO8xHnuBbjpKTl43W5EaiS9yo9AcGnstRfmGRKIo10CjQgDSnApHGZaT4luSJ9Kl9ux8J%2B7R3TN7e5hp0y9ru4XN12lysWRYp9cBaAu5V5noZZhMfD5%2BUjnGxbaCUh5%2Fj77qRmCjMdnLJWy%2F%2Bj8NtQ3%2BXOW6xahPx24qBEHRA6LVgKXFEz0sCQ4YmqIhUx4yUj0Yb59vkWKFtPTImsH5IYgv4sN7W8lwB3oVUaJJ%2FOPK8V50zGw7EilkogIXSitxkReSi%2FscKgXWZZXfx%2BgqgmjBkt2XrGuxGFdK%2ByYyAAxcK5LLXL11h0rS8Cjwh1ZwpSjIP9vQngMWuzsXRbtTEe5fMEnuYJlXM5ISZi%2Byure2ao4%2BD2zE7GcCRvuX83s7nF2KyJ0BRgSRjBSOnysN1oNH8m6qMo%2FPGjt8hB2x2ElvqTuLMyTZHkJZ1bKR4gxNolVMJgVr%2BnpSDzf7obtGdB%2Bjg6QnVdnLbqWKlsbxILehCrQi%2FlrHclKLEIK%2BRZRy9quzt0mitjWqvklrNhsay2EsE1GARDWxILaWsfIN0LKhbYdEYBPOSHJ5ExoriT48inLmYU%2FoCI3mitibqbaYUyEHagkPJ6M5NajFrFHdQew3bnUTbgo43OV7sUQD2pwHwY9RLjPySTD%2FfOcVbj7hWwerM6KtaGpIvn1fvu4ywaTpktFJ6cevx%2BGUdljJZL2ntbSyZwj6ua4p1WXgujRrKHKdEapHa2KCchsZrD6z7OnQU1l%2F3redq%2Fca2LqEbyLzeqgieAaf1gWR3lMe8MGelw7pMj0NxspmMGPYUegsQjHuxrmFwzXD07j6wKREQL8p5%2BqXHIl0RAdjMFwlEsFjkKEu3IrzD0vEUI5efsv9HwUPl03sm0x1DxZTzTVXnxCOcWWOsQqrSWRCf1vNt%2BFXqVQD2ECTX1smbp%2BzWKz2ot3AdnZ2b%2FFXbMq23tfLv7M1hR0fFK6fo1YfOPeMzS8y21uW1Hbu6shxoqAM,NA,NA,NA,NA,NA,#437378262,NA,JBL,Charge 4,Activo,NA,Woofer,NA,30 W
227, Tronsmart Elemen Force Altavoz Inalámbrico 40 W Bluetooth ,299,NA,1,4,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/AVY-BELLA,https://articulo.mercadolibre.com.pe/MPE-436586174-tronsmart-elemen-force-altavoz-inalambrico-40-w-bluetooth-_JM,NA,NA,NA,NA,NA,#436586174,NA,Tronsmart,NA,NA,Auxiliar,NA,NA,40 W
228, Parlante Bluetooth Recargable De 8 Pulgadas 150 W ,229,NA,16,191,NA,NA,NA,Envío gratis a todo el país,NA,NA,5,1,http://perfil.mercadolibre.com.pe/INNOVA+LEDS,https://articulo.mercadolibre.com.pe/MPE-420933465-parlante-bluetooth-recargable-de-8-pulgadas-150-w-_JM,1,0,0,0,0,#420933465,NA,Cafini,Portátil,NA,NA,parlante portatil bluetooth,NA,150 W
