search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Línea,Modelo,Modelo alfanumérico,Tipo de alimentación,Tipos de cabezales,Tiempo de funcionamiento,Tiempo de carga,Peso
584, Cortabarba Recargable Philips Bt3226/14 Gtia Oficial Cuotas!! ,2752,NA,"
			
				Nuevo
			
			
				
					 - 
				
				2
				vendidos
			
		",(1 disponibles),6 cuotas sin interés,NA,NA,Envío gratis a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,NA,NA,https://perfil.mercadolibre.com.ar/LACASAGARCIA,https://articulo.mercadolibre.com.ar/MLA-789043964-cortabarba-recargable-philips-bt322614-gtia-oficial-cuotas-_JM#position=39&type=item&tracking_id=517c93bd-81b7-49ae-9803-50896cdeceb9,NA,NA,NA,NA,NA,#789043964,Philips,Series 3000,Beardtrimmer 3226,BT3210/41,Recargable,Planos,NA,NA,NA
585, Afeitadora Philips Oneblade Pro Qp6510 Recorta Modela Afeita ,3582,NA,"
			
				Nuevo
			
			
				
					 - 
				
				8
				vendidos
			
		",(2 disponibles),12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,253,https://perfil.mercadolibre.com.ar/TREKASHOP,https://articulo.mercadolibre.com.ar/MLA-720324907-afeitadora-philips-oneblade-pro-qp6510-recorta-modela-afeita-_JM#position=40&type=item&tracking_id=517c93bd-81b7-49ae-9803-50896cdeceb9,162,66,18,3,3,#720324907,Philips,OneBlade Pro,OneBlade,QP6510/20,USB,NA,60m,NA,NA
586, Gama Gr500 Body Groomer Sport Recorta/ Rasura Todo El Cuerpo ,2369,NA,"
			
				Nuevo
			
			
				
					 - 
				
				32
				vendidos
			
		",(5 disponibles),12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.3,36,https://perfil.mercadolibre.com.ar/PHOTOSTORE,https://articulo.mercadolibre.com.ar/MLA-628853263-gama-gr500-body-groomer-sport-recorta-rasura-todo-el-cuerpo-_JM#position=41&type=item&tracking_id=517c93bd-81b7-49ae-9803-50896cdeceb9,20,10,4,1,1,#628853263,GA.MA,GAMA,GR 500,NA,Batería,dos,NA,NA,NA
587, Repuesto Cabezal Fxrf2 Para Afeitadora Foilfx02 Babyliss Pro ,2190,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1
				vendido
			
		",(99 disponibles),12 cuotas,NA,NA,Envío gratis a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,5.0,3,https://perfil.mercadolibre.com.ar/BARBERSHOP.COM.AR,https://articulo.mercadolibre.com.ar/MLA-767061284-repuesto-cabezal-fxrf2-para-afeitadora-foilfx02-babyliss-pro-_JM#position=42&type=item&tracking_id=517c93bd-81b7-49ae-9803-50896cdeceb9,2,0,0,0,0,#767061284,NA,NA,NA,NA,NA,NA,NA,NA,NA
588, Afeitadora Gama Gsh910 Inalambrica Recargable Apto Ducha ,3569,NA,"
			
				Nuevo
			
			
				
					 - 
				
				2
				vendidos
			
		",(97 disponibles),12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.3,8,https://perfil.mercadolibre.com.ar/MULTIRRUBRO,https://articulo.mercadolibre.com.ar/MLA-760070358-afeitadora-gama-gsh910-inalambrica-recargable-apto-ducha-_JM#position=43&type=item&tracking_id=517c93bd-81b7-49ae-9803-50896cdeceb9,4,2,2,0,0,#760070358,GA.MA Italy,GSH910,GSH 910,NA,NA,NA,45 minutos,NA,0.177 kg
589, Cortadora Afeitadora Electrica - Remington 1390 Inalambrica ,1998,NA,"
			
				Nuevo
			
			
				
					 - 
				
				14
				vendidos
			
		","
		
			¡Último disponible!
		
	",12 cuotas,NA,NA,Llega mañana,NA,NA,NA,NA,https://perfil.mercadolibre.com.ar/COSMETIC+SOLUTIONS,https://articulo.mercadolibre.com.ar/MLA-614047799-cortadora-afeitadora-electrica-remington-1390-inalambrica-_JM#position=44&type=item&tracking_id=517c93bd-81b7-49ae-9803-50896cdeceb9,NA,NA,NA,NA,NA,#614047799,Remington,NA,XR,NA,NA,NA,NA,NA,NA
590, Afeitadora Braun Serie 1 130s-1 Lavable ,2650,NA,"
			
				Nuevo
			
			
				
					 - 
				
				8
				vendidos
			
		",(1 disponibles),12 cuotas,NA,NA,Envío gratis a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,4.3,24,https://perfil.mercadolibre.com.ar/ESTEBANTABLADA,https://articulo.mercadolibre.com.ar/MLA-618228323-afeitadora-braun-serie-1-130s-1-lavable-_JM#position=45&type=item&tracking_id=517c93bd-81b7-49ae-9803-50896cdeceb9,15,4,3,0,2,#618228323,Braun,Series 1,130S,NA,Eléctrica,NA,NA,NA,NA
591, Afeitadora Inalámbrica Gama Recargable Gsh 895 3 Cabezales ,1989,NA,"
			
				Nuevo
			
			
				
					 - 
				
				3
				vendidos
			
		",(1 disponibles),12 cuotas,NA,NA,Envío a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,NA,NA,https://perfil.mercadolibre.com.ar/CELULARESYETCETERA,https://articulo.mercadolibre.com.ar/MLA-687276956-afeitadora-inalambrica-gama-recargable-gsh-895-3-cabezales-_JM#position=46&type=item&tracking_id=517c93bd-81b7-49ae-9803-50896cdeceb9,NA,NA,NA,NA,NA,#687276956,GA.MA Italy,Afeitadora,GSH 895,NA,Batería,NA,45 Minutos,NA,NA
592, Afeitadora Gama Gsh860 Inalambrica Cortapatilla Cuotas Envio ,2295,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1
				vendido
			
		",(11 disponibles),6 cuotas sin interés,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.3,100,https://perfil.mercadolibre.com.ar/TITANIUM+HOMEANDKIDS,https://articulo.mercadolibre.com.ar/MLA-807194675-afeitadora-gama-gsh860-inalambrica-cortapatilla-cuotas-envio-_JM#position=47&type=item&tracking_id=517c93bd-81b7-49ae-9803-50896cdeceb9,48,36,13,2,1,#807194675,GA.MA Italy,Gsh-860,GSH 860,NA,Batería,NA,NA,NA,144 g
593, Afeitadora Panasonic Corta Pelo Barba Bigote 5 Medidas C/ Pilas ,1119,NA,"
			
				Nuevo
			
			
				
					 - 
				
				15
				vendidos
			
		",(5 disponibles),12 cuotas,NA,NA,Llega mañana,Devolución gratis,Tenés 30 días desde que lo recibís,NA,NA,https://perfil.mercadolibre.com.ar/ELECTROAUDIO,https://articulo.mercadolibre.com.ar/MLA-622664496-afeitadora-panasonic-corta-pelo-barba-bigote-5-medidas-c-pilas-_JM#position=48&type=item&tracking_id=517c93bd-81b7-49ae-9803-50896cdeceb9,NA,NA,NA,NA,NA,#622664496,Panasonic,Panasonic,ER-2403,NA,Pilas,Planos,8 horas,NA,NA
594, Cortacabello Gama Gcx623 Master 4 Cabezales ,1772,NA,"
			
				Nuevo
			
			
				
					 - 
				
				3
				vendidos
			
		",(5 disponibles),12 cuotas,NA,NA,Envío a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,NA,NA,https://perfil.mercadolibre.com.ar/FARMABELEN-SA,https://articulo.mercadolibre.com.ar/MLA-789611650-cortacabello-gama-gcx623-master-4-cabezales-_JM#position=49&type=item&tracking_id=517c93bd-81b7-49ae-9803-50896cdeceb9,NA,NA,NA,NA,NA,#789611650,GA.MA,Corta cabello,GCX 623,NA,Batería,4,NA,NA,NA
595, Afeitadora Oneblade Recargable Seco Humedo Qp2521/10 Philips Gtia Oficial ,2299,NA,"
			
				Nuevo
			
			
				
					 - 
				
				59
				vendidos
			
		",(4 disponibles),12 cuotas,NA,NA,Envío gratis a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,4.6,131,https://perfil.mercadolibre.com.ar/LACASAGARCIA,https://articulo.mercadolibre.com.ar/MLA-718300203-afeitadora-oneblade-recargable-seco-humedo-qp252110-philips-gtia-oficial-_JM#position=50&type=item&tracking_id=517c93bd-81b7-49ae-9803-50896cdeceb9,94,29,1,3,3,#718300203,Philips,OneBlade,QP2521/10,QP2521/10,Recargable,Pivotantes,Baterias recargables,NA,NA
596, Cortabarba Beardtrimmer Philips Bt3226 Recargable ,3239,NA,"
			
				Nuevo
			
			
				
					 - 
				
				3
				vendidos
			
		",(886 disponibles),6 cuotas sin interés,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,NA,NA,https://perfil.mercadolibre.com.ar/TRES+MARES,https://articulo.mercadolibre.com.ar/MLA-713819683-cortabarba-beardtrimmer-philips-bt3226-recargable-_JM#position=1&type=item&tracking_id=0ae0a7f3-9d59-4748-82d2-31cca8e4be42,NA,NA,NA,NA,NA,#713819683,Philips,Beardtrimmer,BT3226,BT3236/14,Carga,NA,60 min,NA,NA
597, Cortabarba Multigroom Philips Mg3730/15 Zona Sur ,1999,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1
				vendido
			
		",(2 disponibles),12 cuotas,NA,NA,Envío gratis a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,NA,NA,https://perfil.mercadolibre.com.ar/MYACOMPUTACION-LOMAS,https://articulo.mercadolibre.com.ar/MLA-796233201-cortabarba-multigroom-philips-mg373015-zona-sur-_JM#position=2&type=item&tracking_id=0ae0a7f3-9d59-4748-82d2-31cca8e4be42,NA,NA,NA,NA,NA,#796233201,Philips,Series 3000,MG3730/15,MG3730/15,220v,Planos,NA,NA,NA
598, Cortabarba Beardtrimmer Philips Bt3206/14 10 Posiciones Ff ,1799,NA,"
			
				Nuevo
			
			
				
					 - 
				
				6
				vendidos
			
		",(19 disponibles),12 cuotas,NA,NA,Envío a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,NA,NA,https://perfil.mercadolibre.com.ar/LHCONFORT,https://articulo.mercadolibre.com.ar/MLA-746351642-cortabarba-beardtrimmer-philips-bt320614-10-posiciones-ff-_JM#position=3&type=item&tracking_id=0ae0a7f3-9d59-4748-82d2-31cca8e4be42,NA,NA,NA,NA,NA,#746351642,Philips,Series 3000,BT3206/14,BT3206/14,Batería,Removibles,45 min.,NA,NA
599, Cortabarbas Philips Mg5730/15 ,2506,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1
				vendido
			
		",(5 disponibles),12 cuotas,NA,NA,Envío gratis a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,NA,NA,https://perfil.mercadolibre.com.ar/PEROZZI_E_HIJO,https://articulo.mercadolibre.com.ar/MLA-770078507-cortabarbas-philips-mg573015-_JM#position=4&type=item&tracking_id=0ae0a7f3-9d59-4748-82d2-31cca8e4be42,NA,NA,NA,NA,NA,#770078507,Philips,Multigroom series 5000,MG5730/15,MG5730/15,NA,NA,60,NA,NA
600, Afeitadora Gama Gsh885 Recargable Inalambrica Corta Patilla ,2229,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1
				vendido
			
		",(5 disponibles),12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,NA,NA,https://perfil.mercadolibre.com.ar/TECNOFAST_,https://articulo.mercadolibre.com.ar/MLA-790684883-afeitadora-gama-gsh885-recargable-inalambrica-corta-patilla-_JM#position=5&type=item&tracking_id=0ae0a7f3-9d59-4748-82d2-31cca8e4be42,NA,NA,NA,NA,NA,#790684883,GA.MA Italy,Afeiadora,BECSH175,NA,Batería,Rotativo,NA,NA,0.37 kg
601, Philips Afeitadora Oneblade Modelo Qp2521 Magistral Lacroze ,1952,NA,"
			
				Nuevo
			
			
				
					 - 
				
				6
				vendidos
			
		",(1 disponibles),12 cuotas,NA,NA,Envío a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,4.6,255,https://perfil.mercadolibre.com.ar/MAGISTRAL+LACROZE,https://articulo.mercadolibre.com.ar/MLA-755835022-philips-afeitadora-oneblade-modelo-qp2521-magistral-lacroze-_JM#position=6&type=item&tracking_id=0ae0a7f3-9d59-4748-82d2-31cca8e4be42,180,54,14,3,4,#755835022,Philips,afeitadoras,qp2510,NA,Batería,1,30,NA,NA
602, Afeitadora Philips Qp2521/10 Recargable Seco Y Humedo ,2340,NA,"
			
				Nuevo
			
			
				
					 - 
				
				3
				vendidos
			
		","
		
			¡Último disponible!
		
	",12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.6,131,https://perfil.mercadolibre.com.ar/CORDONAT+TECHNOLOGY,https://articulo.mercadolibre.com.ar/MLA-745948138-afeitadora-philips-qp252110-recargable-seco-y-humedo-_JM#position=7&type=item&tracking_id=0ae0a7f3-9d59-4748-82d2-31cca8e4be42,94,29,1,3,3,#745948138,Philips,NA,Qp2521,QP2521/10,NA,NA,NA,NA,NA
603, Máquina Teknikpro Super Power Barberia + Navaja De Regalo!! ,3050,NA,"
			
				Nuevo
			
			
				
					 - 
				
				7
				vendidos
			
		",(114 disponibles),12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,NA,NA,https://perfil.mercadolibre.com.ar/BARBERFULL+OFICIAL,https://articulo.mercadolibre.com.ar/MLA-705975351-maquina-teknikpro-super-power-barberia-navaja-de-regalo-_JM#position=8&type=item&tracking_id=0ae0a7f3-9d59-4748-82d2-31cca8e4be42,NA,NA,NA,NA,NA,#705975351,Teknik Pro,Professional,Superpower,NA,Corriente directa,NA,NA,NA,NA
604, Afeitadora Gama Gsh-860 Recargable Inalambrica Cortapatilla ,1896,2370,"
			
				Nuevo
			
			
				
					 - 
				
				1
				vendido
			
		",(2 disponibles),6 cuotas sin interés,NA,NA,Llega mañana,Devolución gratis,Tenés 30 días desde que lo recibís,NA,NA,https://perfil.mercadolibre.com.ar/24STORE,https://articulo.mercadolibre.com.ar/MLA-784434120-afeitadora-gama-gsh-860-recargable-inalambrica-cortapatilla-_JM#position=9&type=item&tracking_id=0ae0a7f3-9d59-4748-82d2-31cca8e4be42,NA,NA,NA,NA,NA,#784434120,GA.MA,NA,NA,NA,NA,NA,NA,NA,144 g
605, Cleaning Brush Gama ,1500,NA,"
			
				Nuevo
			
			
				
					 - 
				
				2
				vendidos
			
		",(8 disponibles),12 cuotas,NA,NA,Envío a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,NA,NA,https://perfil.mercadolibre.com.ar/PJARDIN,https://articulo.mercadolibre.com.ar/MLA-687191787-cleaning-brush-gama-_JM#position=10&type=item&tracking_id=0ae0a7f3-9d59-4748-82d2-31cca8e4be42,NA,NA,NA,NA,NA,#687191787,GA.MA Italy,Gama,Cleaning Brush,NA,Batería,NA,NA,NA,132 g
606, Cortabarba Ducati By Imetec Gk 818 Race ,3019,NA,"
			
				Nuevo
			
			
				
					 - 
				
				9
				vendidos
			
		",(3 disponibles),12 cuotas,NA,NA,Envío gratis a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,2,https://perfil.mercadolibre.com.ar/ALESTEBRANDML,https://articulo.mercadolibre.com.ar/MLA-722729862-cortabarba-ducati-by-imetec-gk-818-race-_JM#position=11&type=item&tracking_id=0ae0a7f3-9d59-4748-82d2-31cca8e4be42,NA,NA,NA,NA,NA,#722729862,Imetec,Ducati,GK 818,NA,Recargable,NA,NA,NA,NA
607, Cuchilla T-outliner Acero Inoxidable Única En El Pais! ,1709,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1
				vendido
			
		",(499 disponibles),6 cuotas sin interés,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,NA,NA,https://perfil.mercadolibre.com.ar/PERFUMERIAS+AILEN,https://articulo.mercadolibre.com.ar/MLA-808890377-cuchilla-t-outliner-acero-inoxidable-unica-en-el-pais-_JM#position=12&type=item&tracking_id=0ae0a7f3-9d59-4748-82d2-31cca8e4be42,NA,NA,NA,NA,NA,#808890377,Andis,Blade Replacement,Stainless Steel,NA,Corriente directa,Planos,NA,NA,NA
608, Afeitadora Electrica Inalambrica Barba Patillas Winco 812 ,1399,NA,"
			
				Nuevo
			
			
				
					 - 
				
				3
				vendidos
			
		",(9 disponibles),12 cuotas,NA,NA,Llega mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.2,25,https://perfil.mercadolibre.com.ar/CLUBDELCELUOFICIAL,https://articulo.mercadolibre.com.ar/MLA-731586997-afeitadora-electrica-inalambrica-barba-patillas-winco-812-_JM#position=13&type=item&tracking_id=0ae0a7f3-9d59-4748-82d2-31cca8e4be42,15,5,3,0,2,#731586997,Winco,WINCO,W-812,NA,220v,NA,2 HS,NA,NA
609, Cortapelo Philips Recargable Qc5130 Silencioso ,1955,NA,"
			
				Nuevo
			
			
				
					 - 
				
				7
				vendidos
			
		",(2 disponibles),12 cuotas,NA,NA,Envío a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,NA,NA,https://perfil.mercadolibre.com.ar/REGALOSALVEAR,https://articulo.mercadolibre.com.ar/MLA-645194957-cortapelo-philips-recargable-qc5130-silencioso-_JM#position=14&type=item&tracking_id=0ae0a7f3-9d59-4748-82d2-31cca8e4be42,NA,NA,NA,NA,NA,#645194957,Philips,clasica,172,NA,NA,Planos,NA,NA,NA
610, Afeitadora Rotativa Inalámbrica Remington Xr1400 ,1999,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1
				vendido
			
		",(5 disponibles),12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.7,7,https://perfil.mercadolibre.com.ar/DEPOT+CENTRO,https://articulo.mercadolibre.com.ar/MLA-808296470-afeitadora-rotativa-inalambrica-remington-xr1400-_JM#position=15&type=item&tracking_id=0ae0a7f3-9d59-4748-82d2-31cca8e4be42,4,2,0,0,0,#808296470,Remington,Hyperseries,XR1400,XR1400,Batería,Flexibles,50 minutos de uso inalámbrico,4 h,NA
611, Cortabarba Kit De Corte Remington Tlg100 Para Viaje ,1159,NA,"
			
				Nuevo
			
			
				
					 - 
				
				2
				vendidos
			
		",(6 disponibles),12 cuotas,NA,NA,Llega mañana,Devolución gratis,Tenés 30 días desde que lo recibís,NA,NA,https://perfil.mercadolibre.com.ar/BOSAROND_ONLINE,https://articulo.mercadolibre.com.ar/MLA-774162011-cortabarba-kit-de-corte-remington-tlg100-para-viaje-_JM#position=16&type=item&tracking_id=0ae0a7f3-9d59-4748-82d2-31cca8e4be42,NA,NA,NA,NA,NA,#774162011,Remington,Viaje,TLG100,NA,Batería,Planos,30 minutos,NA,NA
612, Afeitadora Gama Gsh910 Inalambrica Recargable Apto Ducha ,3569,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1
				vendido
			
		",(98 disponibles),12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.3,8,https://perfil.mercadolibre.com.ar/EMPAKEWEB,https://articulo.mercadolibre.com.ar/MLA-760070243-afeitadora-gama-gsh910-inalambrica-recargable-apto-ducha-_JM#position=17&type=item&tracking_id=0ae0a7f3-9d59-4748-82d2-31cca8e4be42,4,2,2,0,0,#760070243,GA.MA Italy,GSH910,GSH 910,NA,NA,NA,45 minutos,NA,0.177 kg
613, Combo Remington Afeitadora Xr1400 + Trimmer Nariz Ne3200 ,2449,NA,"
			
				Nuevo
			
			
				
					 - 
				
				2
				vendidos
			
		",(24 disponibles),12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.7,7,https://perfil.mercadolibre.com.ar/0LIMPYA,https://articulo.mercadolibre.com.ar/MLA-790893971-combo-remington-afeitadora-xr1400-trimmer-nariz-ne3200-_JM#position=18&type=item&tracking_id=0ae0a7f3-9d59-4748-82d2-31cca8e4be42,4,2,0,0,0,#790893971,Remington,Verso,XR1400,XR1400,220,Flexibles,NA,NA,NA
614, Afeitadora Philips Oneblade Qp2521/10 Humedo Y Seco Lh ,1899,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1
				vendido
			
		",(58 disponibles),12 cuotas,NA,NA,Llega mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.6,754,https://perfil.mercadolibre.com.ar/LHCONFORT,https://articulo.mercadolibre.com.ar/MLA-794080182-afeitadora-philips-oneblade-qp252110-humedo-y-seco-lh-_JM#position=19&type=item&tracking_id=0ae0a7f3-9d59-4748-82d2-31cca8e4be42,567,130,42,5,10,#794080182,Philips,OneBlade,OneBlade,QP2521/10,Batería,Planos,NA,NA,NA
615, Afeitadora Gama Sport Recargable + Cortadora De Barba 6en1 ,2640,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1
				vendido
			
		",(98 disponibles),12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,NA,NA,https://perfil.mercadolibre.com.ar/EMPAKEWEB,https://articulo.mercadolibre.com.ar/MLA-774107917-afeitadora-gama-sport-recargable-cortadora-de-barba-6en1-_JM#position=20&type=item&tracking_id=0ae0a7f3-9d59-4748-82d2-31cca8e4be42,NA,NA,NA,NA,NA,#774107917,GA.MA,Afeitadora,Combo,NA,NA,NA,50 MINUTOS,NA,NA
616, Cortabarba Philips Bt3206/14 10 Posiciones Recargable ,1609,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1
				vendido
			
		",(9 disponibles),12 cuotas,NA,NA,Llega mañana,Devolución gratis,Tenés 30 días desde que lo recibís,NA,NA,https://perfil.mercadolibre.com.ar/24STORE,https://articulo.mercadolibre.com.ar/MLA-801260329-cortabarba-philips-bt320614-10-posiciones-recargable-_JM#position=21&type=item&tracking_id=0ae0a7f3-9d59-4748-82d2-31cca8e4be42,NA,NA,NA,NA,NA,#801260329,Philips,Series 3000,Beardtrimmer,BT3206/14,Corriente directa,NA,NA,NA,NA
617, Afeitadora Philips Oneblade Qp2510/10 ,1499,NA,"
			
				Nuevo
			
			
				
					 - 
				
				60
				vendidos
			
		",(10 disponibles),12 cuotas,NA,NA,Llega mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.6,255,https://perfil.mercadolibre.com.ar/TECH_SOURCE,https://articulo.mercadolibre.com.ar/MLA-751420279-afeitadora-philips-oneblade-qp251010-_JM#position=22&type=item&tracking_id=0ae0a7f3-9d59-4748-82d2-31cca8e4be42,180,54,14,3,4,#751420279,Philips,OneBlade,OneBlade,QP2510/10,220v,NA,30,NA,NA
618, Gama Gsh855 Afeitadora Inalambrica Sport C/ Corta Patillas ,1749,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1
				vendido
			
		",(5 disponibles),12 cuotas,NA,NA,Llega mañana,Devolución gratis,Tenés 30 días desde que lo recibís,NA,NA,https://perfil.mercadolibre.com.ar/PHOTOSTORE,https://articulo.mercadolibre.com.ar/MLA-803102738-gama-gsh855-afeitadora-inalambrica-sport-c-corta-patillas-_JM#position=23&type=item&tracking_id=0ae0a7f3-9d59-4748-82d2-31cca8e4be42,NA,NA,NA,NA,NA,#803102738,GA.MA,Sport,GSH 855,NA,220V,Cuchillas redondas,NA,NA,0.144 kg
619, Philips Oneblade Qp 2521/10 Recortá Modelá Y Afeitá ,1699,2766,"
			
			
				
				1
				vendido
			
		",(23 disponibles),12 cuotas,NA,NA,Envío gratis a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,4.6,754,https://perfil.mercadolibre.com.ar/FARMACIA+SELMA?brandId=1859,https://articulo.mercadolibre.com.ar/MLA-806633269-philips-oneblade-qp-252110-recorta-modela-y-afeita-_JM#position=24&type=item&tracking_id=0ae0a7f3-9d59-4748-82d2-31cca8e4be42,567,130,42,5,10,#806633269,Philips,OneBlade,QP2521/10,QP2521/10,Batería,Planos,45 m,8 h,NA
620, Cortapelo Quickcut + Afeitadora Rotativa Remington ,1499,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1
				vendido
			
		",(19 disponibles),12 cuotas,NA,NA,Llega mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.3,13,https://perfil.mercadolibre.com.ar/ELECTROANDPOWER,https://articulo.mercadolibre.com.ar/MLA-755150146-cortapelo-quickcut-afeitadora-rotativa-remington-_JM#position=25&type=item&tracking_id=0ae0a7f3-9d59-4748-82d2-31cca8e4be42,8,3,1,0,1,#755150146,Remington,Shine Therapy,hc4250 + R0050,NA,Batería,NA,40min,NA,170 g
621, Depiladora Corporal Femenina 3 En 1 Depila Rasura Y Pulidora ,2190,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1
				vendido
			
		",(4 disponibles),12 cuotas,NA,NA,Llega gratis mañana,NA,NA,4.8,6,https://perfil.mercadolibre.com.ar/KIEROUNO,https://articulo.mercadolibre.com.ar/MLA-768759892-depiladora-corporal-femenina-3-en-1-depila-rasura-y-pulidora-_JM#position=26&type=item&tracking_id=0ae0a7f3-9d59-4748-82d2-31cca8e4be42,5,1,0,0,0,#768759892,Boxili,NA,Depiladora electrica / recargable,NA,NA,NA,NA,NA,NA
622, Philips Oneblade Qp2521/10 Afeitadora Cortabarba ,1549,NA,"
			
				Nuevo
			
			
				
					 - 
				
				3
				vendidos
			
		",(1 disponibles),12 cuotas,NA,NA,Envío a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,4.6,754,https://perfil.mercadolibre.com.ar/PHILIPS+ONEBLADE,https://articulo.mercadolibre.com.ar/MLA-788228255-philips-oneblade-qp252110-afeitadora-cortabarba-_JM#position=27&type=item&tracking_id=0ae0a7f3-9d59-4748-82d2-31cca8e4be42,567,130,42,5,10,#788228255,Philips,OneBlade,QP2521/10,QP2521/10,Batería,Planos,45 minutos,8 h,NA
623, Kit De Corte 8 En 1 Remington Pg6020b ,1399,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1
				vendido
			
		",(16 disponibles),12 cuotas,NA,NA,Llega mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.6,15,https://perfil.mercadolibre.com.ar/DEPOT+CENTRO,https://articulo.mercadolibre.com.ar/MLA-808296488-kit-de-corte-8-en-1-remington-pg6020b-_JM#position=28&type=item&tracking_id=0ae0a7f3-9d59-4748-82d2-31cca8e4be42,10,3,1,0,0,#808296488,Remington,Pg6020b,PG6020B,NA,Batería,Removibles,NA,NA,NA
624, Afeitadora Electrica Gama Gsh850 Cabezales Recargar Patillas ,1500,NA,"
			
				Nuevo
			
			
				
					 - 
				
				10
				vendidos
			
		",(1 disponibles),12 cuotas,NA,NA,Llega mañana,Devolución gratis,Tenés 30 días desde que lo recibís,NA,NA,https://perfil.mercadolibre.com.ar/COSMETIC+SOLUTIONS,https://articulo.mercadolibre.com.ar/MLA-622596954-afeitadora-electrica-gama-gsh850-cabezales-recargar-patillas-_JM#position=29&type=item&tracking_id=0ae0a7f3-9d59-4748-82d2-31cca8e4be42,NA,NA,NA,NA,NA,#622596954,GA.MA Italy,Shavers,GSH 900,NA,NA,NA,70 s,1 m,177 g
625, Kit Corte Remington 8 En 1 Pg6020b ,1499,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1
				vendido
			
		",(99 disponibles),12 cuotas,NA,NA,Llega mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.6,15,https://perfil.mercadolibre.com.ar/FSCOMPUTERS,https://articulo.mercadolibre.com.ar/MLA-750355000-kit-corte-remington-8-en-1-pg6020b-_JM#position=30&type=item&tracking_id=0ae0a7f3-9d59-4748-82d2-31cca8e4be42,10,3,1,0,0,#750355000,Remington,KIT DE CORTE,PG6020B,NA,Batería,NA,Hasta 35 minutos de uso inalámbrico,NA,NA
