search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Modelo,Potencia de salida (RMS),Color,Tipos de parlante,Peso,Conectores de entrada,Tipos de filtros del parlante
1608, Parlante Bluetooth Master G Spb50 Radio Fm Mp3 Blanco ,35,NA,"
			
				Nuevo
			
			
		",(900 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/MEGARICKHUNTER,https://articulo.mercadolibre.com.pe/MPE-429784256-parlante-bluetooth-master-g-spb50-radio-fm-mp3-blanco-_JM#position=29&type=item&tracking_id=a007aaaf-d037-456c-9552-75704d63ee91,NA,NA,NA,NA,NA,#429784256,Master-G,NA,5 W,NA,NA,NA,Auxiliar,NA
1609, Parlante Barra Bluetooth 10w Reloj Radio Usb Tf Aux. Llamada ,105,NA,"
			
				Nuevo
			
			
		","
		
			¡Único disponible!
		
	",NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/BUFFALOS+TECHNOLOGY,https://articulo.mercadolibre.com.pe/MPE-431787967-parlante-barra-bluetooth-10w-reloj-radio-usb-tf-aux-llamada-_JM#position=30&type=item&tracking_id=a007aaaf-d037-456c-9552-75704d63ee91,NA,NA,NA,NA,NA,#431787967,NA,NA,10 W,NA,NA,NA,NA,NA
1610, Parlante Bluetooth Despertador Lampara Led Music Player ,79,NA,"
			
				Nuevo
			
			
				
					 - 
				
				11
				vendidos
			
		",(2 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.0,1,http://perfil.mercadolibre.com.pe/BUFFALOS+TECHNOLOGY,https://articulo.mercadolibre.com.pe/MPE-426035401-parlante-bluetooth-despertador-lampara-led-music-player-_JM#position=31&type=item&tracking_id=a007aaaf-d037-456c-9552-75704d63ee91,NA,NA,NA,NA,NA,#426035401,NA,NA,NA,Fiesta,NA,NA,NA,NA
1611, Parlante Bluetooth Cafini Cn-s3547fm-bt ,85,NA,"
			
				Nuevo
			
			
		",(100 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/LEVEL-STORE,https://articulo.mercadolibre.com.pe/MPE-432413507-parlante-bluetooth-cafini-cn-s3547fm-bt-_JM#position=32&type=item&tracking_id=a007aaaf-d037-456c-9552-75704d63ee91,NA,NA,NA,NA,NA,#432413507,NA,NA,NA,NA,NA,NA,NA,NA
1612, Parlantes Micronics Logic - Mic S7550ktv ,210,NA,"
			
				Nuevo
			
			
		",(50 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/JUANMANUE+MURAYARIVELA,https://articulo.mercadolibre.com.pe/MPE-433517537-parlantes-micronics-logic-mic-s7550ktv-_JM#position=33&type=item&tracking_id=a007aaaf-d037-456c-9552-75704d63ee91,NA,NA,NA,NA,NA,#433517537,NA,NA,NA,NA,NA,NA,NA,NA
1613, Parlante Altavoz Bluetooth Polk Audio Boom Bit Portatil ,150,NA,"
			
				Nuevo
			
			
		",(3 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/ELSHADDAI+STORE,https://articulo.mercadolibre.com.pe/MPE-435236945-parlante-altavoz-bluetooth-polk-audio-boom-bit-portatil-_JM#position=34&type=item&tracking_id=a007aaaf-d037-456c-9552-75704d63ee91,NA,NA,NA,NA,NA,#435236945,NA,NA,NA,NA,NA,NA,NA,NA
1614, Altavoz Bluetooth Jbl Go 2 Original Azul ,119,NA,"
			
				Nuevo
			
			
				
					 - 
				
				2
				vendidos
			
		",(46 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.8,15,http://perfil.mercadolibre.com.pe/CABEPERU,https://articulo.mercadolibre.com.pe/MPE-434040108-altavoz-bluetooth-jbl-go-2-original-azul-_JM#position=35&type=item&tracking_id=a007aaaf-d037-456c-9552-75704d63ee91,13,1,1,0,0,#434040108,JBL,GO 2,3 W,Azul,NA,NA,NA,Activo
1615, Jbl Charge 3 - 20w- Parlante Bluetooth ,539,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1
				vendido
			
		",(11 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/CHAGUAVILLAJUANBECKER,https://articulo.mercadolibre.com.pe/MPE-426698710-jbl-charge-3-20w-parlante-bluetooth-_JM#position=36&type=item&tracking_id=a007aaaf-d037-456c-9552-75704d63ee91,NA,NA,NA,NA,NA,#426698710,JBL,Charge 3,20 W,NA,NA,NA,NA,Pasivo
1616, Parlante Bluetooth Jbl Flip 4 Sumergible Sellado / Tienda ,369,NA,"
			
				Nuevo
			
			
		",(10 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.8,9,http://perfil.mercadolibre.com.pe/MOISES+CHAGUA,https://articulo.mercadolibre.com.pe/MPE-432482190-parlante-bluetooth-jbl-flip-4-sumergible-sellado-tienda-_JM#position=37&type=item&tracking_id=a007aaaf-d037-456c-9552-75704d63ee91,7,2,0,0,0,#432482190,JBL,Flip 4,16 W,NA,NA,515 g,NA,Activo
1617, Parlantes Micronics Brickell - Mic S8005bt ,235,NA,"
			
				Nuevo
			
			
		",(50 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/JUANMANUE+MURAYARIVELA,https://articulo.mercadolibre.com.pe/MPE-433517226-parlantes-micronics-brickell-mic-s8005bt-_JM#position=38&type=item&tracking_id=a007aaaf-d037-456c-9552-75704d63ee91,NA,NA,NA,NA,NA,#433517226,NA,NA,NA,NA,NA,NA,NA,NA
1618, Parlantes Subwoofer Comanche Halion 120w Usb Sd Fm Bluetooth ,240,NA,"
			
				Nuevo
			
			
		",(20 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/HUANCAYOVENDE.COM,https://articulo.mercadolibre.com.pe/MPE-436241810-parlantes-subwoofer-comanche-halion-120w-usb-sd-fm-bluetooth-_JM#position=39&type=item&tracking_id=a007aaaf-d037-456c-9552-75704d63ee91,NA,NA,NA,NA,NA,#436241810,NA,NA,120 W,Negro,Subwoofer,NA,NA,NA
1619, Jbl Xtreme 2 Parlante Originales Caja Sellada ,1070,NA,"
			
				Nuevo
			
			
		",(4 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/OSCAR-MANUEL,https://articulo.mercadolibre.com.pe/MPE-435273004-jbl-xtreme-2-parlante-originales-caja-sellada-_JM#position=40&type=item&tracking_id=a007aaaf-d037-456c-9552-75704d63ee91,NA,NA,NA,NA,NA,#435273004,JBL,Xtreme,40 W,NA,NA,NA,NA,Pasivo
1620," Parlantes Bluetooth Sony Srs X11, Con Garantia Sony Peru..., ",199,NA,"
			
				Nuevo
			
			
				
					 - 
				
				3
				vendidos
			
		",(96 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,5.0,2,http://perfil.mercadolibre.com.pe/IMPORTADORAPERUMUSIC,https://articulo.mercadolibre.com.pe/MPE-424809428-parlantes-bluetooth-sony-srs-x11-con-garantia-sony-peru-_JM#position=41&type=item&tracking_id=a007aaaf-d037-456c-9552-75704d63ee91,NA,NA,NA,NA,NA,#424809428,Sony,SRS-X11,10 W,NA,NA,NA,RCA,Pasivo
1621, Parlante Bluetooth Sony Srs-xb21 Extra Bass Xb21 - Dlectro ,329,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1
				vendido
			
		",(947 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/DLECTRO,https://articulo.mercadolibre.com.pe/MPE-432467754-parlante-bluetooth-sony-srs-xb21-extra-bass-xb21-dlectro-_JM#position=42&type=item&tracking_id=a007aaaf-d037-456c-9552-75704d63ee91,NA,NA,NA,NA,NA,#432467754,Sony,SRS-XB21,NA,NA,NA,NA,NA,Activo
1622, Parlante Bluetooth Ewtto Et-p1499b ,55,NA,"
			
				Nuevo
			
			
		",(70 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/LA.CAJA.TECNOL%C3%93GICA,https://articulo.mercadolibre.com.pe/MPE-435184132-parlante-bluetooth-ewtto-et-p1499b-_JM#position=43&type=item&tracking_id=a007aaaf-d037-456c-9552-75704d63ee91,NA,NA,NA,NA,NA,#435184132,ewtto,NA,NA,NA,NA,NA,NA,NA
1623, Parlantes Jbl Go2 Originales ,119,NA,"
			
				Nuevo
			
			
				
					 - 
				
				10
				vendidos
			
		",(9 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.8,15,http://perfil.mercadolibre.com.pe/IMQU8972250,https://articulo.mercadolibre.com.pe/MPE-434055782-parlantes-jbl-go2-originales-_JM#position=44&type=item&tracking_id=a007aaaf-d037-456c-9552-75704d63ee91,13,1,1,0,0,#434055782,JBL,GO 2,3 W,NA,NA,NA,NA,Activo
1624, Panasonic - Parlante Inalámbrico 1700 Watts Bluetooth Sc-ua7 ,749,NA,"
			
				Nuevo
			
			
		","
		
			¡Único disponible!
		
	",NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/CIROXELECTRONIC,https://articulo.mercadolibre.com.pe/MPE-437703904-panasonic-parlante-inalambrico-1700-watts-bluetooth-sc-ua7-_JM#position=45&type=item&tracking_id=a007aaaf-d037-456c-9552-75704d63ee91,NA,NA,NA,NA,NA,#437703904,Panasonic,Onebox Sc-ua7,NA,NA,NA,NA,NA,NA
1625, Parlante Portatil Bluetooth Usb Radio Potente ,55,NA,"
			
				Nuevo
			
			
				
					 - 
				
				6
				vendidos
			
		",(94 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,5.0,1,http://perfil.mercadolibre.com.pe/PLAZATECH,https://articulo.mercadolibre.com.pe/MPE-425606446-parlante-portatil-bluetooth-usb-radio-potente-_JM#position=46&type=item&tracking_id=a007aaaf-d037-456c-9552-75704d63ee91,NA,NA,NA,NA,NA,#425606446,NA,NA,NA,NA,NA,NA,NA,NA
1626, Parlante Bluetooth Nfc Sony Srs Bts50 Nuevo En Caja Sellada ,199,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1
				vendido
			
		",(97 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/DLECTRO,https://articulo.mercadolibre.com.pe/MPE-433182882-parlante-bluetooth-nfc-sony-srs-bts50-nuevo-en-caja-sellada-_JM#position=47&type=item&tracking_id=a007aaaf-d037-456c-9552-75704d63ee91,NA,NA,NA,NA,NA,#433182882,Sony,NA,NA,NA,NA,NA,NA,NA
1627, Parlante Recargable De Madera Con Bluetooth Usb Sd Cafini ,69,NA,"
			
				Nuevo
			
			
		",(100 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/CORPORACI%C3%93N+NAHUILAU,https://articulo.mercadolibre.com.pe/MPE-428755930-parlante-recargable-de-madera-con-bluetooth-usb-sd-cafini-_JM#position=48&type=item&tracking_id=a007aaaf-d037-456c-9552-75704d63ee91,NA,NA,NA,NA,NA,#428755930,NA,NA,NA,Cartón,NA,NA,USB,NA
1628, Parlante Bluetooth Altavoz Inalámbrico Tomatodo Mp3 Microsd ,89,NA,"
			
				Nuevo
			
			
				
					 - 
				
				2
				vendidos
			
		",(8 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/CSHOP1,https://articulo.mercadolibre.com.pe/MPE-421736783-parlante-bluetooth-altavoz-inalambrico-tomatodo-mp3-microsd-_JM#position=49&type=item&tracking_id=a007aaaf-d037-456c-9552-75704d63ee91,NA,NA,NA,NA,NA,#421736783,NA,NA,NA,NA,NA,NA,NA,NA
1629, Parlante Cilindrico Ewtto Bluetooth Con Usb ,95,NA,"
			
				Nuevo
			
			
		","
		
			¡Único disponible!
		
	",NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,NA,https://articulo.mercadolibre.com.pe/MPE-430844762-parlante-cilindrico-ewtto-bluetooth-con-usb-_JM#position=50&type=item&tracking_id=a007aaaf-d037-456c-9552-75704d63ee91,NA,NA,NA,NA,NA,#430844762,ewtto,NA,NA,NA,NA,NA,NA,NA
1630," Parlante Subwoofer Digital Halion Ha-280bt, Bluetooth, Fm ",208,NA,"
			
				Nuevo
			
			
		",(2 disponibles),NA,NA,NA,Envío gratis a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/PCGLOBALPERU,https://articulo.mercadolibre.com.pe/MPE-433163684-parlante-subwoofer-digital-halion-ha-280bt-bluetooth-fm-_JM#position=51&type=item&tracking_id=a007aaaf-d037-456c-9552-75704d63ee91,NA,NA,NA,NA,NA,#433163684,NA,NA,NA,Negro,Subwoofer,NA,NA,NA
1631, Altavoz Inalambrico Parlantes Bluetooth Philips Bt25 Dlectro ,69,NA,"
			
				Nuevo
			
			
				
					 - 
				
				14
				vendidos
			
		",(86 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/DLECTRO,https://articulo.mercadolibre.com.pe/MPE-433189405-altavoz-inalambrico-parlantes-bluetooth-philips-bt25-dlectro-_JM#position=1&type=item&tracking_id=7af9bac7-e790-4ba8-a5d8-2e9655cb225d,NA,NA,NA,NA,NA,#433189405,Philips,BT25,2 W,NA,NA,NA,NA,Activo
1632, Parlante Bluetooth Cafini Cn-s3888fm-bt ,75,NA,"
			
				Nuevo
			
			
		",(72 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/LA.CAJA.TECNOL%C3%93GICA,https://articulo.mercadolibre.com.pe/MPE-426917473-parlante-bluetooth-cafini-cn-s3888fm-bt-_JM#position=2&type=item&tracking_id=7af9bac7-e790-4ba8-a5d8-2e9655cb225d,NA,NA,NA,NA,NA,#426917473,NA,NA,NA,NA,NA,NA,NA,NA
1633, Parlante Bluetooth Bowmann Karaoke + Microfono - Dlectro ,99,NA,"
			
				Nuevo
			
			
				
					 - 
				
				5
				vendidos
			
		",(495 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/DLECTRO,https://articulo.mercadolibre.com.pe/MPE-433189406-parlante-bluetooth-bowmann-karaoke-microfono-dlectro-_JM#position=3&type=item&tracking_id=7af9bac7-e790-4ba8-a5d8-2e9655cb225d,NA,NA,NA,NA,NA,#433189406,NA,NA,NA,NA,NA,NA,Auxiliar,NA
1634, Parlante Bluetooth Qcy ,59,NA,"
			
				Nuevo
			
			
		",(6 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/FILIUM360,https://articulo.mercadolibre.com.pe/MPE-429704170-parlante-bluetooth-qcy-_JM#position=4&type=item&tracking_id=7af9bac7-e790-4ba8-a5d8-2e9655cb225d,NA,NA,NA,NA,NA,#429704170,QCY,qcy,NA,NA,NA,NA,NA,NA
1635, Echo Dot 2da Generacion Parlante Alexa Amazon Asistente ,119,NA,"
			
				Nuevo
			
			
		",(2 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,NA,https://articulo.mercadolibre.com.pe/MPE-436190543-echo-dot-2da-generacion-parlante-alexa-amazon-asistente-_JM#position=5&type=item&tracking_id=7af9bac7-e790-4ba8-a5d8-2e9655cb225d,NA,NA,NA,NA,NA,#436190543,Amazon,NA,NA,NA,NA,NA,NA,NA
1636, Parlantes Subwoofer Karp F35 Halion Madera Usb Sd Fm Bluetoo ,120,NA,"
			
				Nuevo
			
			
		",(20 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/HUANCAYOVENDE.COM,https://articulo.mercadolibre.com.pe/MPE-436235151-parlantes-subwoofer-karp-f35-halion-madera-usb-sd-fm-bluetoo-_JM#position=6&type=item&tracking_id=7af9bac7-e790-4ba8-a5d8-2e9655cb225d,NA,NA,NA,NA,NA,#436235151,NA,NA,NA,Roja,Subwoofer,NA,NA,NA
1637, Jbl Charge 3 20w Parlante Bluetooth Acuatico Original ,489,NA,"
			
				Nuevo
			
			
		",(100 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/MUKE8804014,https://articulo.mercadolibre.com.pe/MPE-430038526-jbl-charge-3-20w-parlante-bluetooth-acuatico-original-_JM#position=7&type=item&tracking_id=7af9bac7-e790-4ba8-a5d8-2e9655cb225d,NA,NA,NA,NA,NA,#430038526,JBL,Charge 3,20 W,NA,NA,800 g,NA,Pasivo
1638," Parlante Bluetooh Bt Speaker ,radio, Sd Y Usb Solo X Mayor ",28,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1
				vendido
			
		",(99 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/FREDDYANTONIODIAZHUAYTA,https://articulo.mercadolibre.com.pe/MPE-422315041-parlante-bluetooh-bt-speaker-radio-sd-y-usb-solo-x-mayor-_JM#position=8&type=item&tracking_id=7af9bac7-e790-4ba8-a5d8-2e9655cb225d,NA,NA,NA,NA,NA,#422315041,NA,NA,NA,NA,NA,NA,NA,NA
1639, Remato Nuevos Parlantes Bluetooth Logitech Ue Boom ,499,NA,"
			
				Nuevo
			
			
		",(3 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/VICTOROCKY,https://articulo.mercadolibre.com.pe/MPE-432845222-remato-nuevos-parlantes-bluetooth-logitech-ue-boom-_JM#position=9&type=item&tracking_id=7af9bac7-e790-4ba8-a5d8-2e9655cb225d,NA,NA,NA,NA,NA,#432845222,Logitech,NA,NA,NA,NA,NA,NA,NA
1640, Parlantes Subwoofer Marte Halion 200w Usb Sd Fm Bluetooth ,255,NA,"
			
				Nuevo
			
			
		",(20 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/HUANCAYOVENDE.COM,https://articulo.mercadolibre.com.pe/MPE-436242002-parlantes-subwoofer-marte-halion-200w-usb-sd-fm-bluetooth-_JM#position=10&type=item&tracking_id=7af9bac7-e790-4ba8-a5d8-2e9655cb225d,NA,NA,NA,NA,NA,#436242002,NA,NA,200 W,Negro,Subwoofer,NA,NA,NA
1641, Parlante Bluetooth Halion + Subwoofer Usb 100 Watts Karaoke ,179,NA,"
			
				Nuevo
			
			
		",(100 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/PLAZATECH,https://articulo.mercadolibre.com.pe/MPE-431360814-parlante-bluetooth-halion-subwoofer-usb-100-watts-karaoke-_JM#position=11&type=item&tracking_id=7af9bac7-e790-4ba8-a5d8-2e9655cb225d,NA,NA,NA,NA,NA,#431360814,NA,NA,100 W,Negro,Subwoofer,NA,USB,NA
1642, Parlante Bluetooth Klip Xtreme Kws-602wh Altavoz Acuatico ,80,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1
				vendido
			
		","
		
			¡Último disponible!
		
	",NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/CAPTIVA-STORE,https://articulo.mercadolibre.com.pe/MPE-422271489-parlante-bluetooth-klip-xtreme-kws-602wh-altavoz-acuatico-_JM#position=12&type=item&tracking_id=7af9bac7-e790-4ba8-a5d8-2e9655cb225d,NA,NA,NA,NA,NA,#422271489,NA,NA,3 W,NA,NA,NA,NA,NA
1643, Parlante Bluetooth Negro Mini Movil/tablet/laptop/pc Msd Tf ,49,NA,"
			
				Nuevo
			
			
				
					 - 
				
				2
				vendidos
			
		",(3 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/SUMPCSYQ,https://articulo.mercadolibre.com.pe/MPE-425892818-parlante-bluetooth-negro-mini-moviltabletlaptoppc-msd-tf-_JM#position=13&type=item&tracking_id=7af9bac7-e790-4ba8-a5d8-2e9655cb225d,NA,NA,NA,NA,NA,#425892818,NA,NA,NA,NA,NA,NA,NA,NA
1644, Luces Sicodelias Y Parlante Bluetooth Usb Luces Led ,45,NA,"
			
				Nuevo
			
			
		",(99999 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/SELLMERX+SAC,https://click1.mercadolibre.com.pe/mclics/clicks/external/MPE/count?a=W%2B1gzzXwPdLmrBvKUyRhdQvARTYEwS9WjgQg8AGvEdsjnTbrDXVoeQF0o6MODUN3dLPzi%2BrHuzn83xHp0b%2FTqhk53IFObA4O2bxuotMF6GtF%2FnsAG%2BozWKOhu0hlByXgXq1b22st7LsgJKIDXj6tQ3RAKTY3CzDtpbVAi9auLUYRccsEYP%2BXuDlYe8Y9ZcJPTzeZXhN3NtHK5Kilpi1d8bBhq0xBL4discHKIgjexLm8lZs92W%2FQFPdgbLtHPmZeST2V3Ia0vbijgIm70htSEFXJpKkXo2YTAHbNehbiD6qgPB6cmHNDn5Tn41Qtkzob0TKwDymt9aejWWvxvLp%2BooZ25chttEyKZdcPfDJ6lLg6c%2FLE7eWD%2BDRTg3fLuMI34HWyZ5MZEwU85d0gwH%2BgVgnw1rlpRJIz7M%2FbN3G%2FedLV8j%2FVBB1qgFIUmUUH%2BHnECuSXwt4nTq1WjXy8psRYMHfX8dwXqnB3Rtv9yxCAxl7G00lQtvUdOwZRqxXR5%2BGGjjHtS03HidwMlgGIc6b67dai%2F9NLAYo1l4WCTFf%2BE6UKze1LX8iIgRcD6AzxwB8U87LiPkLaAiUXuHvzS7r%2F9g424a9YlzEp9Rdm395zwoPUToLIXrrL9RjIFh8YR7HmkDbXcUZdEDraUuRanftX3s%2FkYTGkiTXVHKMe9fCmEPw6t9LPktZYVcHCEKIjSaahFWmhJ2JHGINpuczB3wfqNR8UVz%2BM%2BeSP38RCxF44fVz9DHJTOGsIN8ZfzTpqNFxGk43Q%2FAYalmMfgQODnWJFzJZnNlIsMmjwBt4ZoAL96Xlcychpb077vFMEhWez2gkaHNjY4LdAbEwmSvjvF83kpU1WR2JhS01j%2B0NCM4uxQDICO0ahWXtNzj5a5IyeJYBlMzcz4RZ9vFyy3T4MdOutXfWhJOBKJwgw4Mw1zZM%2F75NJ%2BSlnY4rv5oqGxk%2FUI6BAsgIoDMmUAdg6QjsS0q04KAtR8GV1rRg%2FQi9a%2Bh3fB1BtQAcQL7tea586yMvpx90uvER%2BNJACsxe3oNKbfFKPc1fZO7wP%2Fn3FbEkoW7wNF0YtV37J0o47dUd06XYGNCwJKVRw2YTnd3V25tatKIo21azBpO1Y3zxxvsWjncj2fvTzVvRTmU8F5lu%2FwL4zfPYxtCtpCAEGHpKxIqHHQEQOIOF9gqBEauIQBiV9kaj%2BhefI2hGUNp%2BjI6E%2FIg2ra7mBkXU%2FSFesJjhQlbKBg2trbrIX%2B%2FUnYq36ZKgjtUIwIdnJg8IDPTP1WyAT%2BDE6LGlaRtIcVPlXLB1qUHnQTmOOOx1tavx4%2FMF76pyP4YuU7uTgEKRido3jrZ3vuWMjXlXITJ3t6Qe87%2BnoxrVEzvZM551dnYbejG2gVNGJ8bsucEbdGNuJ3%2Fnn28SHbQxlkaUPyG%2BYrXBJKuOSsRnihMHpppvwxNdwsFRu5IqHS16S2iW1ZEYw%2F2ffUNcYTONhQLVPwuSV5DMv4UBsDKsfuDUs0rOxTbf%2BFyUOV%2FG3L2tfFAJSbcCGq5R%2BMkQqtzgtrNTr3Q2TNvVbbN0lPgJDyHVAq0stud2kMA5f1SZxsLxH1%2B9vlHQjN18cTTMOqnADH59A2HQnOKkTlnPVJPIDbaaALtWh46XkE17JumXNNwDEN6VEnb5Aq5YuLxPvzXm%2FbIgVgQQAC%2FJsoM8wArZH%2BUviEw64kCycEBBWHwRYOev%2FM8KPzUByRSNOrr1%2FxVMyG0y9mapnJjceVpktOhaijd%2Fv,NA,NA,NA,NA,NA,#433789260,NA,NA,NA,NA,NA,NA,NA,NA
1645, Parlante Bluetooth Portable Modelo Better S2025 ,234,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1
				vendido
			
		",(4 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/ALKA+CORP,https://articulo.mercadolibre.com.pe/MPE-428954296-parlante-bluetooth-portable-modelo-better-s2025-_JM#position=15&type=item&tracking_id=7af9bac7-e790-4ba8-a5d8-2e9655cb225d,NA,NA,NA,NA,NA,#428954296,NA,NA,NA,NA,NA,NA,NA,NA
1646, Mini Parlante Bluetooth Acuático Para Ducha ,29,NA,"
			
				Nuevo
			
			
				
					 - 
				
				3
				vendidos
			
		",(17 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/LA.CAJA.TECNOL%C3%93GICA,https://articulo.mercadolibre.com.pe/MPE-426006950-mini-parlante-bluetooth-acuatico-para-ducha-_JM#position=16&type=item&tracking_id=7af9bac7-e790-4ba8-a5d8-2e9655cb225d,NA,NA,NA,NA,NA,#426006950,NA,NA,NA,NA,NA,NA,NA,NA
1647, Huawei - Parlante Bluetooth 4.0 (nuevo) ,89,NA,"
			
				Nuevo
			
			
		",(1 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,NA,https://articulo.mercadolibre.com.pe/MPE-436991971-huawei-parlante-bluetooth-40-nuevo-_JM#position=17&type=item&tracking_id=7af9bac7-e790-4ba8-a5d8-2e9655cb225d,NA,NA,NA,NA,NA,#436991971,Huawei,Swan AM08,2 W,NA,NA,244 g,NA,NA
1648," Parlante Inalámbrico Logitech Ue Megaboom Lava, Blue ",199,NA,"
			
				Nuevo
			
			
		",(15 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/WWW.CORPORACIONDASH.COM,https://articulo.mercadolibre.com.pe/MPE-432220094-parlante-inalambrico-logitech-ue-megaboom-lava-blue-_JM#position=18&type=item&tracking_id=7af9bac7-e790-4ba8-a5d8-2e9655cb225d,NA,NA,NA,NA,NA,#432220094,Logitech,NA,NA,NA,NA,NA,NA,NA
1649, Mini Parlante Blluetooth Con Diseño Camuflaje ,149,NA,"
			
				Nuevo
			
			
		",(3 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/ALKA+CORP,https://articulo.mercadolibre.com.pe/MPE-428945397-mini-parlante-blluetooth-con-diseno-camuflaje-_JM#position=19&type=item&tracking_id=7af9bac7-e790-4ba8-a5d8-2e9655cb225d,NA,NA,NA,NA,NA,#428945397,NA,NA,NA,NA,NA,NA,NA,NA
