search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Modelo,Potencia de salida (RMS),Color,Tipos de parlante,Peso,Conectores de entrada,Tipos de filtros del parlante
1025, Gratis!!! Parlante 2.1 Logitech Z537 Bluetooth 4.1 60 Rms ,384,NA,"
			
				Nuevo
			
			
		",(2 disponibles),NA,NA,NA,Envío gratis a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/INTECGLOBALPERU,https://articulo.mercadolibre.com.pe/MPE-434462512-gratis-parlante-21-logitech-z537-bluetooth-41-60-rms-_JM#position=6&type=item&tracking_id=85005db1-fdd3-4c4f-9ef4-cf317a6439f3,NA,NA,NA,NA,NA,#434462512,Logitech,NA,NA,NA,NA,NA,RCA,NA
1026, Parlante A Prueba De Agua Tronsmart T6 Plus X Mercado De Pag ,299,NA,"
			
				Nuevo
			
			
		","
		
			¡Único disponible!
		
	",NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/MULCOTEC,https://articulo.mercadolibre.com.pe/MPE-437225493-parlante-a-prueba-de-agua-tronsmart-t6-plus-x-mercado-de-pag-_JM#position=7&type=item&tracking_id=85005db1-fdd3-4c4f-9ef4-cf317a6439f3,NA,NA,NA,NA,NA,#437225493,Tronsmart,NA,NA,Negro,NA,NA,NA,NA
1027, Parlante Usb Bluetooth Fpf Peru Blanquiroja ,55,NA,"
			
				Nuevo
			
			
		",(99 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/CIBERVENTAS4000,https://articulo.mercadolibre.com.pe/MPE-430929546-parlante-usb-bluetooth-fpf-peru-blanquiroja-_JM#position=8&type=item&tracking_id=85005db1-fdd3-4c4f-9ef4-cf317a6439f3,NA,NA,NA,NA,NA,#430929546,NA,NA,NA,NA,NA,NA,NA,NA
1028, Parlantes Micronics Polaris - Mic S7074bt ,140,NA,"
			
				Nuevo
			
			
		",(100 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/JUANMANUE+MURAYARIVELA,https://articulo.mercadolibre.com.pe/MPE-433423524-parlantes-micronics-polaris-mic-s7074bt-_JM#position=9&type=item&tracking_id=85005db1-fdd3-4c4f-9ef4-cf317a6439f3,NA,NA,NA,NA,NA,#433423524,NA,NA,NA,NA,NA,NA,NA,NA
1029, Parlantes Micronics Hypnotic - Mic S7555bt ,180,NA,"
			
				Nuevo
			
			
		",(150 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/JUANMANUE+MURAYARIVELA,https://articulo.mercadolibre.com.pe/MPE-433497949-parlantes-micronics-hypnotic-mic-s7555bt-_JM#position=10&type=item&tracking_id=85005db1-fdd3-4c4f-9ef4-cf317a6439f3,NA,NA,NA,NA,NA,#433497949,NA,NA,NA,NA,NA,NA,NA,NA
1030, Foco Led Parlante Bluetooth - Con Control Remoto - Android ,60,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1
				vendido
			
		",(9998 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/ILUMINACI%C3%93N+INTERIORES,https://articulo.mercadolibre.com.pe/MPE-429861578-foco-led-parlante-bluetooth-con-control-remoto-android-_JM#position=11&type=item&tracking_id=85005db1-fdd3-4c4f-9ef4-cf317a6439f3,NA,NA,NA,NA,NA,#429861578,NA,NA,NA,NA,NA,NA,NA,NA
1031, Parlantes Micronics Romance Mic S7062bt ,130,NA,"
			
				Nuevo
			
			
		",(100 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/JUANMANUE+MURAYARIVELA,https://articulo.mercadolibre.com.pe/MPE-433542299-parlantes-micronics-romance-mic-s7062bt-_JM#position=12&type=item&tracking_id=85005db1-fdd3-4c4f-9ef4-cf317a6439f3,NA,NA,NA,NA,NA,#433542299,NA,NA,NA,NA,NA,NA,NA,NA
1032, Parlantes Micronics Ludwig - Mic S6014bt ,130,NA,"
			
				Nuevo
			
			
		",(100 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/JUANMANUE+MURAYARIVELA,https://articulo.mercadolibre.com.pe/MPE-433543270-parlantes-micronics-ludwig-mic-s6014bt-_JM#position=13&type=item&tracking_id=85005db1-fdd3-4c4f-9ef4-cf317a6439f3,NA,NA,NA,NA,NA,#433543270,NA,NA,NA,NA,NA,NA,NA,NA
1033, Luces Sicodelias Y Parlante Bluetooth Usb Luces Led ,45,NA,"
			
				Nuevo
			
			
		",(99999 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/SELLMERX+SAC,https://click1.mercadolibre.com.pe/mclics/clicks/external/MPE/count?a=ZzdlPIT75TABh5ubudeLGW6do3ZkNCVMPFvTjk7D4s7Ie%2FNrZnX8DDHwQ5Bou5Ojjj0ReBFOyZqzyXSqG1qT2xomkn60NCL5AOljPg5y72%2F7erUU1BxO%2Fz%2FYBs9bhUn1IFrbrSCUhERwoD%2B4TsDoyoWZyyeIqPkk1FXjc4p58OQWXVhJ7Qt1G0mHCZHxPXrv7P5w133QPsuJv3RVnjDNnrTBF6Gtkze3MW%2B79rWm%2BwVfY4xIyeb2GAFmJlQgH56ksyYIp8THdIxgY7bSrkwWWSx6ETy2ya6Twd3WZYusJ0XUKDlkI6LBLRebNhKEwWJP5bv55Wat17NY4haANGRm04lnHqbQhWBOCtO1u2VzyyQLcGV3VMtaLmGldKtE1OxjJ6FS%2FPPpic1zOEt%2BKPicJlfyF4TeH2%2BkTlXBCYkzSOe1aYACugTuS7Pyql84e8tvzwgSnig5skGwtzqM38mrUF7obaVDxFD4K7lR56kh3aE0D%2FRzzkaxyW0GbhZdar0fT4RThOukc3zKiDAlRAUcK%2FB9c5ReEvz%2BtxSFFCFb%2FEB1oFWV18S9DYO8jfq7qLct8o4qzPmYebAubTHs1N7T16Ueat7e5%2BcOjsmbmX2WcOfzczOl3ficLOoWGXxLBFmG30QBvr8B8ygM6w5SXxLdiVJNGi4AGmSLFBUb5FoYIdGprnCdRfACoy4fXZYjJriz%2F%2BXu%2FnwCRV4%2BbE6dhWHqNB1JYJjXUgtEnhzdl%2FZnYGT8LGdgslF2IWIwXqhglzBl8SlGTlIigsv4%2BFh7kF2BfvStvHmsPQtKrU9lV42tuBI%2BMwF%2FvPr7dSBkWnP8ObfMRzp51RLY0ZaYXSxyQkKEWC3H9wIJkf7Mwq8yF3hr6aAQgwL2w5jiTb935pbGS1LG1RdD7VYMAJmB1DpbCtBSwZOsodNU0yeXOxSIT0natAVWjTmaaDcWOWBveQzpMYXtQNeXJazXltUMCxlbldkVc8wd8Owfh8reyB2lMNVdckz0iIqTp8YfDKKbTJOSL6gqGssLUilgUECN967ZeBUCctO8cMmHA4jc80%2F9yw8mqHjgbLzTFLmRAGkfZhHFu2xFsNmPVCbc8XKHkpsoazULwxjDNb0CyoyfYlr6jr0WFW2Q1z%2BBmwKzBn75wP%2Fri957lGTVEZ3QbdVz0BqyXgio02gfYi8lSiaL1WQ7cI%2F8CXPulFT%2FU9%2BD3j8x94eeMD9g%2FYV2FMfCuRO1LfmpPTxQyfPMl%2Ftuz62my%2B7%2FsbP3Vh9W12Kob7YCwy3DASDl0aWphnhcpWFV9ReMOl29A18kgLhnKwB57vb60OjG%2FGBw6zYrUvJUTPsQuRVlQiqIGoyxoyLZ39bl4JF2xXxKjUjIPWBGQxJpe9D8PNsCeCpkLn6s7oTrBk7MoX2cnidxY%2FX3NcE7bEbpIa57BpfrN2Z5aB9XjnTVdLu6dfXr6XGXRXwSCNZKDA%2FaWmsRyQhMj9QeQVB15zkSuo1XSFwBqEP4CEJHiEYM884fQRyYgOyNci2pOmiKE3b%2B7uwT7iebPCalpVsE4xr9AXnnLtoJidvzP2VYtPmdPzZ1kE087QuP5TpIjHcsXhESd1jqyYHbuoB9zQYpCL5rjg2VoK0QdhAM8scnfFw3MWkesZeyv1GPxE441K63nEWLdfYxE7xgCer2ohYS6cESvFhVc9MYeQsIbG1ikZr%2FYWUCXmvnOOZOtiKlCSYz%2B%2FKLmd6ssO4PcMirLtgo3LP1ma5C1NhtU9c%3D,NA,NA,NA,NA,NA,#433789260,NA,NA,NA,NA,NA,NA,NA,NA
1034, Parlante Bluetooth Radio Fm Star Wars Darth Vader Memory Usb ,88,NA,"
			
				Nuevo
			
			
		",(999 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/ENERGYZONE_MIRAFLORES,https://articulo.mercadolibre.com.pe/MPE-434660634-parlante-bluetooth-radio-fm-star-wars-darth-vader-memory-usb-_JM#position=15&type=item&tracking_id=85005db1-fdd3-4c4f-9ef4-cf317a6439f3,NA,NA,NA,NA,NA,#434660634,NA,NA,NA,NA,NA,NA,NA,NA
